SAMPLEID,depth,lat,lon,time,StudyID,CMAP_sla_tblAltimetry_REP_Signal,CMAP_sla_nrt_tblAltimetry_NRT_Signal,CMAP_chl_tblCHL_REP,CMAP_AOD_tblModis_AOD_REP,CMAP_PAR_tblModis_PAR,CMAP_sss_tblSSS_NRT,CMAP_sst_tblSST_AVHRR_OI_NRT,CMAP_wind_speed_tblWind_NRT_hourly,CMAP_wind_stress_tblWind_NRT_hourly,CMAP_wind_stress_curl_tblWind_NRT_hourly,CMAP_DIN_tblDarwin_Nutrient,CMAP_PO4_tblDarwin_Nutrient,CMAP_FeT_tblDarwin_Nutrient,CMAP_O2_tblDarwin_Nutrient,CMAP_SiO2_tblDarwin_Nutrient,CMAP_phytoplankton_diversity_shannon_index_tblDarwin_Ecosystem,CMAP_phytoplankton_tblDarwin_Ecosystem,CMAP_zooplankton_tblDarwin_Ecosystem,CMAP_CHL_tblDarwin_Ecosystem,CMAP_primary_production_tblDarwin_Ecosystem,CMAP_diatom_tblDarwin_Phytoplankton,CMAP_coccolithophore_tblDarwin_Phytoplankton,CMAP_mixotrophic_dinoflagellate_tblDarwin_Phytoplankton,CMAP_picoeukaryote_tblDarwin_Phytoplankton,CMAP_picoprokaryote_tblDarwin_Phytoplankton,CMAP_DIC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NH4_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO3_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PO4_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_SiO2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_FeT_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DON_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOP_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_DOFe_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PON_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POSi_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_POFe_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_PIC_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_ALK_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_O2_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_CDOM_darwin_clim_tblDarwin_Nutrient_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_Fe_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_mls_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mls_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mlt_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mlt_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mlpd_da_argo_clim_tblArgo_MLD_Climatology,CMAP_mlpd_dt_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_da_mean_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_dt_mean_argo_clim_tblArgo_MLD_Climatology,CMAP_mld_da_median_argo_climmld_dt_median_argo_clim_tblArgo_MLD_Climatology,CMAP_sst_tblGlobalDrifterProgram,CMAP_M_an_clim_tblWOA_2018_MLD_qrtdeg_Climatology,CMAP_M_mn_clim_tblWOA_2018_MLD_qrtdeg_Climatology,CMAP_M_an_clim_tblWOA_2018_MLD_1deg_Climatology,CMAP_M_mn_clim_tblWOA_2018_MLD_1deg_Climatology,CMAP_C_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_C_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_s_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_s_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_t_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_t_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_i_an_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_i_mn_clim_tblWOA_2018_qrtdeg_Climatology,CMAP_C_an_clim_tblWOA_2018_1deg_Climatology,CMAP_C_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_s_an_clim_tblWOA_2018_1deg_Climatology,CMAP_s_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_t_an_clim_tblWOA_2018_1deg_Climatology,CMAP_t_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_A_an_clim_tblWOA_2018_1deg_Climatology,CMAP_A_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_O_an_clim_tblWOA_2018_1deg_Climatology,CMAP_O_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_i_an_clim_tblWOA_2018_1deg_Climatology,CMAP_i_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_n_an_clim_tblWOA_2018_1deg_Climatology,CMAP_n_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_p_an_clim_tblWOA_2018_1deg_Climatology,CMAP_p_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_si_an_clim_tblWOA_2018_1deg_Climatology,CMAP_si_mn_clim_tblWOA_2018_1deg_Climatology,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_AOU_WOA_clim_tblWOA_Climatology,CMAP_o2sat_WOA_clim_tblWOA_Climatology,CMAP_conductivity_WOA_clim_tblWOA_Climatology
X71502,5,55.00038506,-147.2142977,2017-09-06T12:00:00,AK2HI,0.0746,NA,0.571848425,0.115,24.8731445667992,32.2813498179167,11.57249363775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941.0589,0.317646645,0.13524396,3.100427625,0.3949216775,0.54520607,0.0002350315225,32.03340625,4.309651175,0.26694504,0.0002714563675,0.4262286525,0.05800667225,0.066124724,3.872387425e-06,0.2214500125,2117.933125,277.01841,0.00091023854,11.6490324288609,1.15357655100578,1.50975425725e-05,285.070608615672,22.0542430877687,0.0069946981675451,1.4669409543275,0.155553042888578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.59621375,31.5833333333333,29.447132,29.5,3.85201695416667,3.89548257,32.4779910625,32.5292172,13.1134497395833,13.6419061,24.4136975625,24.3760516,3.7767147,3.83639099166667,32.4679285833333,32.4805399166667,12.4476284166667,13.0504410833333,-7.9136802,NA,105.497705333333,NA,24.5603424166667,24.4506254166667,7.838708475,NA,0.7711318375,NA,16.0471852083333,17.574244,11.7839357852936,24.7083818117778,32.5481923421224,7.05841541290283,0.737157672643661,16.1524125734965,6.40604019165039,-0.127435112992922,102.090852101644,3.74474233388901
X71503,5,54.99993285,-147.2168063,2017-09-08T12:00:00,AK2HI,0.078075,NA,0.571848425,0.125,23.8265517638148,32.3423112233417,11.8333269653333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941.0589,0.317646645,0.13524396,3.100427625,0.3949216775,0.54520607,0.0002350315225,32.03340625,4.309651175,0.26694504,0.0002714563675,0.4262286525,0.05800667225,0.066124724,3.872387425e-06,0.2214500125,2117.933125,277.01841,0.00091023854,11.769688844675,1.1619185209275,1.51557143226e-05,285.205475806844,22.28243362905,0.0070967724750515,1.49238995462719,0.139024359174031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.59621375,31.5833333333333,30.858532,32.916668,3.85201695416667,3.89548257,32.4779910625,32.5292172,13.1134497395833,13.6419061,24.4136975625,24.3760516,3.7767147,3.83639099166667,32.4679285833333,32.4805399166667,12.4476284166667,13.0504410833333,-7.9136802,NA,105.497705333333,NA,24.5603424166667,24.4506254166667,7.838708475,NA,0.7711318375,NA,16.0471852083333,17.574244,11.7839357852936,24.7083818117778,32.5481923421224,7.05841541290283,0.737157672643661,16.1524125734965,6.40604019165039,-0.127435112992922,102.090852101644,3.74474233388901
X71504,5,49.94245731,-145.0059761,2017-09-11T12:00:00,AK2HI,0.1448,NA,0.3950232,0.115,23.4646498832224,32.3040310541833,13.0524936046667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924.64215,0.317503555,0.164932205,2.65509695,0.347499405,0.0472201555,0.00028604469,29.047392,3.9299897,0.2420615975,0.000248829095,0.4082633275,0.0562941155,0.009281316675,3.765944875e-06,0.321376205,2099.56265,271.292735,0.00079216992,10.38788819315,1.09040502086437,1.53819281365e-05,276.535263061563,20.470265388525,0.0080337651743318,1.50989520177125,0.147585007827687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9149205625,36.1680553,32.46429,33.75,3.8233803625,3.77019797380952,32.4468383125,32.4704310714286,13.0621376458333,12.3304333928571,24.4484339583333,24.5909955,3.86697553333333,3.805094625,32.4386528333333,32.4410243333333,13.4827023333333,12.7812057916667,-7.999758,-10.0316359916667,104.193909583333,103.824273416667,24.3360880833333,24.48269675,7.45692434166667,7.31545495833333,0.991392885833334,0.994535580833333,14.253673,12.5775427083333,12.6602900028229,24.5272827148438,32.5094302495321,8.45787858963013,1.10729894042015,16.3693386713664,6.27834979693095,-0.249290645122528,104.13005956014,3.82483410835266
X71505,5,46.81508121,-154.6480713,2017-09-13T12:00:00,AK2HI,0.112266666666667,NA,0.23909531,0.15400001,26.7619934735475,32.5448417663583,12.77582694425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939.50425,0.3019649025,0.1916711225,3.151241475,0.3851383125,0.1255248065,0.0003453463375,31.37515125,4.2143565,0.2614596,0.00026535972,0.44251155,0.06001350125,0.0307204819999999,3.9872355e-06,0.300446795,2121.405925,267.6112275,0.000824448525,9.19995135068938,1.011182904244,1.5201177689e-05,278.093670368312,18.829827517275,0.0076529696889332,1.46476537175406,0.158570088213313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.981853625,34,32.35587,28.333334,3.85888875625,3.79316979333333,32.5100316041667,32.5107364666667,13.5859777291667,13.2192700833333,24.4350526666667,24.5733038666667,3.88937188333333,3.86156648333333,32.5440086666667,32.4582810833333,13.8252076666667,13.5114803333333,-5.53726631666667,NA,101.998380333333,NA,24.4120804166667,24.37808825,6.18057066666667,NA,0.827988831666667,NA,24.4345070833333,NA,13.1796000003815,24.4281485875448,32.578600247701,4.85749675830205,0.732621600230535,36.3738918304443,5.99111751715342,-0.0646898991738756,101.048639297485,3.84627938270569
X71506,5,43.37317328,-157.9999059,2017-09-16T12:00:00,AK2HI,0.178258333333333,NA,0.1594270775,0.146,26.2663678679961,32.6158103943,15.9749935395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900.091825,0.27166139,0.1182351895,1.7984413,0.230832595,0.052235494,0.0002606483125,32.52370325,4.396665975,0.2710308625,0.00027887153,0.50235256,0.068717271,0.0089404975,4.528669975e-06,0.3898952425,2096.844425,252.5455925,0.000789357845,5.61023584008094,0.721109665930125,1.46160987526e-05,264.111986160344,14.5935138762094,0.0087625282758384,1.50781507417469,0.150985405780438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9938110625,23.7777773333333,27.51625,26.7,4.24447073333333,4.29582766666667,32.9520910416667,33.1024076666667,17.1784865,17.3105477619048,23.992866375,24.0237434444444,4.30551353333333,4.31141433333333,33.03944375,33.059117,17.5043298333333,17.5464990833333,-6.11145925,1.62139239233333,102.641647583333,99.3581086666667,23.9422955833333,23.9352104444444,2.498186425,NA,0.313165463333333,NA,11.5387440833333,NA,17.0778292020162,24.0151319503784,33.0832071304321,1.96989630659421,0.321625264982382,11.8756269613902,5.47160991032918,-0.0864133455324918,101.726744333903,4.25520388285319
X71507,5,42.00974172,-157.98601,2017-09-17T12:00:00,AK2HI,0.134958333333333,NA,0.20203774,0.18100001,26.7568733280345,32.673486709575,16.5908268589167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867.832425,0.2827932925,0.06328970775,0.9090103675,0.10928401125,0.0295912329999999,0.0001739577049999,32.50648075,4.427466475,0.2708873325,0.0002825934575,0.5181558625,0.0720185124999999,0.003384721,4.7995246e-06,0.409079725,2072.894175,243.83938,0.00072842828,5.31519696116625,0.69961556606,1.47541752255e-05,261.048637390156,14.3530113697187,0.0091374610783531,1.54485260695156,0.146059510763719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2693235,20.5833333333333,26.54249,26.125,4.38967542916667,4.424451,33.2355328333333,33.2187337777778,18.6163000833333,18.4590664444444,23.9274766041667,23.8223008888889,4.43369154166667,4.3325984,33.2217824166667,33.16529175,18.4867575,18.1073634166667,-6.87012011666667,1.12464033425,103.173969583333,99.55720525,23.8256316666667,23.9974894166667,1.70308031666667,NA,0.232179198333333,NA,9.33906141666667,NA,18.2121028900146,23.8896710077922,33.2654749552409,1.64164917667707,0.246516421437263,8.38586914539337,5.36593373616536,-0.0955770034343004,101.935343424479,4.38548775513967
X71508,5,36.66951015,-157.9981521,2017-09-19T12:00:00,AK2HI,0.134575,NA,0.07076874875,0.13700001,35.7242317235568,33.8420550028333,20.3108267758333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1793.80055,1.9681844,0.1351167,2.702375725,0.0018803164999999,0.006207419775,9.480649625e-05,12.53409575,2.051684075,0.104450795,0.000150417855,0.1823477775,0.0332488925,3.090561375e-06,2.685525875e-06,0.040089582,2019.1448,220.1098825,0.000209408185,1.78983646258562,0.383881553076328,3.3073034231e-06,236.383103132234,13.5990442037625,0.0060455345665103,1.05905415676688,0.0867396965622859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8739426875,25,25.876076,NA,4.94690967708333,5.0480004,34.1077499791667,34.444083,22.6310260625,23.068458,23.3811147291667,23.4795916666667,4.955271975,4.91088047777778,34.09647225,34.0491107777778,22.7029235833333,22.5398653333333,-1.61547197521667,-2.74073118333333,100.797025833333,101.240114666667,23.3290130833333,23.4182386666667,0.107059315766667,NA,0.162702475833333,NA,5.02456840833333,NA,22.5626893043518,23.4466050465902,34.1811971664429,0.431643680979808,0.166587727765242,5.13516934712728,5.04089419047038,-0.0186870483254703,100.441996892293,5.00346966584523
X71509,5,33.99973946,-157.9998724,2017-09-20T12:00:00,AK2HI,0.100241666666667,NA,0.063948429,0.133,40.0242182314321,34.3556950887083,23.1566600456667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771.954,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0648330100557043,0.253990366589344,4.9209631356e-06,227.424801349703,13.2931279391063,0.0038716595445292,0.844009870663484,0.0633434914052531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7827844375,33,30.200832,26.416668,5.21031693333333,5.29049506666667,34.6097196041667,34.974989,25.17237775,25.6256792222222,23.1737948541667,23.3862006666667,5.20301035833333,5.29141923333333,34.5968769166667,34.6261233333333,24.68249825,25.07341125,-1.79087071083333,4.88180226666667,100.850662166667,97.7602858333333,23.20314725,23.1711781111111,0.0033548739333333,NA,0.154847595833333,NA,4.79592495,NA,24.2810794512431,23.3051358858744,34.6602745056152,0.178702994249761,0.156351159637173,5.18950148423513,4.84103882312775,0.0247997030771027,99.479149500529,5.23441322644552
X71510,5,33.99748778,-157.9733386,2017-09-21T12:00:00,AK2HI,0.0991833333333333,NA,0.063948429,0.133,39.2549319149319,34.3790712356667,23.2591600434167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771.954,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0884700044916181,0.255872949026625,5.4685627404e-06,226.691523551969,13.308132737875,0.0038142724442878,0.797042341903344,0.0605775945587062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7827844375,33,30.200832,26.416668,5.21031693333333,5.29049506666667,34.6097196041667,34.974989,25.17237775,25.6256792222222,23.1737948541667,23.3862006666667,5.20301035833333,5.29141923333333,34.5968769166667,34.6261233333333,24.68249825,25.07341125,-1.79087071083333,4.88180226666667,100.850662166667,97.7602858333333,23.20314725,23.1711781111111,0.0033548739333333,NA,0.154847595833333,NA,4.79592495,NA,24.2810794512431,23.3051358858744,34.6602745056152,0.178702994249761,0.156351159637173,5.18950148423513,4.84103882312775,0.0247997030771027,99.479149500529,5.23441322644552
X71511,5,33.99748778,-157.9733386,2017-09-21T12:00:00,AK2HI,0.0991833333333333,NA,0.063948429,0.133,39.2549319149319,34.3790712356667,23.2591600434167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771.954,1.974437775,0.3487866675,4.235656375,0.000723653055,0.004283235725,0.0001572226225,6.292143125,1.096476975,0.05243452425,8.31449785e-05,0.0874097289999999,0.0163091665,3.17248155e-07,1.3406208e-06,0.00598036025,2003.3279,215.181975,0.000108043775,0.0884700044916181,0.255872949026625,5.4685627404e-06,226.691523551969,13.308132737875,0.0038142724442878,0.797042341903344,0.0605775945587062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7827844375,33,30.200832,26.416668,5.21031693333333,5.29049506666667,34.6097196041667,34.974989,25.17237775,25.6256792222222,23.1737948541667,23.3862006666667,5.20301035833333,5.29141923333333,34.5968769166667,34.6261233333333,24.68249825,25.07341125,-1.79087071083333,4.88180226666667,100.850662166667,97.7602858333333,23.20314725,23.1711781111111,0.0033548739333333,NA,0.154847595833333,NA,4.79592495,NA,24.2810794512431,23.3051358858744,34.6602745056152,0.178702994249761,0.156351159637173,5.18950148423513,4.84103882312775,0.0247997030771027,99.479149500529,5.23441322644552
