asvLen	totReads	numSamps
ASV.1	328	251921	33
ASV.2	328	149418	42
ASV.3	328	63502	41
ASV.4	328	59810	33
ASV.5	328	54670	18
ASV.6	328	37025	25
ASV.7	328	35862	19
ASV.8	364	31879	14
ASV.9	325	29089	17
ASV.10	325	27028	6
ASV.11	328	25241	22
ASV.12	364	20814	15
ASV.13	325	20332	6
ASV.14	328	20296	5
ASV.15	328	19264	9
ASV.16	328	16624	6
ASV.17	328	12755	22
ASV.18	328	11484	25
ASV.19	328	11356	18
ASV.20	325	11285	5
ASV.21	328	11106	16
ASV.22	91	8737	37
ASV.23	325	8735	3
ASV.24	328	7915	5
ASV.25	328	7418	14
ASV.26	328	6950	5
ASV.27	328	6565	4
ASV.28	328	6406	10
ASV.29	148	6313	6
ASV.30	325	6234	2
ASV.31	328	5740	16
ASV.32	328	5699	1
ASV.33	328	5441	20
ASV.34	328	5391	8
ASV.35	328	4861	10
ASV.36	364	4851	10
ASV.37	328	4177	4
ASV.38	325	4138	2
ASV.39	328	3735	10
ASV.40	328	3422	2
ASV.41	328	3398	5
ASV.42	328	3379	1
ASV.43	137	3346	24
ASV.44	328	3323	14
ASV.45	328	3290	16
ASV.46	109	3206	30
ASV.47	328	3036	4
ASV.48	328	2972	1
ASV.49	325	2847	9
ASV.50	328	2617	11
ASV.51	328	2583	4
ASV.52	328	2525	7
ASV.53	328	2492	7
ASV.54	325	2421	14
ASV.55	325	2355	3
ASV.56	328	2329	4
ASV.57	328	2317	1
ASV.58	328	2217	1
ASV.59	328	2179	9
ASV.60	328	2157	2
ASV.61	328	2098	14
ASV.62	27	2043	29
ASV.63	364	1983	10
ASV.64	325	1940	15
ASV.65	328	1874	7
ASV.66	328	1868	8
ASV.67	328	1845	6
ASV.68	328	1838	1
ASV.69	328	1823	1
ASV.70	328	1820	1
ASV.71	328	1648	1
ASV.72	328	1641	12
ASV.73	325	1611	1
ASV.76	328	1404	2
ASV.77	49	1402	4
ASV.78	328	1393	2
ASV.79	328	1382	7
ASV.80	325	1380	1
ASV.81	328	1341	1
ASV.83	328	1317	8
ASV.85	328	1228	9
ASV.86	328	1228	7
ASV.87	328	1222	9
ASV.88	328	1219	1
ASV.89	328	1198	1
ASV.91	148	1119	29
ASV.92	157	1089	36
ASV.93	328	1063	3
ASV.94	328	1034	7
ASV.95	181	1028	23
ASV.96	328	1023	5
ASV.97	325	1014	1
ASV.98	328	981	2
ASV.99	77	960	19
ASV.100	328	926	3
ASV.101	325	921	7
ASV.102	328	899	5
ASV.103	325	897	9
ASV.104	328	878	4
ASV.105	328	844	1
ASV.107	325	823	2
ASV.108	322	822	5
ASV.109	328	808	4
ASV.111	328	803	3
ASV.112	328	787	3
ASV.113	328	783	6
ASV.114	325	782	2
ASV.115	328	761	5
ASV.116	328	755	1
ASV.117	328	750	2
ASV.118	328	729	8
ASV.119	328	725	5
ASV.120	49	720	26
ASV.121	328	703	4
ASV.122	58	682	27
ASV.123	328	668	2
ASV.124	328	655	4
ASV.126	328	638	1
ASV.127	328	628	1
ASV.128	325	624	3
ASV.129	322	619	7
ASV.130	292	610	8
ASV.131	223	605	20
ASV.132	328	599	3
ASV.134	328	576	4
ASV.136	328	547	6
ASV.137	328	546	1
ASV.138	283	536	14
ASV.139	328	536	3
ASV.140	328	534	3
ASV.141	137	527	21
ASV.142	328	526	2
ASV.143	328	466	2
ASV.144	328	463	4
ASV.145	328	455	1
ASV.146	328	422	1
ASV.147	328	413	8
ASV.148	328	413	3
ASV.150	325	410	6
