#Source	Type	SizeFrac	SampName
RawFastqs/71502_S147_L001_R1_001.fastq.gz	DNA	Frac_0.2	71502_S147
RawFastqs/71502_S147_L001_R2_001.fastq.gz	DNA	Frac_0.2	71502_S147
RawFastqs/71503_S146_L001_R1_001.fastq.gz	DNA	Frac_0.2	71503_S146
RawFastqs/71503_S146_L001_R2_001.fastq.gz	DNA	Frac_0.2	71503_S146
RawFastqs/71504_S132_L001_R1_001.fastq.gz	DNA	Frac_0.2	71504_S132
RawFastqs/71504_S132_L001_R2_001.fastq.gz	DNA	Frac_0.2	71504_S132
RawFastqs/71505_S126_L001_R1_001.fastq.gz	DNA	Frac_0.2	71505_S126
RawFastqs/71505_S126_L001_R2_001.fastq.gz	DNA	Frac_0.2	71505_S126
RawFastqs/71506_S122_L001_R1_001.fastq.gz	DNA	Frac_0.2	71506_S122
RawFastqs/71506_S122_L001_R2_001.fastq.gz	DNA	Frac_0.2	71506_S122
RawFastqs/71507_S120_L001_R1_001.fastq.gz	DNA	Frac_0.2	71507_S120
RawFastqs/71507_S120_L001_R2_001.fastq.gz	DNA	Frac_0.2	71507_S120
RawFastqs/71508_S114_L001_R1_001.fastq.gz	DNA	Frac_0.2	71508_S114
RawFastqs/71508_S114_L001_R2_001.fastq.gz	DNA	Frac_0.2	71508_S114
RawFastqs/71509_S112_L001_R1_001.fastq.gz	DNA	Frac_0.2	71509_S112
RawFastqs/71509_S112_L001_R2_001.fastq.gz	DNA	Frac_0.2	71509_S112
RawFastqs/71510_S110_L001_R1_001.fastq.gz	DNA	Frac_0.2	71510_S110
RawFastqs/71510_S110_L001_R2_001.fastq.gz	DNA	Frac_0.2	71510_S110
RawFastqs/71511_S111_L001_R1_001.fastq.gz	DNA	Frac_0.2	71511_S111
RawFastqs/71511_S111_L001_R2_001.fastq.gz	DNA	Frac_0.2	71511_S111
RawFastqs/71512_S108_L001_R1_001.fastq.gz	DNA	Frac_0.2	71512_S108
RawFastqs/71512_S108_L001_R2_001.fastq.gz	DNA	Frac_0.2	71512_S108
RawFastqs/71513_S106_L001_R1_001.fastq.gz	DNA	Frac_0.2	71513_S106
RawFastqs/71513_S106_L001_R2_001.fastq.gz	DNA	Frac_0.2	71513_S106
RawFastqs/71514_S144_L001_R1_001.fastq.gz	DNA	Frac_0.2	71514_S144
RawFastqs/71514_S144_L001_R2_001.fastq.gz	DNA	Frac_0.2	71514_S144
RawFastqs/71515_S141_L001_R1_001.fastq.gz	DNA	Frac_0.2	71515_S141
RawFastqs/71515_S141_L001_R2_001.fastq.gz	DNA	Frac_0.2	71515_S141
RawFastqs/71516_S142_L001_R1_001.fastq.gz	DNA	Frac_0.2	71516_S142
RawFastqs/71516_S142_L001_R2_001.fastq.gz	DNA	Frac_0.2	71516_S142
RawFastqs/71517_S139_L001_R1_001.fastq.gz	DNA	Frac_0.2	71517_S139
RawFastqs/71517_S139_L001_R2_001.fastq.gz	DNA	Frac_0.2	71517_S139
RawFastqs/71518_S137_L001_R1_001.fastq.gz	DNA	Frac_0.2	71518_S137
RawFastqs/71518_S137_L001_R2_001.fastq.gz	DNA	Frac_0.2	71518_S137
RawFastqs/71519_S138_L001_R1_001.fastq.gz	DNA	Frac_0.2	71519_S138
RawFastqs/71519_S138_L001_R2_001.fastq.gz	DNA	Frac_0.2	71519_S138
RawFastqs/71520_S133_L001_R1_001.fastq.gz	DNA	Frac_0.2	71520_S133
RawFastqs/71520_S133_L001_R2_001.fastq.gz	DNA	Frac_0.2	71520_S133
RawFastqs/71521_S125_L001_R1_001.fastq.gz	DNA	Frac_0.2	71521_S125
RawFastqs/71521_S125_L001_R2_001.fastq.gz	DNA	Frac_0.2	71521_S125
RawFastqs/71522_S124_L001_R1_001.fastq.gz	DNA	Frac_0.2	71522_S124
RawFastqs/71522_S124_L001_R2_001.fastq.gz	DNA	Frac_0.2	71522_S124
RawFastqs/71523_S116_L001_R1_001.fastq.gz	DNA	Frac_0.2	71523_S116
RawFastqs/71523_S116_L001_R2_001.fastq.gz	DNA	Frac_0.2	71523_S116
RawFastqs/71524_S115_L001_R1_001.fastq.gz	DNA	Frac_0.2	71524_S115
RawFastqs/71524_S115_L001_R2_001.fastq.gz	DNA	Frac_0.2	71524_S115
RawFastqs/71525_S107_L001_R1_001.fastq.gz	DNA	Frac_0.2	71525_S107
RawFastqs/71525_S107_L001_R2_001.fastq.gz	DNA	Frac_0.2	71525_S107
RawFastqs/71526_S148_L001_R1_001.fastq.gz	DNA	Frac_0.2	71526_S148
RawFastqs/71526_S148_L001_R2_001.fastq.gz	DNA	Frac_0.2	71526_S148
RawFastqs/71527_S145_L001_R1_001.fastq.gz	DNA	Frac_0.2	71527_S145
RawFastqs/71527_S145_L001_R2_001.fastq.gz	DNA	Frac_0.2	71527_S145
RawFastqs/71528_S140_L001_R1_001.fastq.gz	DNA	Frac_0.2	71528_S140
RawFastqs/71528_S140_L001_R2_001.fastq.gz	DNA	Frac_0.2	71528_S140
RawFastqs/71529_S134_L001_R1_001.fastq.gz	DNA	Frac_0.2	71529_S134
RawFastqs/71529_S134_L001_R2_001.fastq.gz	DNA	Frac_0.2	71529_S134
RawFastqs/71530_S130_L001_R1_001.fastq.gz	DNA	Frac_0.2	71530_S130
RawFastqs/71530_S130_L001_R2_001.fastq.gz	DNA	Frac_0.2	71530_S130
RawFastqs/71531_S128_L001_R1_001.fastq.gz	DNA	Frac_0.2	71531_S128
RawFastqs/71531_S128_L001_R2_001.fastq.gz	DNA	Frac_0.2	71531_S128
RawFastqs/71532_S129_L001_R1_001.fastq.gz	DNA	Frac_0.2	71532_S129
RawFastqs/71532_S129_L001_R2_001.fastq.gz	DNA	Frac_0.2	71532_S129
RawFastqs/71533_S123_L001_R1_001.fastq.gz	DNA	Frac_0.2	71533_S123
RawFastqs/71533_S123_L001_R2_001.fastq.gz	DNA	Frac_0.2	71533_S123
RawFastqs/71534_S118_L001_R1_001.fastq.gz	DNA	Frac_0.2	71534_S118
RawFastqs/71534_S118_L001_R2_001.fastq.gz	DNA	Frac_0.2	71534_S118
RawFastqs/71535_S119_L001_R1_001.fastq.gz	DNA	Frac_0.2	71535_S119
RawFastqs/71535_S119_L001_R2_001.fastq.gz	DNA	Frac_0.2	71535_S119
RawFastqs/71536_S113_L001_R1_001.fastq.gz	DNA	Frac_0.2	71536_S113
RawFastqs/71536_S113_L001_R2_001.fastq.gz	DNA	Frac_0.2	71536_S113
RawFastqs/71537_S143_L001_R1_001.fastq.gz	DNA	Frac_0.2	71537_S143
RawFastqs/71537_S143_L001_R2_001.fastq.gz	DNA	Frac_0.2	71537_S143
RawFastqs/71538_S135_L001_R1_001.fastq.gz	DNA	Frac_0.2	71538_S135
RawFastqs/71538_S135_L001_R2_001.fastq.gz	DNA	Frac_0.2	71538_S135
RawFastqs/71539_S136_L001_R1_001.fastq.gz	DNA	Frac_0.2	71539_S136
RawFastqs/71539_S136_L001_R2_001.fastq.gz	DNA	Frac_0.2	71539_S136
RawFastqs/71540_S131_L001_R1_001.fastq.gz	DNA	Frac_0.2	71540_S131
RawFastqs/71540_S131_L001_R2_001.fastq.gz	DNA	Frac_0.2	71540_S131
RawFastqs/71541_S127_L001_R1_001.fastq.gz	DNA	Frac_0.2	71541_S127
RawFastqs/71541_S127_L001_R2_001.fastq.gz	DNA	Frac_0.2	71541_S127
RawFastqs/71542_S121_L001_R1_001.fastq.gz	DNA	Frac_0.2	71542_S121
RawFastqs/71542_S121_L001_R2_001.fastq.gz	DNA	Frac_0.2	71542_S121
RawFastqs/71543_S117_L001_R1_001.fastq.gz	DNA	Frac_0.2	71543_S117
RawFastqs/71543_S117_L001_R2_001.fastq.gz	DNA	Frac_0.2	71543_S117
RawFastqs/71544_S109_L001_R1_001.fastq.gz	DNA	Frac_0.2	71544_S109
RawFastqs/71544_S109_L001_R2_001.fastq.gz	DNA	Frac_0.2	71544_S109
