asvLen	totReads	numSamps
ASV.1	325	14351	9
ASV.2	328	8115	2
ASV.3	325	4137	6
ASV.4	325	3232	4
ASV.5	328	1798	2
ASV.6	325	1623	3
ASV.7	328	1211	1
ASV.8	328	1065	2
ASV.9	328	998	1
ASV.10	325	828	1
ASV.11	328	519	1
ASV.12	328	510	1
ASV.13	328	431	1
ASV.14	328	326	1
ASV.15	325	316	2
ASV.16	325	261	1
ASV.17	325	252	1
ASV.18	328	242	1
ASV.19	328	218	1
ASV.20	328	183	1
ASV.21	328	176	1
ASV.22	328	159	2
ASV.23	325	151	1
ASV.24	328	146	1
ASV.25	328	146	1
ASV.26	328	144	1
ASV.27	328	137	1
ASV.28	328	136	1
ASV.29	328	135	1
ASV.30	328	131	1
ASV.31	328	126	1
ASV.32	328	122	1
ASV.33	328	113	1
ASV.34	328	110	1
ASV.35	328	107	1
ASV.36	328	102	1
ASV.37	328	85	1
ASV.38	328	82	1
ASV.39	328	82	1
ASV.40	328	79	1
ASV.41	325	77	2
ASV.42	328	75	1
ASV.43	328	70	2
ASV.44	328	69	1
ASV.45	328	69	1
ASV.46	328	68	1
ASV.48	328	60	1
ASV.49	328	57	2
ASV.50	325	57	1
ASV.51	328	56	1
ASV.52	52	54	3
ASV.53	328	53	1
ASV.54	328	53	1
ASV.55	328	52	1
ASV.56	328	50	1
ASV.57	328	49	1
ASV.58	328	47	1
ASV.59	328	47	1
ASV.60	325	46	1
ASV.61	328	44	1
ASV.62	328	44	1
ASV.63	325	43	1
ASV.64	328	41	1
ASV.65	328	39	1
ASV.66	328	37	1
ASV.67	328	37	1
ASV.68	328	34	1
ASV.69	328	33	1
ASV.70	328	32	1
ASV.71	328	31	1
ASV.72	328	31	1
ASV.73	328	31	1
ASV.74	328	29	1
ASV.75	322	29	1
ASV.76	328	26	1
ASV.77	328	25	1
ASV.78	328	22	1
ASV.79	328	22	1
ASV.80	328	20	1
ASV.81	325	20	1
ASV.82	328	19	1
ASV.83	328	19	1
ASV.84	328	16	1
ASV.85	328	15	1
ASV.86	328	15	1
ASV.87	328	15	1
ASV.89	328	14	1
ASV.90	328	14	1
ASV.91	328	14	1
ASV.92	328	14	1
ASV.93	328	13	1
ASV.95	50	12	1
ASV.96	328	11	1
ASV.97	328	10	1
ASV.98	328	9	1
ASV.99	322	8	1
ASV.100	328	8	1
ASV.101	328	8	1
ASV.102	328	5	1
ASV.103	328	5	1
ASV.104	325	3	1
ASV.107	328	2	1
ASV.108	328	1	1
ASV.109	328	1	1
ASV.110	120	1	1
