SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.1	0	2299	2448	2029	1626	549	3638	1046	0	678	0	38	0	0
ASV.2	4606	0	0	0	0	0	0	0	3509	0	0	0	0	0
ASV.3	0	447	369	1227	581	265	0	1248	0	0	0	0	0	0
ASV.4	0	0	0	252	177	935	0	1868	0	0	0	0	0	0
ASV.5	1261	0	0	0	0	0	0	0	537	0	0	0	0	0
ASV.6	0	1393	0	0	0	0	214	0	0	0	0	16	0	0
ASV.7	0	0	1211	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	0	0	80	985	0	0	0	0	0	0	0	0
ASV.9	0	0	0	0	0	0	0	0	0	0	0	998	0	0
ASV.10	0	0	0	0	0	0	0	0	0	0	0	828	0	0
ASV.11	0	0	0	0	0	0	0	0	519	0	0	0	0	0
ASV.12	0	0	0	0	0	0	510	0	0	0	0	0	0	0
ASV.13	0	0	0	0	0	0	0	0	0	0	0	431	0	0
ASV.14	0	0	0	0	0	0	0	0	0	0	0	0	326	0
ASV.15	0	0	0	153	0	0	0	163	0	0	0	0	0	0
ASV.16	0	0	0	0	0	0	261	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	252	0	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	0	0	242	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	0	0	218	0
ASV.20	0	0	0	0	0	0	0	0	0	0	0	0	0	183
ASV.21	0	0	0	0	0	0	0	0	0	0	0	0	0	176
ASV.22	0	0	0	0	22	137	0	0	0	0	0	0	0	0
ASV.23	0	0	0	0	151	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	146	0	0	0	0	0	0	0	0
ASV.25	0	0	0	0	0	0	146	0	0	0	0	0	0	0
ASV.26	0	0	0	0	0	0	0	0	0	0	144	0	0	0
ASV.27	0	0	0	0	0	0	0	0	0	0	137	0	0	0
ASV.28	0	0	0	0	0	0	0	0	0	0	136	0	0	0
ASV.29	0	0	135	0	0	0	0	0	0	0	0	0	0	0
ASV.30	0	0	0	0	0	131	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	0	126	0	0	0	0	0	0
ASV.32	0	0	0	0	0	0	0	0	0	0	0	122	0	0
ASV.33	0	0	0	0	0	0	0	0	0	0	0	0	113	0
ASV.34	0	0	0	0	0	0	0	0	110	0	0	0	0	0
ASV.35	0	0	0	0	0	0	0	0	0	107	0	0	0	0
