asvLen	totReads	numSamps
ASV.1	325	9419	6
ASV.2	328	6741	5
ASV.3	325	2242	1
ASV.4	328	1566	1
ASV.5	325	1271	1
ASV.6	325	922	1
ASV.7	325	568	1
ASV.8	325	329	1
ASV.9	325	176	1
ASV.10	328	152	1
ASV.11	328	146	1
ASV.12	325	143	1
ASV.13	325	85	1
ASV.14	89	71	1
ASV.17	328	31	1
ASV.18	328	27	1
ASV.19	328	25	1
ASV.20	328	22	1
ASV.21	328	20	1
ASV.22	328	20	1
ASV.23	328	20	1
ASV.24	45	18	1
ASV.25	328	18	1
ASV.26	328	15	1
ASV.27	328	15	1
ASV.28	328	14	1
ASV.29	52	14	2
ASV.30	177	12	1
ASV.31	104	11	1
ASV.32	328	8	1
ASV.33	37	8	1
ASV.34	60	7	1
ASV.35	58	7	1
ASV.36	55	4	1
