asvLen	totReads	numSamps
ASV.1	328	1009	1
ASV.2	328	766	1
ASV.3	328	709	3
ASV.4	325	660	2
ASV.5	328	538	1
ASV.6	328	472	2
ASV.7	328	419	1
ASV.8	328	372	1
ASV.9	328	365	1
ASV.10	328	361	1
ASV.11	328	355	1
ASV.12	328	354	1
ASV.13	328	349	1
ASV.14	325	343	1
ASV.15	328	326	1
ASV.16	328	250	1
ASV.17	328	220	2
ASV.18	328	219	1
ASV.19	328	198	1
ASV.20	328	192	1
ASV.21	328	160	1
ASV.22	328	158	1
ASV.23	325	151	1
ASV.24	328	151	1
ASV.25	325	145	2
ASV.26	328	143	1
ASV.27	328	135	1
ASV.28	328	132	1
ASV.29	117	129	1
ASV.30	328	128	1
ASV.31	328	128	1
ASV.32	322	125	1
ASV.33	328	124	1
ASV.34	328	111	1
ASV.35	328	108	1
ASV.36	325	105	2
ASV.37	364	103	1
ASV.38	328	99	1
ASV.39	328	90	1
ASV.40	328	89	1
ASV.41	328	89	1
ASV.42	328	85	1
ASV.43	328	82	1
ASV.44	328	80	1
ASV.45	364	72	1
ASV.46	328	69	1
ASV.47	328	67	2
ASV.48	145	67	3
ASV.49	328	64	1
ASV.50	328	64	1
ASV.51	328	59	1
ASV.52	328	59	1
ASV.53	328	55	1
ASV.54	328	47	1
ASV.55	328	45	1
ASV.56	328	45	1
ASV.57	328	44	1
ASV.58	325	43	1
ASV.59	328	42	1
ASV.60	325	41	1
ASV.61	328	40	1
ASV.62	328	38	1
ASV.63	328	37	1
ASV.64	328	36	1
ASV.65	328	32	1
ASV.66	328	28	1
ASV.67	328	27	1
ASV.68	118	27	1
ASV.69	328	25	1
ASV.70	322	23	1
ASV.71	328	17	1
ASV.72	328	16	1
ASV.73	328	16	1
ASV.74	328	16	1
ASV.75	328	10	1
ASV.76	328	10	1
ASV.77	222	6	1
ASV.78	80	3	1
ASV.80	328	1	1
ASV.81	325	1	1
