#Source	Location	Type	TargetDir
SRP038933_download.noBackup/SRR1178342_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR16
SRP038933_download.noBackup/SRR1178342_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR16
SRP038933_download.noBackup/SRR1178343_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR19
SRP038933_download.noBackup/SRR1178343_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR19
SRP038933_download.noBackup/SRR1178344_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR20
SRP038933_download.noBackup/SRR1178344_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR20
SRP038933_download.noBackup/SRR1178345_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD1
SRP038933_download.noBackup/SRR1178345_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD1
SRP038933_download.noBackup/SRR1178346_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD2
SRP038933_download.noBackup/SRR1178346_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD2
SRP038933_download.noBackup/SRR1178347_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD5
SRP038933_download.noBackup/SRR1178347_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD5
SRP038933_download.noBackup/SRR1178348_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD6
SRP038933_download.noBackup/SRR1178348_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD6
SRP038933_download.noBackup/SRR1178349_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD7
SRP038933_download.noBackup/SRR1178349_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD7
SRP038933_download.noBackup/SRR1178350_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD8
SRP038933_download.noBackup/SRR1178350_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD8
SRP038933_download.noBackup/SRR1178351_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD11
SRP038933_download.noBackup/SRR1178351_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD11
SRP038933_download.noBackup/SRR1178352_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD12
SRP038933_download.noBackup/SRR1178352_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD12
SRP038933_download.noBackup/SRR1178353_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD13
SRP038933_download.noBackup/SRR1178353_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD13
SRP038933_download.noBackup/SRR1178354_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD19
SRP038933_download.noBackup/SRR1178354_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD19
SRP038933_download.noBackup/SRR1178355_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD14
SRP038933_download.noBackup/SRR1178355_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD14
SRP038933_download.noBackup/SRR1178356_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD15
SRP038933_download.noBackup/SRR1178356_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD15
SRP038933_download.noBackup/SRR1178357_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD16
SRP038933_download.noBackup/SRR1178357_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD16
SRP038933_download.noBackup/SRR1178358_stuff_R1_001.fastq.gz	GreatBelt	DNA	SD20
SRP038933_download.noBackup/SRR1178358_stuff_R2_001.fastq.gz	GreatBelt	DNA	SD20
SRP038933_download.noBackup/SRR1178359_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR1
SRP038933_download.noBackup/SRR1178359_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR1
SRP038933_download.noBackup/SRR1178360_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR2
SRP038933_download.noBackup/SRR1178360_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR2
SRP038933_download.noBackup/SRR1178361_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR5
SRP038933_download.noBackup/SRR1178361_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR5
SRP038933_download.noBackup/SRR1178362_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR6
SRP038933_download.noBackup/SRR1178362_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR6
SRP038933_download.noBackup/SRR1178363_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR7
SRP038933_download.noBackup/SRR1178363_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR7
SRP038933_download.noBackup/SRR1178364_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR8
SRP038933_download.noBackup/SRR1178364_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR8
SRP038933_download.noBackup/SRR1178365_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR11
SRP038933_download.noBackup/SRR1178365_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR11
SRP038933_download.noBackup/SRR1178366_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR12
SRP038933_download.noBackup/SRR1178366_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR12
SRP038933_download.noBackup/SRR1178367_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR13
SRP038933_download.noBackup/SRR1178367_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR13
SRP038933_download.noBackup/SRR1178368_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR14
SRP038933_download.noBackup/SRR1178368_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR14
SRP038933_download.noBackup/SRR1178369_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR16
SRP038933_download.noBackup/SRR1178369_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR16
SRP038933_download.noBackup/SRR1178370_stuff_R1_001.fastq.gz	GreatBelt	RNA	SR17
SRP038933_download.noBackup/SRR1178370_stuff_R2_001.fastq.gz	GreatBelt	RNA	SR17
