asvLen	totReads	numSamps
ASV.1	307	211056	32
ASV.2	307	150561	12
ASV.3	307	94671	30
ASV.4	310	85317	32
ASV.5	307	71022	22
ASV.6	307	42117	24
ASV.7	310	34673	32
ASV.8	307	31863	14
ASV.9	307	31506	20
ASV.10	310	25457	9
ASV.11	307	21698	7
ASV.12	307	20926	22
ASV.13	307	17439	29
ASV.14	310	16720	12
ASV.15	307	15267	12
ASV.16	307	14736	4
ASV.17	301	12523	4
ASV.18	307	12201	6
ASV.19	307	11389	20
ASV.20	310	11308	7
ASV.21	310	11034	11
ASV.22	307	10749	12
ASV.23	310	10372	6
ASV.24	310	9321	8
ASV.25	307	8351	8
ASV.26	310	8192	12
ASV.27	310	7936	3
ASV.28	307	7842	8
ASV.29	307	7533	9
ASV.30	307	7472	6
ASV.31	306	7373	1
ASV.32	307	7249	10
ASV.33	310	6026	11
ASV.34	307	5905	16
ASV.35	273	5866	20
ASV.36	306	5786	9
ASV.37	307	5534	3
ASV.38	310	5435	4
ASV.39	307	5430	1
ASV.40	307	5158	6
ASV.41	307	4837	19
ASV.42	307	4504	4
ASV.43	307	4371	6
ASV.44	310	4253	12
ASV.45	310	4217	4
ASV.46	310	4121	2
ASV.47	310	4055	7
ASV.48	306	3804	4
ASV.49	307	3645	6
ASV.50	307	3606	4
ASV.51	310	3583	3
ASV.52	307	3473	4
ASV.53	307	3460	6
ASV.54	307	3369	2
ASV.55	310	3330	2
ASV.56	310	3210	14
ASV.57	310	3140	16
ASV.58	307	3138	3
ASV.59	307	3111	4
ASV.60	306	2930	4
ASV.61	307	2828	5
ASV.62	273	2727	9
ASV.63	340	2684	1
ASV.64	310	2661	10
ASV.65	267	2576	1
ASV.66	212	2371	6
ASV.67	310	2337	2
ASV.68	310	2233	14
ASV.69	307	2202	6
ASV.70	310	2142	3
ASV.71	307	2128	5
ASV.72	310	2126	6
ASV.73	307	2117	2
ASV.74	307	2116	4
ASV.75	306	2080	3
ASV.76	307	2079	4
ASV.77	307	2072	3
ASV.78	307	2069	3
ASV.79	307	2064	1
ASV.80	307	2011	3
ASV.81	310	1965	1
ASV.82	307	1956	3
ASV.83	307	1954	1
ASV.84	310	1855	7
ASV.85	310	1844	2
ASV.86	310	1824	3
ASV.87	310	1804	6
ASV.88	310	1761	4
ASV.89	310	1729	1
ASV.90	307	1707	1
ASV.91	304	1687	4
ASV.92	307	1645	2
ASV.93	307	1603	2
ASV.94	310	1588	2
ASV.95	302	1580	5
ASV.96	310	1568	2
ASV.97	310	1556	4
ASV.98	310	1546	1
ASV.99	307	1544	1
ASV.100	307	1536	4
ASV.101	304	1522	1
ASV.102	310	1489	2
ASV.103	307	1474	2
ASV.104	307	1472	1
ASV.105	310	1450	1
ASV.106	280	1410	3
ASV.107	310	1409	2
ASV.108	304	1398	3
ASV.109	310	1367	8
ASV.110	307	1362	3
ASV.111	310	1299	9
ASV.112	310	1297	7
ASV.113	310	1270	4
ASV.114	310	1252	2
ASV.115	301	1234	1
ASV.116	310	1201	3
ASV.117	310	1186	4
ASV.118	310	1179	6
ASV.119	273	1170	8
ASV.120	306	1139	1
ASV.123	310	1093	1
ASV.124	310	1078	2
ASV.125	307	1078	1
ASV.126	303	1058	1
ASV.127	310	1054	1
ASV.128	310	1032	6
ASV.129	310	1024	6
ASV.130	310	985	5
ASV.131	273	982	7
ASV.132	346	979	2
ASV.133	310	973	3
ASV.134	310	969	10
ASV.135	310	967	1
ASV.136	301	927	1
ASV.137	310	926	2
ASV.138	307	923	2
ASV.139	307	923	2
ASV.140	310	915	2
ASV.141	310	903	2
ASV.143	310	899	3
ASV.144	307	882	3
ASV.145	310	877	2
ASV.146	258	875	2
ASV.147	307	873	2
ASV.148	307	862	2
ASV.149	307	845	1
ASV.150	307	842	1
ASV.151	310	836	2
ASV.152	310	828	1
ASV.153	307	819	3
ASV.154	310	819	2
ASV.155	304	814	4
ASV.156	310	812	4
ASV.157	310	799	2
ASV.158	303	798	1
ASV.159	310	790	3
ASV.160	307	782	9
ASV.161	310	779	2
ASV.162	310	773	1
ASV.163	310	768	11
ASV.164	310	761	8
ASV.165	307	750	1
ASV.166	273	745	6
ASV.167	303	731	1
ASV.168	303	730	1
ASV.169	307	729	1
ASV.170	310	724	1
ASV.171	307	712	2
ASV.172	310	700	2
ASV.173	303	698	1
ASV.174	310	689	1
ASV.175	310	682	1
