SRR11784070	SRR11784071	SRR11784072	SRR11784073	SRR11784074	SRR11784075	SRR11784076	SRR11784077	SRR11784078	SRR11784079	SRR11784080	SRR11784081	SRR11784082	SRR11784083	SRR11784084	SRR11784085	SRR11784086	SRR11784087	SRR11784088	SRR11784089	SRR11784090	SRR11784091	SRR11784092	SRR11784093	SRR11784094	SRR11784095	SRR11784096	SRR11784097	SRR11784098	SRR11784099	SRR11784100	SRR11784101
ASV.1	930	3964	17567	10595	4852	11540	24421	42372	830	7506	326	1221	14118	13810	3082	397	612	5793	4231	1996	6187	588	1082	4839	13192	3949	317	787	1979	5520	1348	1105
ASV.2	0	0	0	5	245	0	840	7006	0	2100	14592	37286	684	3244	18499	25933	40127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.3	1845	128	3388	9966	4359	2032	0	0	2590	160	426	16586	22	23	227	144	4154	179	3167	4129	288	1191	2064	548	6101	3497	1122	1571	1779	3464	12733	6788
ASV.4	731	1821	3533	9815	5423	7307	1496	2730	4081	303	603	5487	475	662	4555	8857	4350	57	828	3744	289	281	1169	1119	1132	697	4522	3563	2738	1157	798	994
ASV.5	6466	0	974	199	56	31	0	0	1930	399	482	23836	0	0	337	4365	1661	51	175	65	96	0	0	0	0	0	64	2460	213	63	11330	15769
ASV.6	599	1631	1324	2852	1695	1066	111	138	1192	325	5126	7508	0	67	7594	3801	1635	0	24	1086	0	0	0	0	0	0	497	2540	349	562	238	157
ASV.7	311	1171	1473	907	1564	2140	754	801	495	48	69	398	320	179	1061	1117	213	45	2683	590	914	933	2198	3010	3041	2900	2049	1485	374	289	692	449
ASV.8	73	0	4031	1430	299	209	0	0	6046	0	0	0	0	0	0	0	0	0	0	169	53	0	0	0	0	0	12502	4627	280	229	1631	284
ASV.9	282	0	0	957	1405	0	3654	3228	0	687	0	325	2305	1086	2707	0	0	845	336	4442	707	2930	2232	0	1806	0	0	1191	0	209	172	0
ASV.10	0	0	0	0	0	0	0	3662	0	115	12049	345	0	842	4479	3571	279	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0
ASV.11	0	0	0	0	28	0	0	0	0	0	0	0	0	7	0	0	0	0	10661	59	10809	0	0	0	0	0	0	0	0	0	68	66
ASV.12	610	1196	581	1932	2687	1130	2615	1116	1902	0	0	1341	1647	287	138	0	0	0	321	161	0	0	0	135	147	0	893	0	587	104	221	1175
ASV.13	337	344	221	517	979	326	1708	385	634	30	27	663	885	99	1757	200	438	330	170	96	2048	518	98	0	0	26	280	198	1143	0	339	2643
ASV.14	560	0	0	76	2493	2292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	9	11	583	33	51	10556	36	0
ASV.15	38	8089	0	942	46	0	0	0	18	0	0	0	0	0	0	0	0	14	227	27	0	2162	2218	0	1420	0	0	66	0	0	0	0
ASV.16	0	0	0	25	0	0	0	0	22	0	0	0	0	0	0	0	0	0	44	14645	0	0	0	0	0	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	0	0	12270	96	52	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	1803	3771	0	0	0	0	911	1129	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	4247	0
ASV.19	118	509	3577	0	0	4186	0	271	579	0	0	56	0	186	244	114	108	0	0	134	82	30	0	0	29	93	877	86	0	68	0	42
