asvLen	totReads	numSamps
ASV.1	22	294253	32
ASV.2	34	237618	41
ASV.3	325	196076	17
ASV.4	328	166186	2
ASV.5	328	142137	7
ASV.6	328	122587	1
ASV.7	325	118892	10
ASV.8	328	112835	2
ASV.9	60	75199	6
ASV.10	31	66285	17
ASV.11	328	63910	7
ASV.12	205	40139	4
ASV.13	55	36766	7
ASV.14	23	29548	9
ASV.15	235	29412	1
ASV.16	84	28186	10
ASV.18	30	25554	10
ASV.19	235	24233	3
ASV.21	31	17571	4
ASV.22	41	16960	6
ASV.23	328	15987	1
ASV.24	34	15243	6
ASV.25	96	14478	6
ASV.26	55	12628	5
ASV.28	31	11962	6
ASV.29	122	11490	3
ASV.30	34	11048	4
ASV.31	80	10862	6
ASV.32	41	9968	4
ASV.35	30	8953	3
ASV.36	89	8398	5
ASV.37	328	8349	2
ASV.38	46	8234	4
ASV.40	32	7508	6
ASV.41	101	7234	3
ASV.42	49	7232	2
ASV.43	65	7044	7
ASV.44	169	6807	3
ASV.45	48	6697	2
ASV.46	325	6550	1
ASV.50	328	5893	2
ASV.51	64	5846	4
ASV.54	51	5452	13
ASV.55	80	5217	3
ASV.57	46	4994	4
ASV.58	295	4969	2
ASV.59	41	4963	5
ASV.60	86	4924	5
ASV.61	50	4915	2
ASV.62	109	4824	7
ASV.64	60	4763	5
ASV.66	44	4547	8
ASV.67	70	4350	3
ASV.69	67	4220	2
ASV.70	111	4205	4
ASV.71	49	4184	5
ASV.72	158	4161	5
ASV.73	44	4116	2
ASV.74	67	4098	4
ASV.75	325	3943	3
ASV.77	37	3731	6
ASV.78	187	3693	2
ASV.79	39	3637	5
ASV.81	36	3590	5
ASV.82	56	3565	4
ASV.84	32	3480	8
ASV.85	48	3349	5
ASV.87	80	3250	2
ASV.90	35	3210	1
ASV.91	328	3205	1
ASV.94	34	3117	2
ASV.95	328	3099	2
ASV.96	37	3091	6
ASV.97	198	3056	1
ASV.98	112	3040	1
ASV.101	70	2980	2
ASV.103	180	2976	3
ASV.104	325	2954	3
ASV.106	35	2922	2
ASV.107	73	2903	3
ASV.109	325	2844	9
ASV.110	142	2834	1
ASV.111	169	2831	2
ASV.112	56	2805	8
ASV.113	126	2736	6
ASV.114	29	2732	14
ASV.115	37	2716	5
ASV.117	48	2673	1
ASV.118	44	2672	7
ASV.120	59	2628	2
ASV.121	59	2626	2
ASV.123	100	2598	3
ASV.124	190	2586	3
ASV.125	187	2514	4
ASV.127	63	2472	3
ASV.129	115	2443	4
ASV.130	262	2422	2
ASV.131	43	2415	2
ASV.132	48	2409	2
ASV.135	48	2352	3
ASV.136	49	2350	3
ASV.137	54	2346	4
ASV.139	37	2337	2
ASV.140	43	2332	2
ASV.141	55	2328	4
ASV.143	118	2292	2
ASV.144	224	2276	2
ASV.145	35	2243	3
ASV.147	77	2217	3
ASV.149	90	2205	6
ASV.150	49	2201	7
ASV.151	51	2195	1
ASV.152	47	2164	2
ASV.153	62	2144	3
ASV.154	53	2144	1
ASV.155	67	2121	1
ASV.156	58	2105	5
ASV.159	80	2100	3
ASV.160	303	2093	1
ASV.161	109	2054	3
ASV.163	37	2012	2
ASV.164	48	1987	4
ASV.165	130	1975	4
ASV.168	32	1942	2
ASV.169	41	1926	8
ASV.171	112	1861	2
ASV.172	123	1856	1
ASV.174	71	1853	1
ASV.176	71	1848	5
ASV.177	69	1835	4
ASV.178	84	1833	1
ASV.179	73	1830	2
ASV.180	131	1817	2
ASV.182	37	1791	3
ASV.184	303	1787	1
ASV.185	57	1766	1
ASV.186	118	1760	2
ASV.187	43	1755	1
ASV.189	104	1744	2
ASV.191	84	1735	1
ASV.192	73	1729	2
ASV.193	102	1717	3
ASV.194	61	1708	1
ASV.196	86	1701	1
ASV.197	67	1701	1
ASV.198	84	1701	1
ASV.200	133	1695	1
ASV.202	57	1668	5
ASV.204	32	1657	2
ASV.206	35	1645	3
ASV.207	86	1641	3
ASV.208	40	1640	2
ASV.209	56	1639	4
ASV.210	145	1639	1
ASV.211	46	1638	2
ASV.214	61	1614	2
