#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563446_R1.fastq.gz	DNA	Frac_0.2	SRR15563446
RawFastqs/SRR15563446_R2.fastq.gz	DNA	Frac_0.2	SRR15563446
RawFastqs/SRR15563447_R1.fastq.gz	DNA	Frac_0.2	SRR15563447
RawFastqs/SRR15563447_R2.fastq.gz	DNA	Frac_0.2	SRR15563447
RawFastqs/SRR15563448_R1.fastq.gz	DNA	Frac_0.2	SRR15563448
RawFastqs/SRR15563448_R2.fastq.gz	DNA	Frac_0.2	SRR15563448
RawFastqs/SRR15563449_R1.fastq.gz	DNA	Frac_0.2	SRR15563449
RawFastqs/SRR15563449_R2.fastq.gz	DNA	Frac_0.2	SRR15563449
RawFastqs/SRR15563450_R1.fastq.gz	DNA	Frac_0.2	SRR15563450
RawFastqs/SRR15563450_R2.fastq.gz	DNA	Frac_0.2	SRR15563450
RawFastqs/SRR15563451_R1.fastq.gz	DNA	Frac_0.2	SRR15563451
RawFastqs/SRR15563451_R2.fastq.gz	DNA	Frac_0.2	SRR15563451
RawFastqs/SRR15563452_R1.fastq.gz	DNA	Frac_0.2	SRR15563452
RawFastqs/SRR15563452_R2.fastq.gz	DNA	Frac_0.2	SRR15563452
RawFastqs/SRR15563453_R1.fastq.gz	DNA	Frac_0.2	SRR15563453
RawFastqs/SRR15563453_R2.fastq.gz	DNA	Frac_0.2	SRR15563453
RawFastqs/SRR15563454_R1.fastq.gz	DNA	Frac_0.2	SRR15563454
RawFastqs/SRR15563454_R2.fastq.gz	DNA	Frac_0.2	SRR15563454
RawFastqs/SRR15563455_R1.fastq.gz	DNA	Frac_0.2	SRR15563455
RawFastqs/SRR15563455_R2.fastq.gz	DNA	Frac_0.2	SRR15563455
RawFastqs/SRR15563456_R1.fastq.gz	DNA	Frac_0.2	SRR15563456
RawFastqs/SRR15563456_R2.fastq.gz	DNA	Frac_0.2	SRR15563456
RawFastqs/SRR15563457_R1.fastq.gz	DNA	Frac_0.2	SRR15563457
RawFastqs/SRR15563457_R2.fastq.gz	DNA	Frac_0.2	SRR15563457
