asvLen	totReads	numSamps
ASV.1	296	125779	35
ASV.2	328	88402	14
ASV.3	295	73836	28
ASV.4	325	44608	3
ASV.5	328	37960	11
ASV.6	61	35064	42
ASV.7	328	26279	11
ASV.8	325	21683	4
ASV.9	61	14785	32
ASV.10	328	13940	7
ASV.11	104	13515	34
ASV.12	70	10672	21
ASV.13	328	10299	10
ASV.14	328	10222	9
ASV.15	61	10217	30
ASV.16	328	8308	10
ASV.17	328	8137	4
ASV.18	328	7734	4
ASV.19	328	7235	6
ASV.20	328	7108	2
ASV.21	328	7036	5
ASV.22	328	6924	15
ASV.23	139	6918	23
ASV.24	328	6088	1
ASV.25	43	5720	22
ASV.26	52	5579	16
ASV.27	328	5266	5
ASV.28	133	5226	5
ASV.29	328	4709	1
ASV.30	328	4496	1
ASV.31	328	4362	1
ASV.32	162	4332	30
ASV.33	328	4277	3
ASV.34	328	4200	10
ASV.35	296	4150	12
ASV.37	328	3788	1
ASV.38	328	3741	1
ASV.39	28	3518	34
ASV.40	328	3403	3
ASV.41	297	3228	9
ASV.42	43	3095	26
ASV.43	328	3068	2
ASV.44	328	3034	2
ASV.45	328	3003	1
ASV.46	328	2826	4
ASV.47	328	2571	1
ASV.48	328	2569	3
ASV.49	328	2522	1
ASV.50	328	2505	1
ASV.52	328	2406	1
ASV.53	328	2382	2
ASV.54	133	2379	23
ASV.55	328	2362	1
ASV.56	328	2354	2
ASV.57	328	2335	2
ASV.58	280	2329	14
ASV.59	328	2225	1
ASV.61	328	2144	3
ASV.62	328	2132	1
ASV.63	328	2088	1
ASV.64	328	2076	1
ASV.65	328	2055	1
ASV.66	27	2017	30
ASV.67	337	1976	4
ASV.68	328	1934	2
ASV.69	328	1914	3
ASV.70	358	1882	1
ASV.71	328	1835	1
ASV.72	87	1812	14
ASV.73	328	1788	2
ASV.74	328	1728	3
ASV.75	328	1700	1
ASV.76	328	1684	3
ASV.77	328	1667	5
ASV.78	328	1629	1
ASV.79	328	1596	1
ASV.80	328	1574	2
ASV.82	328	1539	2
ASV.83	328	1531	1
ASV.84	59	1511	29
ASV.85	328	1485	1
ASV.86	328	1473	4
ASV.87	295	1470	12
ASV.88	328	1468	4
ASV.89	40	1446	25
ASV.90	184	1441	15
ASV.92	328	1398	1
ASV.93	133	1393	28
ASV.94	328	1377	1
ASV.95	328	1367	1
ASV.96	328	1355	1
ASV.97	328	1346	1
ASV.98	214	1326	12
ASV.99	328	1318	1
ASV.100	328	1302	1
ASV.101	237	1290	8
ASV.102	328	1257	1
ASV.103	328	1246	1
ASV.105	328	1214	1
ASV.106	149	1197	16
ASV.107	328	1168	1
ASV.110	328	1162	1
ASV.111	328	1148	1
ASV.112	328	1138	1
ASV.113	328	1118	1
ASV.114	172	1108	17
ASV.115	49	1080	20
ASV.116	104	1080	11
ASV.117	163	1074	1
ASV.118	328	1068	4
ASV.119	328	1058	2
ASV.120	328	1055	1
ASV.121	328	1044	3
ASV.122	328	1040	1
ASV.125	328	998	1
ASV.126	141	994	2
ASV.127	328	984	1
ASV.128	36	974	10
ASV.129	328	968	1
ASV.130	251	966	1
ASV.131	328	961	3
ASV.132	328	951	1
ASV.133	162	939	17
ASV.134	109	938	7
ASV.135	328	937	1
ASV.136	59	936	12
ASV.137	328	925	4
ASV.138	325	925	1
ASV.139	328	922	1
ASV.141	328	899	2
ASV.142	287	891	2
ASV.143	328	887	1
ASV.144	74	876	11
ASV.145	50	862	20
ASV.146	328	860	1
ASV.147	328	852	1
ASV.150	320	829	6
ASV.151	328	824	1
ASV.152	328	824	1
ASV.153	328	818	1
ASV.154	328	807	1
ASV.155	328	805	1
ASV.156	328	803	1
ASV.157	328	802	1
ASV.158	328	796	1
ASV.159	328	789	1
ASV.160	328	786	2
ASV.161	328	777	2
ASV.163	328	770	1
ASV.164	49	760	8
ASV.165	328	746	1
ASV.167	328	724	1
ASV.168	328	718	1
ASV.169	328	716	1
ASV.170	135	715	11
ASV.171	328	713	1
ASV.172	328	713	1
ASV.173	157	706	3
ASV.175	280	696	11
ASV.176	328	696	1
ASV.177	65	693	12
ASV.178	328	691	1
ASV.179	176	681	2
ASV.180	32	680	4
ASV.181	65	663	10
ASV.182	328	655	1
ASV.183	328	650	1
ASV.185	328	644	1
ASV.186	328	642	1
ASV.187	46	638	22
ASV.188	328	638	1
ASV.189	325	632	1
ASV.190	328	622	1
ASV.191	328	620	1
ASV.192	328	616	1
ASV.193	328	614	1
ASV.194	328	613	1
ASV.196	328	611	1
ASV.197	30	608	6
ASV.198	325	605	1
ASV.199	328	600	1
ASV.200	328	592	1
ASV.201	328	590	1
ASV.202	328	589	1
ASV.203	328	580	1
ASV.204	328	574	1
ASV.205	328	569	1
ASV.206	328	565	1
ASV.207	163	564	1
ASV.208	328	561	2
ASV.210	328	553	1
ASV.211	328	547	1
ASV.212	296	541	2
ASV.213	328	541	1
ASV.214	322	541	1
ASV.215	328	532	2
ASV.217	328	515	1
ASV.218	328	506	2
ASV.221	328	496	1
ASV.222	328	495	1
ASV.223	328	495	1
ASV.224	328	488	1
ASV.225	367	487	3
ASV.226	183	477	3
ASV.227	328	471	1
ASV.228	121	471	6
ASV.229	328	468	1
ASV.230	163	464	5
ASV.231	328	463	1
ASV.232	328	459	1
ASV.233	328	453	2
ASV.234	235	444	4
ASV.235	54	444	18
ASV.236	174	440	4
ASV.237	328	433	1
ASV.238	328	431	3
ASV.239	328	428	1
ASV.240	328	427	2
ASV.241	141	427	1
ASV.242	328	426	1
ASV.243	328	426	1
ASV.244	133	424	8
ASV.245	328	423	1
ASV.246	328	417	1
ASV.247	328	416	2
ASV.248	328	416	1
ASV.249	328	412	2
ASV.250	328	411	1
ASV.251	328	408	1
ASV.252	280	401	8
ASV.253	328	399	1
