Harding138-63181_S138	Harding140-63189_S140	Harding142-63191_S142	Harding144-63201_S144	Harding146-63211_S146	Harding148-63217_S148	Harding150-63221_S150	Harding152-63235_S152	Harding154-63243_S154	Harding157-64171_S157	Harding159-64179_S159	Harding162-64203_S162	Harding164-64211_S164	Harding166-64219_S166	Harding168-64227_S168	Harding170-64235_S170	Harding171-64243_S171	Harding172-64259_S172	Harding173-64267_S173	Harding175-64283_S175	Harding178-64299_S178	Harding180-64307_S180	Harding182-65458_S182	Harding184-65466_S184	Harding186-65474_S186	Harding189-65490_S189	Harding191-65510_S191	Harding194-65532_S194	Harding196-65546_S196	Harding198-65548_S198	Harding199-65556_S199	Harding201-65567_S201	Harding203-65575_S203	Harding205-65583_S205	Harding207-65591_S207	Harding210-65607_S210	Harding212-65639_S212	Harding214-65647_S214	Harding222-66631_S222	Harding223-66672_S223	Harding225-66680_S225	Harding228-66697_S228	Harding230-66706_S230
ASV.1	0	0	7071	1104	17107	0	2829	8939	1315	0	766	10435	4487	366	14330	3689	10596	943	14839	471	983	532	3744	531	590	0	300	3813	73	0	0	3792	0	4409	642	241	57	510	2639	1113	1516	709	298
ASV.2	0	9266	0	0	0	0	0	0	0	4206	0	0	0	0	0	0	0	0	0	0	0	0	0	2003	4032	0	0	2061	8353	21973	0	0	0	6964	920	6391	6258	0	3823	0	7363	4789	0
ASV.3	0	19044	5667	426	5430	19879	1030	6182	4780	218	45	83	342	0	70	1711	0	0	0	42	117	17	342	4671	0	0	0	748	195	48	0	0	0	653	1543	0	0	0	302	158	52	0	41
ASV.4	30992	5355	8261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	649	0	0	870	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	678	0	1075	0	14424	0	0	5378	1860	0	0	0	4811	5849	0
ASV.6	52	204	912	73	1363	153	117	1479	516	36	38	1909	968	99	1727	855	1558	434	1747	436	833	649	3516	1427	111	908	1631	1638	164	275	107	3205	1339	1200	1064	145	0	83	347	568	502	615	61
ASV.7	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4539	1205	0	0	0	1538	0	0	0	336	0	1273	0	0	0	0	971	1170	308	2297	0	0	0	12000
ASV.8	2534	0	0	0	0	0	0	104	0	927	18118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	107	0	166	77	419	0	86	470	169	0	0	581	595	0	453	364	0	0	0	181	530	309	842	329	140	1651	707	388	0	0	180	1455	2328	196	143	270	120	150	561	131	316	371	0
ASV.10	0	0	0	254	0	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4569	1407	0	989	0	0	5539	0	0	0	0	579	0	0	0	0	0	0
ASV.11	17	698	205	35	698	701	304	664	306	0	0	316	324	44	348	563	0	68	0	128	322	594	2103	1641	937	138	117	479	0	0	0	70	44	671	713	20	8	0	59	27	49	104	0
ASV.12	18	175	1119	0	2317	59	10	4455	78	0	117	235	22	0	362	17	650	0	855	0	0	0	89	15	0	13	13	0	0	0	0	37	0	0	0	0	0	0	0	0	16	0	0
ASV.13	0	0	0	864	0	0	1523	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819	0	466	0	1889	0	796	0	0	0	0	0	916	1287	1355	0	0	0	0
ASV.14	1124	0	0	747	0	0	0	4775	1539	1097	0	0	18	0	0	506	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0
ASV.15	0	0	304	74	668	41	246	540	115	0	0	874	349	75	750	274	475	0	553	71	258	327	1433	226	339	241	226	346	0	0	0	443	0	315	192	0	0	0	168	79	106	109	0
ASV.16	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	416	1067	1522	0	853	0	694	0	0	0	0	1414	669	0	0	0	695	0	0
ASV.17	0	0	0	0	0	0	0	2708	0	207	4962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	284	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3204	4088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	1393	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2243	0	670	0	0	0	0	0	0	0	219	0	0	0	0	2306	0
ASV.20	1495	0	0	0	0	0	0	5613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.21	1005	0	0	0	0	0	0	2753	1397	1011	0	0	0	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	0	314	0	0	467	0	0	0	162	0	0	0	0	0	0	0	0	0	151	288	0	0	57	212	1501	0	600	0	702	0	209	0	0	656	417	0	0	0	959	229	0
ASV.23	8	0	134	0	369	0	0	414	15	0	14	835	213	0	1211	130	111	9	203	16	169	0	1076	41	0	197	136	339	0	0	0	677	258	343	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
