asvLen	totReads	numSamps
ASV.1	325	149866	11
ASV.2	328	120658	18
ASV.3	328	42400	18
ASV.4	295	32321	17
ASV.5	328	25722	18
ASV.6	328	25252	12
ASV.7	328	23726	1
ASV.8	328	22754	16
ASV.9	328	20081	27
ASV.10	328	16647	16
ASV.11	328	15130	15
ASV.12	296	14791	26
ASV.13	328	13639	12
ASV.14	328	11205	12
ASV.15	328	10125	12
ASV.16	328	9758	12
ASV.17	328	9581	2
ASV.18	328	8020	4
ASV.19	328	7368	5
ASV.20	328	6661	7
ASV.21	328	6556	2
ASV.22	61	6475	29
ASV.23	325	6035	1
ASV.24	328	5942	4
ASV.25	328	5877	1
ASV.26	328	5780	10
ASV.27	328	5587	1
ASV.28	328	5369	5
ASV.29	328	5167	2
ASV.30	328	4920	1
ASV.33	328	4043	6
ASV.34	328	3997	6
ASV.35	328	3986	2
ASV.36	61	3799	16
ASV.37	328	3781	2
ASV.38	328	3777	1
ASV.39	328	3748	4
ASV.40	328	3581	2
ASV.41	328	3575	1
ASV.42	328	3524	2
ASV.43	328	3446	1
ASV.44	328	3389	3
ASV.45	328	3361	1
ASV.46	328	3329	1
ASV.47	328	3307	7
ASV.48	328	3195	7
ASV.49	328	3183	1
ASV.50	328	3178	3
ASV.51	104	3116	20
ASV.52	328	3040	9
ASV.53	328	2896	2
ASV.54	328	2823	1
ASV.55	22	2803	8
ASV.56	328	2645	2
ASV.57	322	2622	1
ASV.58	328	2578	1
ASV.59	328	2572	1
ASV.60	328	2511	1
ASV.61	328	2481	3
ASV.62	271	2414	1
ASV.63	328	2377	4
ASV.64	328	2281	2
ASV.65	328	2244	7
ASV.66	328	2225	1
ASV.67	214	2214	18
ASV.68	328	2181	1
ASV.69	328	2175	6
ASV.70	328	2093	1
ASV.71	328	2021	2
ASV.72	328	2002	4
ASV.73	328	1957	1
ASV.74	328	1883	5
ASV.75	328	1882	5
ASV.76	328	1870	1
ASV.77	328	1785	1
ASV.78	328	1774	2
ASV.80	328	1763	4
ASV.81	328	1757	1
ASV.82	328	1691	8
ASV.83	28	1688	29
ASV.84	328	1650	1
ASV.85	141	1640	4
ASV.86	328	1626	2
ASV.87	328	1626	2
ASV.88	328	1576	1
ASV.89	43	1572	12
ASV.90	61	1572	9
ASV.91	328	1555	1
ASV.92	328	1549	2
ASV.93	328	1527	2
ASV.94	328	1520	2
ASV.95	328	1499	2
ASV.96	328	1490	7
ASV.97	328	1462	1
ASV.98	328	1454	3
ASV.99	328	1444	1
ASV.100	328	1416	2
ASV.101	328	1415	2
ASV.102	328	1401	1
ASV.103	328	1392	3
ASV.104	328	1391	1
ASV.106	328	1356	1
ASV.107	328	1341	5
ASV.108	328	1332	1
ASV.109	328	1327	1
ASV.110	328	1322	1
ASV.111	328	1321	1
ASV.112	328	1311	1
ASV.113	328	1286	2
ASV.114	141	1278	3
ASV.115	328	1241	4
ASV.116	328	1218	2
ASV.117	328	1211	1
ASV.118	328	1204	4
ASV.119	328	1197	2
ASV.120	328	1188	2
ASV.121	328	1182	2
ASV.122	328	1171	1
ASV.123	328	1144	3
ASV.124	328	1140	2
ASV.125	328	1062	1
ASV.126	337	1046	7
ASV.128	328	1020	1
ASV.129	328	1009	2
ASV.130	328	1006	2
ASV.131	328	1002	1
ASV.132	328	944	1
ASV.133	328	940	1
ASV.134	328	919	1
ASV.135	328	888	1
ASV.136	328	877	1
ASV.138	328	870	1
ASV.139	133	859	13
ASV.140	328	858	3
ASV.141	328	855	1
ASV.142	328	852	1
ASV.143	328	846	4
ASV.144	174	846	6
ASV.145	328	845	1
ASV.146	328	840	1
ASV.148	139	807	11
ASV.149	328	804	1
ASV.150	328	800	1
ASV.151	328	797	1
ASV.152	280	792	6
ASV.153	328	781	1
ASV.154	163	781	1
ASV.155	328	778	3
ASV.156	328	773	1
ASV.157	43	770	12
ASV.158	328	766	1
ASV.159	328	760	2
ASV.160	328	749	3
ASV.161	260	742	1
ASV.162	328	739	1
ASV.164	328	719	1
ASV.165	328	718	1
ASV.166	328	716	3
ASV.167	328	712	1
ASV.168	328	711	3
ASV.170	328	703	1
ASV.171	328	694	1
ASV.173	328	691	2
ASV.174	328	687	1
ASV.175	104	684	3
ASV.176	328	673	1
ASV.177	328	668	1
ASV.178	328	665	1
ASV.179	328	659	2
ASV.180	287	658	4
ASV.181	328	657	1
ASV.183	328	646	2
ASV.185	328	638	1
ASV.186	328	637	1
ASV.188	40	632	8
ASV.189	133	632	6
ASV.190	328	629	1
ASV.191	328	625	1
ASV.192	328	616	1
ASV.193	328	615	1
ASV.194	325	602	1
ASV.196	328	595	1
ASV.197	162	591	18
ASV.198	328	590	1
ASV.199	328	589	1
ASV.200	328	578	1
ASV.201	328	575	2
ASV.202	328	575	1
ASV.203	328	574	1
ASV.205	74	559	14
ASV.206	36	559	10
ASV.208	328	550	1
ASV.210	328	544	1
ASV.211	328	524	1
ASV.212	328	524	1
ASV.213	328	517	1
ASV.214	328	515	1
ASV.215	328	511	1
ASV.216	328	506	1
ASV.219	328	503	1
ASV.220	328	501	1
ASV.221	328	500	6
ASV.222	328	500	1
ASV.223	328	493	1
ASV.225	328	489	1
ASV.226	328	486	1
ASV.227	328	485	1
ASV.228	328	473	1
ASV.229	328	471	1
ASV.230	328	470	1
ASV.231	328	469	1
ASV.232	328	468	2
ASV.233	184	464	5
ASV.234	328	464	1
ASV.235	328	463	1
ASV.236	328	461	1
ASV.237	109	458	5
ASV.238	30	450	7
ASV.239	328	444	1
ASV.240	328	442	1
ASV.242	328	432	1
ASV.243	139	431	9
ASV.244	328	431	1
ASV.245	328	430	2
ASV.246	328	427	1
ASV.247	141	424	1
ASV.248	328	421	1
ASV.249	328	420	1
ASV.250	328	417	1
ASV.252	127	408	7
ASV.253	328	404	2
ASV.254	328	402	1
ASV.255	328	399	1
ASV.256	328	397	1
ASV.257	328	397	2
ASV.258	328	392	2
ASV.259	237	390	3
ASV.260	328	388	1
ASV.261	163	387	1
ASV.262	52	381	6
ASV.264	328	379	1
ASV.265	328	379	1
ASV.266	328	371	1
ASV.267	328	366	1
ASV.269	280	363	5
ASV.270	100	362	14
ASV.272	328	359	1
ASV.273	328	359	1
ASV.274	358	355	1
ASV.275	328	355	1
ASV.276	328	354	1
ASV.277	328	353	2
ASV.278	328	345	1
ASV.279	328	343	1
ASV.280	328	342	1
ASV.281	328	342	1
ASV.282	328	340	2
ASV.283	328	340	1
ASV.284	328	340	2
ASV.285	184	338	5
ASV.286	328	338	1
