Harding137-63180_S137	Harding139-63188_S139	Harding141-63190_S141	Harding145-63210_S145	Harding147-63216_S147	Harding149-63220_S149	Harding151-63234_S151	Harding153-63242_S153	Harding158-64178_S158	Harding160-64186_S160	Harding161-64202_S161	Harding163-64210_S163	Harding165-64218_S165	Harding167-64226_S167	Harding169-64236_S169	Harding174-64282_S174	Harding176-64290_S176	Harding177-64298_S177	Harding179-64306_S179	Harding181-65457_S181	Harding183-65465_S183	Harding185-65473_S185	Harding187-65481_S187	Harding188-65489_S188	Harding190-65509_S190	Harding192-65521_S192	Harding193-65531_S193	Harding195-65545_S195	Harding197-65547_S197	Harding200-65566_S200	Harding202-65574_S202	Harding204-65582_S204	Harding206-65590_S206	Harding208-65598_S208	Harding209-65606_S209	Harding211-65638_S211	Harding213-65646_S213	Harding220-66622_S220	Harding221-66630_S221	Harding224-66679_S224	Harding226-66688_S226	Harding227-66696_S227	Harding229-66705_S229
ASV.1	4102	0	0	25538	0	98	11884	1803	2884	0	20464	0	0	16844	0	0	24091	0	0	15979	0	0	26179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2	0	11233	0	0	0	5712	0	0	0	0	0	0	3253	0	0	0	0	6043	0	803	8825	0	0	4963	54	8980	0	0	0	0	3573	7998	0	13321	0	6119	7529	1081	0	0	13247	4761	13163
ASV.3	0	0	2974	0	0	1468	1347	1595	0	0	0	5995	0	0	0	0	0	2146	1140	1374	0	1571	0	0	1443	4882	5725	0	0	0	1125	0	0	0	2088	1859	2551	0	1121	0	0	1996	0
ASV.4	0	12109	1314	470	9201	34	397	1024	2992	426	0	0	0	0	0	0	0	0	0	0	1042	0	0	0	0	48	284	1615	1213	0	0	76	0	0	0	0	18	0	58	0	0	0	0
ASV.5	474	2707	0	6183	1993	0	350	1770	332	0	0	398	0	0	1016	0	0	1357	232	0	4489	0	0	592	690	0	0	0	0	0	1144	0	0	0	0	0	0	0	0	1145	574	276	0
ASV.6	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	8108	0	513	0	0	0	715	0	0	57	0	0	0	0	0	2343	0	0	0	800	1791	1459	3760	0	0	3100	2101	0
ASV.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23726	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	439	0	0	0	0	233	434	668	0	0	0	0	2990	0	413	0	0	3888	1040	0	1173	312	0	0	3429	0	0	0	0	0	0	0	0	4045	1000	265	0	0	2166	259	0	0	0
ASV.9	0	714	965	0	0	397	39	104	0	0	67	0	312	0	0	0	0	0	0	229	851	1159	0	1071	1340	1323	2123	65	0	346	483	502	0	1832	1331	346	622	0	352	1188	283	699	1338
ASV.10	0	1646	791	0	0	600	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	517	0	593	1331	679	0	0	0	0	836	202	0	1690	1252	405	417	0	0	1685	0	0	3484
ASV.11	0	0	0	0	0	1177	568	1011	492	3552	0	0	0	0	0	0	0	135	380	600	0	842	0	0	1598	0	0	0	0	0	2103	0	0	0	590	301	0	0	0	464	1317	0	0
ASV.12	0	0	138	74	0	113	50	62	656	7854	42	0	0	29	0	0	96	0	8	78	0	180	0	0	0	17	209	2316	1519	270	25	125	0	213	0	0	285	50	277	0	37	0	68
ASV.13	295	0	0	0	0	745	0	0	0	0	0	0	0	0	0	0	0	432	982	0	0	0	0	1791	2073	1341	0	0	0	0	1328	0	0	892	1605	933	0	0	0	1222	0	0	0
ASV.14	494	0	0	0	0	475	0	0	488	0	0	0	0	0	587	0	4844	1189	491	403	0	0	0	115	326	0	0	0	0	0	0	0	0	1611	182	0	0	0	0	0	0	0	0
ASV.15	0	0	0	0	0	0	0	171	0	0	0	186	0	0	0	0	0	632	744	446	0	114	0	328	980	0	0	0	0	0	0	0	0	0	461	0	596	0	2880	2587	0	0	0
ASV.16	142	0	0	0	0	0	0	1942	619	0	0	2346	350	0	291	0	0	0	1479	414	0	523	0	0	0	0	0	0	0	0	0	908	0	0	468	276	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8976	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4849	0	0	0	0	2854	0	0	0	61	0	0	0	0	0	0	0
ASV.19	458	0	0	0	3676	0	515	1220	0	0	0	0	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
