asvLen	totReads	numSamps
ASV.1	61	10690	6
ASV.2	61	8336	6
ASV.3	271	4772	1
ASV.4	328	4499	4
ASV.5	328	3233	6
ASV.6	328	3037	5
ASV.7	328	2352	5
ASV.8	328	1785	5
ASV.9	328	1785	3
ASV.10	172	1533	5
ASV.11	176	1485	1
ASV.12	149	1292	5
ASV.13	328	1226	3
ASV.14	328	1149	5
ASV.15	328	1118	4
ASV.16	162	1111	6
ASV.17	133	984	5
ASV.18	61	971	6
ASV.19	328	917	3
ASV.20	139	901	5
ASV.21	27	752	6
ASV.22	175	732	1
ASV.23	33	720	1
ASV.24	328	701	2
ASV.25	54	695	5
ASV.26	328	653	4
ASV.27	104	643	5
ASV.28	172	637	5
ASV.29	328	629	1
ASV.30	328	619	4
ASV.31	59	616	5
ASV.32	49	556	5
ASV.33	139	542	6
ASV.34	328	532	5
ASV.35	133	519	5
ASV.36	163	507	5
ASV.37	328	497	4
ASV.38	76	490	1
ASV.39	265	463	5
ASV.40	260	457	1
ASV.41	328	452	3
ASV.42	31	448	5
ASV.43	328	442	3
ASV.44	121	430	5
ASV.45	328	409	3
ASV.46	59	405	2
ASV.47	162	404	1
ASV.48	70	395	1
ASV.49	328	380	2
ASV.50	328	376	4
ASV.51	38	375	3
ASV.52	328	375	1
ASV.53	328	356	4
ASV.54	328	352	3
ASV.55	328	349	4
ASV.57	175	338	1
ASV.58	328	336	1
ASV.59	328	331	2
ASV.60	28	315	5
ASV.61	46	310	5
ASV.62	59	305	1
ASV.63	328	305	3
ASV.64	175	305	1
ASV.66	190	301	1
ASV.67	337	300	1
ASV.68	312	300	1
ASV.69	43	297	5
ASV.70	202	291	4
ASV.71	328	276	2
ASV.72	328	275	1
ASV.73	64	273	1
ASV.74	328	270	3
ASV.75	260	269	5
ASV.76	328	268	2
ASV.77	328	265	2
ASV.78	328	261	3
ASV.79	328	260	2
ASV.80	328	259	1
ASV.81	211	255	1
ASV.82	328	252	1
ASV.83	328	249	3
ASV.84	163	245	1
ASV.85	328	244	4
ASV.86	248	241	1
ASV.87	35	233	4
ASV.88	135	232	4
ASV.89	56	229	3
ASV.90	77	224	1
ASV.91	328	219	4
ASV.92	100	218	3
ASV.93	88	218	5
ASV.94	328	211	1
ASV.95	204	202	1
ASV.96	187	200	4
ASV.97	328	194	1
ASV.98	214	193	1
ASV.99	90	192	1
ASV.100	87	191	1
ASV.101	87	190	4
ASV.102	162	186	3
ASV.103	60	185	2
ASV.104	328	184	2
ASV.105	64	184	1
ASV.106	122	181	1
ASV.107	284	178	1
ASV.108	200	176	2
ASV.109	61	174	3
ASV.110	328	173	3
ASV.111	158	168	5
ASV.112	85	168	1
ASV.113	328	167	1
ASV.114	139	166	2
ASV.115	328	164	3
ASV.116	232	160	1
ASV.117	328	159	1
ASV.118	328	159	2
ASV.119	328	158	2
ASV.120	328	156	3
ASV.121	109	156	1
ASV.122	328	155	1
ASV.123	190	154	5
ASV.124	133	153	5
ASV.125	31	152	5
ASV.127	328	151	1
ASV.128	212	151	1
ASV.129	328	150	3
ASV.130	230	149	2
ASV.131	328	149	3
ASV.132	126	149	1
ASV.133	227	148	4
ASV.134	328	147	1
ASV.135	328	146	1
ASV.136	328	146	3
ASV.138	328	141	2
ASV.139	328	138	2
ASV.140	139	137	5
ASV.141	328	136	1
ASV.142	65	136	2
ASV.143	328	135	1
ASV.144	230	132	1
ASV.145	149	130	6
ASV.146	64	125	1
ASV.147	328	123	3
ASV.148	131	123	1
ASV.149	328	122	1
ASV.150	328	121	1
ASV.151	73	121	1
ASV.152	49	120	2
ASV.153	328	120	1
ASV.154	218	120	1
ASV.155	328	120	1
ASV.156	328	119	2
ASV.157	328	119	1
ASV.158	174	118	2
ASV.159	328	117	1
ASV.160	214	116	3
ASV.161	328	116	1
ASV.162	328	115	3
ASV.163	328	115	1
ASV.164	100	115	1
ASV.165	133	114	5
ASV.167	82	114	1
ASV.168	33	113	1
ASV.169	163	109	4
ASV.170	328	109	1
ASV.171	122	109	1
ASV.172	163	109	1
ASV.173	74	107	5
ASV.174	132	106	4
ASV.175	328	106	2
ASV.176	295	106	3
ASV.177	224	105	1
ASV.178	328	105	2
ASV.179	205	105	1
ASV.180	104	101	4
ASV.181	328	100	1
ASV.182	328	100	2
ASV.183	297	99	1
ASV.185	367	99	1
ASV.187	108	97	2
ASV.188	328	97	1
ASV.189	60	97	1
ASV.190	70	96	4
ASV.191	123	96	3
ASV.192	307	96	2
ASV.193	163	95	4
ASV.194	328	94	1
ASV.195	183	94	1
ASV.196	271	94	1
ASV.197	328	93	1
ASV.198	43	92	1
ASV.199	367	91	1
ASV.200	151	91	3
ASV.201	328	91	1
ASV.202	213	90	3
ASV.203	112	90	3
ASV.204	295	88	2
ASV.205	175	88	1
ASV.206	196	88	1
ASV.207	328	87	1
ASV.208	295	87	5
ASV.209	49	87	1
ASV.210	341	86	1
ASV.211	60	86	1
ASV.212	52	86	1
ASV.213	49	85	2
ASV.214	328	85	1
ASV.215	328	85	1
ASV.216	328	84	1
ASV.217	49	83	3
ASV.218	328	83	1
ASV.219	197	83	1
ASV.220	309	83	1
ASV.221	328	82	1
ASV.222	61	82	1
ASV.223	151	81	3
ASV.225	220	79	1
ASV.226	328	79	1
ASV.227	141	79	1
ASV.228	145	78	5
ASV.229	341	78	2
ASV.230	328	78	1
ASV.231	328	78	1
ASV.232	245	77	1
ASV.233	328	77	1
ASV.234	232	76	1
ASV.235	367	75	1
ASV.236	74	73	3
ASV.238	328	73	1
ASV.239	107	72	3
ASV.240	190	72	1
ASV.241	175	72	1
ASV.242	169	71	3
ASV.243	328	71	2
ASV.244	328	71	1
ASV.245	148	70	3
ASV.246	328	70	1
ASV.247	191	70	1
ASV.249	328	69	1
ASV.250	61	68	3
ASV.251	121	68	3
ASV.252	328	67	1
ASV.253	328	67	1
ASV.254	183	67	1
ASV.255	33	66	2
ASV.256	328	66	1
ASV.257	36	66	1
ASV.258	157	65	1
ASV.259	64	65	1
ASV.260	33	64	1
ASV.261	43	64	4
ASV.262	328	64	1
ASV.263	220	64	1
ASV.264	260	63	1
ASV.265	43	63	1
ASV.266	328	63	1
ASV.267	328	63	1
ASV.268	46	62	4
ASV.269	328	62	1
ASV.270	328	62	1
ASV.271	371	62	1
ASV.272	328	62	1
ASV.273	43	62	1
ASV.274	201	62	1
ASV.275	63	62	1
ASV.276	328	61	1
ASV.277	328	61	1
ASV.278	328	60	1
ASV.280	328	59	1
ASV.281	260	59	3
ASV.282	328	59	1
ASV.283	328	59	1
ASV.284	328	58	1
ASV.285	328	58	3
ASV.286	171	56	1
ASV.287	158	56	3
ASV.288	328	56	1
ASV.289	176	56	1
ASV.290	33	56	1
ASV.291	52	55	4
ASV.293	328	54	1
ASV.294	328	54	1
ASV.295	328	54	1
ASV.296	232	54	1
ASV.297	197	54	1
ASV.298	328	53	1
ASV.299	140	53	1
ASV.300	328	52	1
ASV.301	328	52	1
ASV.303	328	51	1
ASV.304	33	51	1
ASV.305	204	51	1
ASV.306	36	50	2
ASV.307	89	50	3
ASV.308	328	50	1
ASV.309	328	50	1
ASV.311	172	49	2
ASV.312	169	49	3
ASV.313	209	49	1
ASV.314	328	49	1
ASV.315	119	49	2
ASV.316	183	49	1
ASV.317	187	49	1
ASV.318	42	48	3
ASV.319	33	48	1
ASV.320	36	48	4
ASV.321	328	48	1
ASV.323	371	48	1
ASV.324	142	48	1
ASV.325	232	48	1
ASV.326	168	47	2
ASV.329	149	47	1
ASV.330	328	47	1
ASV.331	205	47	1
ASV.332	66	47	1
ASV.334	125	46	1
ASV.336	328	45	1
ASV.337	328	45	1
ASV.338	85	44	3
ASV.339	112	44	1
ASV.340	154	44	1
ASV.341	204	44	1
ASV.343	134	43	2
ASV.344	151	43	1
ASV.345	295	43	4
ASV.346	121	43	1
ASV.347	328	43	1
ASV.348	211	43	1
ASV.349	65	42	2
ASV.350	124	42	1
ASV.351	124	42	1
ASV.352	74	42	3
ASV.353	328	42	1
ASV.354	328	42	1
ASV.355	328	42	1
ASV.357	328	42	1
ASV.358	122	42	1
ASV.359	143	42	1
ASV.360	46	42	1
ASV.362	64	41	2
ASV.363	328	41	1
ASV.364	259	41	1
ASV.365	328	41	1
ASV.367	190	41	1
ASV.368	131	41	1
ASV.369	328	40	1
ASV.371	110	39	3
ASV.372	133	39	1
ASV.373	73	39	1
ASV.374	328	39	1
ASV.375	328	39	1
ASV.376	204	39	1
ASV.377	175	39	1
ASV.378	169	38	2
ASV.379	371	38	1
ASV.380	121	38	1
ASV.381	211	38	1
ASV.382	166	38	1
ASV.383	265	37	1
ASV.384	367	37	1
ASV.385	80	37	2
ASV.386	127	37	1
ASV.387	44	37	1
ASV.388	33	36	1
ASV.389	85	36	2
ASV.391	328	36	1
ASV.392	177	36	1
ASV.393	153	36	2
ASV.394	108	36	1
ASV.395	328	36	1
ASV.396	328	36	1
ASV.397	337	35	1
ASV.399	322	35	1
ASV.400	328	35	1
ASV.401	328	35	1
ASV.402	212	35	1
ASV.403	224	35	1
ASV.405	109	34	2
ASV.406	68	34	4
ASV.407	210	34	1
ASV.408	195	34	1
ASV.409	328	34	2
ASV.410	328	34	1
ASV.411	185	34	1
ASV.412	328	34	1
ASV.413	211	34	1
ASV.414	204	34	1
ASV.415	53	34	1
ASV.417	75	33	2
ASV.419	328	33	2
ASV.420	328	33	1
ASV.421	328	33	1
ASV.422	328	33	1
ASV.423	106	33	1
ASV.424	260	33	1
ASV.425	125	33	1
ASV.426	169	32	1
ASV.427	154	32	2
ASV.428	181	32	1
ASV.429	121	32	1
ASV.430	328	32	1
ASV.432	50	32	3
ASV.433	328	32	1
ASV.434	328	32	1
ASV.435	328	32	1
ASV.437	211	32	1
ASV.438	197	32	1
ASV.439	43	31	3
ASV.440	90	31	2
ASV.441	119	31	1
ASV.442	328	31	1
ASV.443	328	31	1
ASV.444	79	31	1
ASV.446	195	31	1
ASV.447	260	30	3
ASV.448	175	30	1
ASV.449	100	30	1
ASV.451	166	30	1
ASV.452	123	30	1
ASV.453	328	30	1
ASV.454	328	30	1
ASV.455	152	30	1
ASV.456	179	30	1
ASV.457	160	30	1
ASV.458	296	30	1
ASV.459	178	30	1
ASV.460	91	29	1
ASV.462	328	29	1
ASV.463	103	29	1
ASV.464	221	29	1
ASV.466	61	28	3
ASV.467	172	28	3
ASV.468	33	28	1
ASV.469	341	28	2
ASV.471	328	28	1
ASV.472	328	28	1
ASV.473	328	28	1
ASV.476	83	27	1
ASV.477	146	27	1
ASV.478	295	27	4
ASV.479	328	27	1
ASV.481	133	26	2
ASV.482	134	26	2
ASV.483	75	26	2
ASV.484	328	26	1
ASV.485	328	26	1
ASV.486	121	26	1
ASV.487	71	26	1
ASV.488	221	26	1
ASV.489	522	25	1
ASV.490	67	25	2
ASV.491	57	25	1
ASV.492	98	25	3
ASV.495	171	25	1
ASV.496	96	25	2
ASV.497	328	25	1
ASV.499	268	25	1
ASV.500	159	25	1
ASV.502	167	25	1
ASV.503	284	25	1
ASV.505	198	24	1
ASV.506	51	24	1
ASV.507	328	24	1
ASV.508	371	24	1
ASV.509	328	24	1
ASV.510	54	23	2
ASV.511	160	23	1
ASV.512	82	23	3
ASV.513	67	23	2
ASV.515	328	23	1
ASV.516	328	23	1
ASV.517	238	23	1
ASV.518	160	23	1
ASV.519	225	23	1
ASV.520	73	23	1
ASV.521	119	23	1
ASV.523	47	22	1
ASV.525	82	22	2
ASV.526	36	22	1
ASV.527	72	22	1
ASV.528	123	22	1
ASV.529	174	22	1
ASV.530	328	22	1
ASV.531	328	22	1
ASV.532	328	22	1
ASV.533	231	22	1
ASV.534	46	22	1
ASV.535	197	22	1
ASV.536	46	21	1
ASV.538	71	21	1
ASV.540	43	21	1
ASV.542	295	21	2
ASV.543	123	21	1
ASV.544	328	21	1
ASV.545	328	21	1
ASV.546	94	21	1
ASV.547	112	21	1
ASV.548	328	21	1
ASV.549	328	21	1
ASV.550	328	21	1
ASV.551	180	21	1
ASV.553	130	21	1
ASV.554	66	21	1
ASV.555	196	21	1
ASV.558	112	20	2
ASV.559	56	20	1
ASV.560	68	20	1
ASV.562	44	20	1
ASV.564	328	20	1
ASV.565	84	20	1
ASV.567	37	20	1
ASV.568	67	20	1
ASV.569	64	20	1
ASV.573	121	19	1
ASV.574	149	19	1
ASV.575	172	19	1
ASV.576	328	19	1
ASV.579	328	19	1
ASV.580	289	19	1
ASV.582	253	19	1
ASV.583	163	19	1
ASV.584	80	19	1
ASV.585	37	19	1
ASV.587	178	19	1
ASV.588	144	19	1
ASV.589	82	18	1
ASV.590	210	18	1
ASV.592	93	18	1
ASV.593	91	18	1
ASV.594	91	18	3
ASV.595	259	18	1
ASV.596	74	18	1
ASV.597	52	18	1
ASV.598	40	18	1
ASV.600	328	18	2
ASV.602	111	18	1
ASV.603	371	18	1
ASV.604	70	18	1
ASV.605	250	18	1
ASV.606	238	18	1
ASV.607	114	18	1
ASV.609	179	18	1
ASV.610	65	17	1
ASV.612	41	17	1
ASV.613	295	17	1
ASV.614	37	17	1
ASV.615	40	17	1
ASV.616	70	17	1
ASV.617	172	17	2
ASV.618	106	17	1
ASV.622	328	17	1
ASV.623	169	17	1
ASV.625	328	17	1
ASV.627	43	17	1
ASV.628	36	17	1
ASV.630	172	17	1
ASV.631	48	17	1
ASV.632	199	17	1
ASV.633	221	17	1
ASV.635	43	16	1
ASV.637	61	16	1
ASV.638	209	16	1
ASV.639	38	16	1
ASV.640	328	16	1
ASV.641	126	16	1
ASV.642	166	16	1
ASV.643	165	16	1
ASV.644	92	16	1
ASV.645	112	16	1
ASV.647	328	16	1
ASV.648	328	16	1
ASV.649	146	16	1
ASV.650	175	16	1
ASV.651	232	16	1
ASV.652	138	16	1
ASV.653	122	16	1
ASV.654	106	16	1
ASV.655	221	16	1
ASV.659	71	15	1
ASV.660	46	15	1
ASV.661	149	15	1
ASV.662	68	15	1
ASV.663	57	15	1
ASV.664	182	15	1
ASV.665	328	15	1
ASV.667	75	15	1
ASV.668	328	15	2
ASV.670	91	15	1
ASV.671	212	15	1
ASV.672	39	15	1
ASV.673	249	15	1
ASV.674	37	15	1
ASV.675	99	15	1
ASV.676	155	15	1
ASV.677	125	15	1
ASV.682	105	14	2
ASV.685	37	14	2
ASV.686	62	14	1
ASV.687	56	14	1
ASV.688	68	14	1
ASV.691	103	14	1
ASV.693	89	14	2
ASV.695	71	14	1
ASV.697	328	14	2
ASV.699	328	14	1
ASV.700	110	14	1
ASV.701	371	14	1
ASV.702	328	14	1
ASV.703	67	14	1
ASV.704	44	14	1
ASV.705	126	14	1
ASV.706	36	14	1
ASV.707	45	14	1
ASV.708	41	14	1
ASV.709	54	14	1
ASV.710	51	14	1
ASV.712	108	13	1
ASV.713	260	13	1
ASV.714	47	13	2
ASV.715	53	13	1
ASV.717	163	13	2
ASV.719	121	13	1
ASV.720	208	13	1
ASV.721	49	13	1
ASV.722	191	13	1
ASV.724	167	13	1
ASV.725	46	13	2
ASV.726	121	13	1
ASV.727	91	13	1
ASV.728	57	13	1
ASV.729	54	13	1
ASV.730	118	13	1
ASV.731	142	13	1
ASV.733	328	13	1
ASV.735	328	13	1
ASV.736	212	13	1
ASV.738	184	13	1
ASV.740	34	13	1
ASV.741	131	13	1
ASV.742	38	13	1
ASV.743	80	12	1
ASV.745	328	12	1
ASV.747	48	12	1
ASV.748	295	12	1
ASV.749	38	12	1
ASV.751	45	12	1
ASV.752	46	12	1
ASV.753	41	12	1
ASV.754	139	12	1
ASV.755	166	12	1
ASV.756	54	12	1
ASV.757	144	12	1
ASV.761	101	12	1
ASV.762	50	12	1
ASV.764	133	12	1
ASV.767	157	12	1
ASV.768	328	12	1
ASV.769	328	12	1
ASV.771	328	12	1
ASV.772	204	12	1
ASV.773	177	12	1
ASV.774	43	12	1
ASV.775	250	12	1
ASV.776	226	12	1
ASV.777	232	12	1
ASV.778	253	12	1
ASV.779	218	12	1
ASV.780	175	12	1
ASV.781	82	12	1
ASV.782	58	12	1
ASV.784	142	12	1
ASV.785	63	12	1
ASV.786	221	12	1
ASV.787	61	11	1
ASV.791	109	11	1
ASV.792	107	11	1
ASV.794	114	11	1
ASV.795	43	11	1
ASV.796	77	11	1
ASV.797	260	11	2
ASV.798	172	11	2
ASV.799	34	11	1
ASV.800	53	11	2
ASV.801	121	11	1
ASV.802	87	11	1
ASV.803	65	11	1
ASV.804	76	11	1
ASV.807	151	11	1
ASV.808	328	11	1
ASV.809	64	11	1
ASV.810	328	11	1
ASV.811	74	11	1
ASV.812	196	11	1
ASV.813	42	11	1
ASV.814	48	11	1
ASV.815	138	11	1
ASV.816	57	11	1
ASV.817	337	11	1
ASV.818	69	11	1
ASV.819	60	11	1
ASV.820	90	11	1
ASV.821	260	11	1
ASV.822	38	11	1
ASV.823	88	11	1
ASV.824	40	11	1
ASV.826	54	10	1
ASV.827	60	10	1
ASV.828	101	10	1
