Harding215-66541_S215	Harding216-66543_S216	Harding217-66560_S217	Harding218-66564_S218	Harding219-66566_S219	Harding231-66709_S231
ASV.1	4753	833	626	3529	866	83
ASV.2	512	5810	639	586	692	97
ASV.3	0	0	0	0	0	4772
ASV.4	771	410	0	1435	1883	0
ASV.5	411	606	929	564	633	90
ASV.6	1440	389	568	258	382	0
ASV.7	211	868	470	410	393	0
ASV.8	261	290	579	345	310	0
ASV.9	0	0	878	425	482	0
ASV.10	241	334	162	543	253	0
ASV.11	0	0	0	0	0	1485
ASV.12	255	682	93	154	108	0
ASV.13	0	603	272	0	351	0
ASV.14	0	2	15	258	569	305
ASV.15	0	603	299	132	84	0
ASV.16	289	434	108	166	105	9
ASV.17	144	220	115	360	145	0
ASV.18	141	324	200	150	129	27
ASV.19	0	504	221	0	192	0
ASV.20	10	406	200	161	124	0
ASV.21	140	316	90	104	82	20
ASV.22	0	0	0	0	0	732
ASV.23	0	0	0	0	0	720
ASV.24	595	106	0	0	0	0
ASV.25	120	104	133	223	115	0
ASV.26	0	473	46	112	22	0
ASV.27	164	225	57	81	116	0
ASV.28	136	213	68	163	57	0
ASV.29	629	0	0	0	0	0
ASV.30	0	15	165	299	140	0
ASV.31	99	330	50	75	62	0
ASV.32	198	261	56	34	0	7
ASV.33	148	54	25	237	26	52
ASV.34	59	0	325	5	25	118
ASV.35	60	119	62	189	89	0
ASV.36	77	98	76	151	105	0
ASV.37	0	7	229	30	231	0
ASV.38	0	0	0	0	0	490
ASV.39	120	106	48	154	35	0
ASV.40	0	0	0	0	0	457
ASV.41	0	0	237	106	109	0
ASV.42	50	121	73	132	72	0
ASV.43	221	0	78	0	143	0
ASV.44	74	314	16	11	15	0
ASV.45	0	0	357	42	10	0
ASV.46	183	0	0	222	0	0
ASV.47	0	0	0	0	0	404
ASV.48	0	0	0	0	0	395
ASV.49	0	0	0	316	64	0
ASV.50	0	16	174	72	114	0
ASV.51	230	30	0	0	0	115
ASV.52	375	0	0	0	0	0
ASV.53	0	24	134	100	98	0
ASV.54	0	138	0	115	99	0
ASV.55	255	0	5	85	4	0
ASV.57	0	0	0	0	0	338
ASV.58	0	336	0	0	0	0
ASV.59	0	0	299	32	0	0
ASV.60	32	171	35	37	40	0
ASV.61	15	64	41	74	116	0
ASV.62	0	305	0	0	0	0
ASV.63	0	0	79	134	92	0
ASV.64	0	0	0	0	0	305
ASV.66	0	0	0	0	0	301
ASV.67	0	0	0	0	0	300
ASV.68	0	0	0	0	0	300
ASV.69	56	0	60	57	52	72
ASV.70	0	60	59	86	86	0
ASV.71	110	0	166	0	0	0
ASV.72	0	275	0	0	0	0
ASV.73	0	0	0	0	0	273
ASV.74	0	0	52	160	58	0
ASV.75	87	43	37	82	20	0
ASV.76	0	0	198	0	70	0
ASV.77	0	0	90	0	175	0
ASV.78	0	0	61	89	111	0
ASV.79	0	215	0	45	0	0
ASV.80	259	0	0	0	0	0
ASV.81	0	0	0	0	0	255
ASV.82	252	0	0	0	0	0
ASV.83	0	0	12	236	1	0
ASV.84	0	0	0	0	0	245
ASV.85	18	1	0	9	216	0
ASV.86	0	0	0	0	0	241
ASV.87	0	18	97	51	67	0
ASV.88	0	71	12	59	90	0
ASV.89	132	33	0	0	0	64
ASV.90	0	0	0	0	0	224
ASV.91	0	0	3	47	1	168
ASV.92	113	38	0	0	0	67
ASV.93	36	79	9	73	21	0
ASV.94	211	0	0	0	0	0
ASV.95	0	0	0	0	0	202
ASV.96	35	66	0	73	26	0
ASV.97	194	0	0	0	0	0
ASV.98	0	0	0	0	0	193
ASV.99	0	0	0	0	0	192
ASV.100	0	0	0	0	0	191
ASV.101	0	116	40	0	14	20
ASV.102	67	100	0	19	0	0
ASV.103	89	0	0	96	0	0
ASV.104	0	0	62	0	122	0
ASV.105	0	0	0	0	0	184
ASV.106	0	0	0	0	0	181
ASV.107	0	0	0	0	0	178
ASV.108	63	113	0	0	0	0
ASV.109	102	38	0	0	0	34
ASV.110	0	20	148	0	5	0
ASV.111	30	51	9	54	24	0
ASV.112	0	0	0	0	0	168
ASV.113	167	0	0	0	0	0
ASV.114	59	107	0	0	0	0
ASV.115	42	0	0	59	63	0
ASV.116	0	0	0	0	0	160
ASV.117	159	0	0	0	0	0
ASV.118	0	0	99	60	0	0
ASV.119	0	0	3	155	0	0
ASV.120	0	0	10	80	66	0
ASV.121	0	0	0	0	0	156
ASV.122	155	0	0	0	0	0
ASV.123	13	39	17	52	33	0
ASV.124	52	11	7	53	30	0
ASV.125	16	58	18	42	18	0
ASV.127	0	0	0	151	0	0
ASV.128	0	0	0	0	0	151
ASV.129	64	0	2	0	84	0
ASV.130	0	125	24	0	0	0
ASV.131	0	0	52	47	50	0
ASV.132	0	0	0	0	0	149
ASV.133	29	63	0	39	17	0
ASV.134	0	0	0	147	0	0
ASV.135	0	146	0	0	0	0
ASV.136	0	0	51	35	60	0
ASV.138	0	0	75	0	66	0
ASV.139	0	0	0	58	80	0
ASV.140	4	48	21	48	16	0
ASV.141	136	0	0	0	0	0
ASV.142	39	97	0	0	0	0
ASV.143	0	0	0	0	135	0
ASV.144	0	0	0	0	0	132
ASV.145	10	90	5	8	5	12
ASV.146	0	0	0	0	0	125
ASV.147	0	0	10	96	17	0
ASV.148	0	0	0	0	0	123
ASV.149	0	0	0	122	0	0
ASV.150	0	0	0	121	0	0
ASV.151	0	0	0	0	0	121
ASV.152	58	62	0	0	0	0
ASV.153	120	0	0	0	0	0
ASV.154	0	0	0	0	0	120
ASV.155	0	0	0	0	0	120
ASV.156	0	117	0	0	2	0
ASV.157	0	0	119	0	0	0
ASV.158	0	78	0	0	0	40
ASV.159	117	0	0	0	0	0
ASV.160	23	0	0	71	22	0
ASV.161	0	0	0	116	0	0
ASV.162	0	0	103	2	10	0
ASV.163	0	0	115	0	0	0
ASV.164	0	0	0	0	0	115
ASV.165	21	41	15	23	14	0
ASV.167	0	0	0	0	0	114
ASV.168	113	0	0	0	0	0
ASV.169	0	15	17	40	37	0
ASV.170	0	0	109	0	0	0
ASV.171	0	0	0	0	0	109
ASV.172	0	0	0	0	0	109
ASV.173	0	25	16	20	14	32
ASV.174	9	31	31	0	35	0
ASV.175	0	6	100	0	0	0
ASV.176	0	0	51	21	34	0
ASV.177	0	105	0	0	0	0
ASV.178	0	0	0	54	51	0
ASV.179	0	0	0	0	0	105
ASV.180	0	9	16	39	37	0
ASV.181	0	0	100	0	0	0
ASV.182	0	0	0	67	33	0
ASV.183	99	0	0	0	0	0
ASV.185	0	99	0	0	0	0
ASV.187	0	82	15	0	0	0
ASV.188	0	0	0	97	0	0
ASV.189	0	0	0	0	0	97
ASV.190	0	20	17	26	33	0
ASV.191	0	73	12	11	0	0
ASV.192	0	0	0	66	30	0
