asvLen	totReads	numSamps
ASV.1	325	1023434	24
ASV.2	325	752631	21
ASV.3	325	264451	16
ASV.4	324	66174	1
ASV.5	328	57861	16
ASV.6	325	49480	1
ASV.7	227	41353	21
ASV.10	325	30604	9
ASV.11	329	22219	8
ASV.12	227	19557	27
ASV.15	325	15602	1
ASV.16	139	12966	7
ASV.17	328	12571	5
ASV.18	316	11729	10
ASV.19	328	11489	2
ASV.20	139	10991	5
ASV.22	307	8151	4
ASV.23	43	7998	3
ASV.25	228	7596	4
ASV.26	329	7230	3
ASV.29	43	6481	4
ASV.30	72	6455	11
ASV.32	328	6267	1
ASV.34	322	6185	7
ASV.41	328	5057	3
ASV.42	307	5031	4
ASV.44	459	4943	3
ASV.45	460	4629	9
ASV.46	325	4497	1
ASV.48	25	4377	8
ASV.49	227	4000	15
ASV.50	24	3823	1
ASV.51	405	3768	8
ASV.52	237	3570	1
ASV.53	307	3558	2
ASV.55	228	3344	7
ASV.56	328	3269	1
ASV.58	328	3176	2
ASV.60	198	3012	3
ASV.61	328	2995	1
ASV.63	316	2849	5
ASV.64	390	2810	6
ASV.67	307	2650	5
ASV.68	227	2644	5
ASV.69	455	2612	15
ASV.70	227	2523	6
ASV.71	118	2494	1
ASV.73	139	2467	3
ASV.76	124	2385	1
ASV.77	227	2298	5
ASV.79	38	2216	3
ASV.80	455	2188	14
ASV.81	325	2179	1
ASV.83	307	2158	2
ASV.84	328	2133	1
ASV.85	138	2116	9
ASV.86	325	2060	1
ASV.87	328	2045	1
ASV.88	362	2017	8
ASV.89	325	1977	2
ASV.90	297	1946	2
ASV.91	201	1886	3
ASV.92	307	1860	2
ASV.93	169	1854	4
ASV.94	24	1847	1
ASV.95	328	1835	4
ASV.96	101	1784	7
ASV.97	227	1763	4
ASV.98	163	1755	3
ASV.99	238	1747	5
ASV.100	325	1729	1
ASV.101	232	1722	3
ASV.102	328	1715	5
ASV.107	103	1680	1
ASV.109	113	1670	9
ASV.110	34	1662	2
ASV.111	328	1654	3
