SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.1	31156	0	67937	436	104830	33763	105063	0	894	12719	128510	101	914	0	0	7841	71185	9764	0	15339	5473	20981	31053	107125	65150	128491	5528	107	69074
ASV.2	165907	74567	10694	124827	64	15832	22729	0	0	0	26301	5875	94597	57559	34	6544	14952	9471	0	30437	0	0	0	87	85	8748	67612	0	15709
ASV.3	34003	12748	5578	223	0	0	88	0	13563	17837	1552	270	848	0	0	0	112	0	0	82	0	146320	30401	0	0	396	0	0	430
ASV.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66174	0	0	0	0
ASV.5	2107	1399	113	36	17741	0	0	28	0	0	0	101	0	0	0	0	91	0	0	0	2279	20	54	3734	1670	524	8649	19315	0
ASV.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49480	0	0	0	0	0	0	0	0
ASV.7	4839	3185	157	0	0	303	88	0	145	3521	126	2547	717	77	0	1217	0	211	1394	195	0	0	249	0	420	10	607	21287	58
ASV.10	0	0	19	0	0	0	0	13080	0	0	14	32	20	0	0	0	0	0	0	0	16090	0	0	15	1315	0	0	19	0
ASV.11	1673	15449	1849	0	1447	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	1130	0	0	6	0	0	0
ASV.12	928	1602	240	112	2923	200	148	70	24	199	51	180	69	190	0	119	27	396	268	98	3366	145	418	851	0	68	172	6662	31
ASV.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15602	0	0	0	0	0	0	0	0
ASV.16	0	0	0	0	0	0	0	3	757	10577	15	0	0	12	0	401	0	1201	0	0	0	0	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	165	0	0	0	2734	0	0	0	1465	0	7642	565	0	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	0	0	215	996	149	3444	5811	17	0	70	0	51	51	925	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11443	0	46	0	0	0	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	0	0	0	8	113	67	0	10188	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	90	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	5856	0	0	2128	0	0	0	0	0
ASV.23	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	7921	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV.25	121	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	369	0	0	0	0	0	0	0	0	7049	0
ASV.26	0	6054	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158
ASV.29	0	0	0	0	0	0	0	0	0	0	30	876	44	0	0	5531	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	0	0	0	0	0	0	0	1032	217	23	2	588	846	541	0	67	0	93	2883	163	0	0	0	0	0	0	0	0	0
ASV.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6267	0
ASV.34	0	0	0	0	0	0	0	0	61	2349	47	273	3223	0	0	133	0	0	0	99	0	0	0	0	0	0	0	0	0
ASV.41	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	365	0	0	4645	0	0	0	0	0	0	0	0	0	0
ASV.42	54	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	1076	0	0	3719	0	0	0	0	0
ASV.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	143	0	0	0	0	0	0	0	0	4786	0
ASV.45	684	964	0	0	0	0	105	0	0	0	0	175	451	0	0	0	0	526	49	0	0	0	0	0	0	0	1511	164	0
ASV.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4497	0	0
ASV.48	0	0	0	0	0	0	0	21	271	847	8	0	16	52	0	2893	0	269	0	0	0	0	0	0	0	0	0	0	0
ASV.49	374	747	33	0	232	50	23	0	0	158	8	37	44	0	0	0	0	18	0	0	0	0	47	168	33	0	0	2028	0
ASV.50	0	0	0	0	0	0	0	0	0	0	0	3823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.51	0	411	50	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1126	117	0	0	183	1525	0
ASV.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3570	0	0	0	0	0
ASV.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	0	2756	0	0	0	0	0
ASV.55	0	60	0	0	982	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	61	80	0	0	0	2021	0
ASV.56	0	0	0	0	3269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.58	0	0	0	0	0	0	0	2499	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0
ASV.60	0	0	0	0	0	0	0	0	0	71	0	2850	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0
ASV.61	0	0	0	0	0	0	0	2995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.63	0	0	0	0	0	0	0	0	46	921	0	0	0	0	0	257	0	176	1449	0	0	0	0	0	0	0	0	0	0
ASV.64	0	0	0	0	0	0	0	0	0	72	21	169	2296	10	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0
ASV.67	0	0	0	142	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	0	0	1412	2	0	0	0	0
ASV.68	1228	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	88	0	0	0	622	0
ASV.69	96	203	165	0	23	0	20	0	0	86	45	7	0	0	0	0	0	0	31	0	0	25	352	0	0	13	67	1452	27
ASV.70	126	0	0	0	1997	0	0	138	0	0	0	0	0	0	0	41	0	0	0	0	132	0	0	89	0	0	0	0	0
ASV.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494	0	0	0	0	0	0	0	0	0	0
ASV.73	0	0	0	0	0	0	0	0	13	0	0	2228	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.76	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.77	0	0	0	36	1284	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	350	0	0	554	0	0	0	0	0
ASV.79	0	0	0	0	0	0	0	0	0	647	508	0	0	0	0	1061	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.80	102	0	66	133	606	0	141	38	0	0	0	0	90	50	0	0	0	62	0	22	267	0	0	270	0	0	0	311	30
ASV.81	0	0	0	0	0	0	0	2179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	1724	0	0	0	0	0
ASV.84	0	0	0	0	0	0	0	0	0	0	0	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.85	0	0	0	0	0	0	0	0	106	876	128	171	0	13	0	453	0	291	58	20	0	0	0	0	0	0	0	0	0
ASV.86	2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2045	0
ASV.88	190	1029	165	0	122	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	244	0	0	142	0	0	0
ASV.89	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	1503	0	0	0	0	0	0	0	0
ASV.90	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1852	0	0	0	0	0
ASV.91	0	0	0	0	0	0	0	0	416	1450	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0	943	0	0	0	0	0
ASV.93	0	0	0	0	0	0	0	0	69	1476	0	0	0	0	0	226	0	83	0	0	0	0	0	0	0	0	0	0	0
ASV.94	0	0	0	0	0	0	0	0	1847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.95	0	0	0	0	0	0	0	71	0	0	0	1606	0	0	0	0	0	87	71	0	0	0	0	0	0	0	0	0	0
ASV.96	0	0	0	0	0	0	0	5	3	299	0	1373	0	35	0	31	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV.97	0	0	0	0	537	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	592	0	0	0	0	0
ASV.98	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	0	0	0	36	0	0	0	0	0	0	0	0	4	0	0
ASV.99	108	0	0	64	0	0	0	0	0	0	0	0	44	1360	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0
ASV.100	0	0	0	0	1729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	55	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548	0	0	0	0	0	0	0	0
ASV.102	0	0	0	0	0	0	0	390	0	0	0	217	0	0	0	249	0	240	619	0	0	0	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.109	0	0	0	0	0	0	0	5	13	567	0	354	11	0	0	51	0	69	592	8	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	0	0	0	0	298	1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	0	0	0	63	589	0	0	0	0	0	0	0	0	0	0
