#Source	Type	SizeFrac	SampName
RawFastqs/SRR19399856_R1.fastq.gz	DNA	Frac_0.2	SRR19399856
RawFastqs/SRR19399856_R2.fastq.gz	DNA	Frac_0.2	SRR19399856
RawFastqs/SRR19399857_R1.fastq.gz	DNA	Frac_0.2	SRR19399857
RawFastqs/SRR19399857_R2.fastq.gz	DNA	Frac_0.2	SRR19399857
RawFastqs/SRR19399858_R1.fastq.gz	DNA	Frac_0.2	SRR19399858
RawFastqs/SRR19399858_R2.fastq.gz	DNA	Frac_0.2	SRR19399858
RawFastqs/SRR19399859_R1.fastq.gz	DNA	Frac_0.2	SRR19399859
RawFastqs/SRR19399859_R2.fastq.gz	DNA	Frac_0.2	SRR19399859
RawFastqs/SRR19399860_R1.fastq.gz	DNA	Frac_0.2	SRR19399860
RawFastqs/SRR19399860_R2.fastq.gz	DNA	Frac_0.2	SRR19399860
RawFastqs/SRR19399861_R1.fastq.gz	DNA	Frac_0.2	SRR19399861
RawFastqs/SRR19399861_R2.fastq.gz	DNA	Frac_0.2	SRR19399861
RawFastqs/SRR19399862_R1.fastq.gz	DNA	Frac_0.2	SRR19399862
RawFastqs/SRR19399862_R2.fastq.gz	DNA	Frac_0.2	SRR19399862
RawFastqs/SRR19399863_R1.fastq.gz	DNA	Frac_0.2	SRR19399863
RawFastqs/SRR19399863_R2.fastq.gz	DNA	Frac_0.2	SRR19399863
RawFastqs/SRR19399864_R1.fastq.gz	DNA	Frac_0.2	SRR19399864
RawFastqs/SRR19399864_R2.fastq.gz	DNA	Frac_0.2	SRR19399864
RawFastqs/SRR19399865_R1.fastq.gz	DNA	Frac_0.2	SRR19399865
RawFastqs/SRR19399865_R2.fastq.gz	DNA	Frac_0.2	SRR19399865
RawFastqs/SRR19399866_R1.fastq.gz	DNA	Frac_0.2	SRR19399866
RawFastqs/SRR19399866_R2.fastq.gz	DNA	Frac_0.2	SRR19399866
RawFastqs/SRR19399867_R1.fastq.gz	DNA	Frac_0.2	SRR19399867
RawFastqs/SRR19399867_R2.fastq.gz	DNA	Frac_0.2	SRR19399867
RawFastqs/SRR19399868_R1.fastq.gz	DNA	Frac_0.2	SRR19399868
RawFastqs/SRR19399868_R2.fastq.gz	DNA	Frac_0.2	SRR19399868
RawFastqs/SRR19399869_R1.fastq.gz	DNA	Frac_0.2	SRR19399869
RawFastqs/SRR19399869_R2.fastq.gz	DNA	Frac_0.2	SRR19399869
RawFastqs/SRR19399870_R1.fastq.gz	DNA	Frac_0.2	SRR19399870
RawFastqs/SRR19399870_R2.fastq.gz	DNA	Frac_0.2	SRR19399870
RawFastqs/SRR19399871_R1.fastq.gz	DNA	Frac_0.2	SRR19399871
RawFastqs/SRR19399871_R2.fastq.gz	DNA	Frac_0.2	SRR19399871
RawFastqs/SRR19399872_R1.fastq.gz	DNA	Frac_0.2	SRR19399872
RawFastqs/SRR19399872_R2.fastq.gz	DNA	Frac_0.2	SRR19399872
RawFastqs/SRR19399873_R1.fastq.gz	DNA	Frac_0.2	SRR19399873
RawFastqs/SRR19399873_R2.fastq.gz	DNA	Frac_0.2	SRR19399873
RawFastqs/SRR19399874_R1.fastq.gz	DNA	Frac_0.2	SRR19399874
RawFastqs/SRR19399874_R2.fastq.gz	DNA	Frac_0.2	SRR19399874
RawFastqs/SRR19399875_R1.fastq.gz	DNA	Frac_0.2	SRR19399875
RawFastqs/SRR19399875_R2.fastq.gz	DNA	Frac_0.2	SRR19399875
RawFastqs/SRR19399876_R1.fastq.gz	DNA	Frac_0.2	SRR19399876
RawFastqs/SRR19399876_R2.fastq.gz	DNA	Frac_0.2	SRR19399876
RawFastqs/SRR19399877_R1.fastq.gz	DNA	Frac_0.2	SRR19399877
RawFastqs/SRR19399877_R2.fastq.gz	DNA	Frac_0.2	SRR19399877
RawFastqs/SRR19399878_R1.fastq.gz	DNA	Frac_0.2	SRR19399878
RawFastqs/SRR19399878_R2.fastq.gz	DNA	Frac_0.2	SRR19399878
RawFastqs/SRR19399879_R1.fastq.gz	DNA	Frac_0.2	SRR19399879
RawFastqs/SRR19399879_R2.fastq.gz	DNA	Frac_0.2	SRR19399879
RawFastqs/SRR19399880_R1.fastq.gz	DNA	Frac_0.2	SRR19399880
RawFastqs/SRR19399880_R2.fastq.gz	DNA	Frac_0.2	SRR19399880
RawFastqs/SRR19399881_R1.fastq.gz	DNA	Frac_0.2	SRR19399881
RawFastqs/SRR19399881_R2.fastq.gz	DNA	Frac_0.2	SRR19399881
RawFastqs/SRR19399882_R1.fastq.gz	DNA	Frac_0.2	SRR19399882
RawFastqs/SRR19399882_R2.fastq.gz	DNA	Frac_0.2	SRR19399882
RawFastqs/SRR19399883_R1.fastq.gz	DNA	Frac_0.2	SRR19399883
RawFastqs/SRR19399883_R2.fastq.gz	DNA	Frac_0.2	SRR19399883
RawFastqs/SRR19399884_R1.fastq.gz	DNA	Frac_0.2	SRR19399884
RawFastqs/SRR19399884_R2.fastq.gz	DNA	Frac_0.2	SRR19399884
