asvLen	totReads	numSamps
ASV.1	325	473654	59
ASV.2	325	204158	18
ASV.3	325	106442	16
ASV.4	325	94093	15
ASV.5	325	82560	16
ASV.6	328	71680	32
ASV.7	325	63761	12
ASV.8	328	47428	19
ASV.9	328	45842	33
ASV.10	328	44706	20
ASV.11	325	41764	19
ASV.12	328	36233	12
ASV.13	325	36146	28
ASV.14	328	26960	11
ASV.15	328	26821	24
ASV.16	328	26418	24
ASV.17	328	22640	15
ASV.18	148	20241	40
ASV.19	328	19929	12
ASV.20	325	19790	20
ASV.21	328	19217	7
ASV.22	325	17978	6
ASV.23	247	17261	16
ASV.24	328	16721	2
ASV.25	328	15973	10
ASV.26	148	15444	32
ASV.27	325	14545	11
ASV.28	325	14124	12
ASV.29	148	13769	36
ASV.30	325	13291	7
ASV.31	325	11741	16
ASV.32	328	11481	11
ASV.33	328	11038	10
ASV.34	328	10856	12
ASV.35	325	8517	9
ASV.36	328	8216	13
ASV.37	328	7824	12
ASV.38	247	6836	8
ASV.40	328	6495	5
ASV.41	74	6194	22
ASV.42	325	5810	5
ASV.43	328	5603	4
ASV.44	328	5573	7
ASV.46	166	5220	1
ASV.47	117	4994	5
ASV.48	262	4947	9
ASV.49	325	4785	5
ASV.51	325	4713	14
ASV.52	325	4676	11
ASV.53	328	4557	6
ASV.54	328	4472	5
ASV.55	325	4312	5
ASV.57	328	3972	1
ASV.58	325	3948	7
ASV.59	325	3885	8
ASV.60	328	3845	11
ASV.61	325	3806	8
ASV.62	325	3763	6
ASV.66	328	3357	7
ASV.67	203	3335	15
ASV.68	328	3262	2
ASV.69	80	3122	16
ASV.70	328	3054	8
ASV.71	328	3034	11
ASV.72	325	3003	4
ASV.73	82	2936	1
ASV.74	328	2892	6
ASV.75	333	2758	13
ASV.76	328	2751	9
ASV.77	82	2748	8
ASV.78	109	2694	13
ASV.79	328	2685	11
ASV.80	247	2670	2
ASV.81	325	2553	2
ASV.85	328	2426	2
ASV.86	80	2365	15
ASV.88	325	2236	2
ASV.89	49	2114	18
ASV.90	328	2093	7
ASV.91	328	2082	7
ASV.92	325	2078	2
ASV.93	325	2048	2
ASV.94	57	2040	1
ASV.95	328	2017	7
ASV.97	328	1910	8
ASV.99	328	1894	5
ASV.100	80	1883	20
ASV.101	328	1876	1
ASV.102	328	1814	6
ASV.103	328	1814	4
ASV.105	325	1781	3
ASV.106	328	1775	12
ASV.107	333	1768	8
ASV.108	328	1701	7
ASV.110	281	1675	6
ASV.112	325	1650	2
ASV.113	328	1613	3
ASV.115	80	1589	10
ASV.116	328	1560	1
ASV.117	328	1559	6
ASV.118	325	1546	9
ASV.119	325	1474	1
ASV.120	328	1455	4
ASV.121	199	1441	13
ASV.122	31	1430	8
ASV.123	328	1430	11
ASV.124	104	1429	1
ASV.125	328	1404	7
ASV.126	325	1392	1
ASV.127	281	1373	4
ASV.128	303	1348	11
ASV.129	328	1335	5
ASV.130	199	1317	12
ASV.132	328	1282	10
ASV.133	328	1282	5
ASV.134	325	1279	9
ASV.135	328	1259	6
ASV.136	328	1232	9
ASV.137	245	1203	1
ASV.138	281	1192	7
ASV.139	79	1188	11
ASV.140	328	1167	4
ASV.141	328	1156	6
ASV.144	126	1132	16
ASV.145	328	1122	4
ASV.146	328	1108	7
ASV.147	328	1100	9
ASV.148	133	1097	13
ASV.149	131	1089	2
ASV.151	34	1087	23
ASV.152	328	1083	4
ASV.155	325	1054	1
ASV.156	262	1028	6
ASV.157	328	1018	6
ASV.158	328	1016	8
ASV.159	325	1011	1
ASV.161	58	1004	10
ASV.163	328	966	1
ASV.164	328	965	1
ASV.165	115	961	11
ASV.166	80	960	7
ASV.167	328	937	1
ASV.169	328	919	6
ASV.170	328	918	5
ASV.171	328	913	3
ASV.172	328	905	7
ASV.174	184	896	5
ASV.176	181	886	3
ASV.177	45	880	18
ASV.179	328	855	5
ASV.180	328	853	2
ASV.181	328	849	5
ASV.182	489	847	8
ASV.183	258	839	4
ASV.185	328	835	3
ASV.186	328	826	1
ASV.188	328	822	9
ASV.189	328	820	2
ASV.190	25	817	10
ASV.191	328	811	2
ASV.192	328	811	3
ASV.193	325	802	1
ASV.194	205	790	4
ASV.197	311	774	9
ASV.200	328	760	6
ASV.201	325	760	3
ASV.202	328	752	6
ASV.203	328	752	6
