Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk008-e15-1	Turk009-e15-30	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk017-e15-2	Turk018-e15-34	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk026-e15-3	Turk027-e15-35	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk035-e15-22	Turk036-e15-36	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk044-e15-23	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk052-e15-24	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk060-e15-28	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223	Turk068-e15-29
ASV.1	3410	120	22777	17765	17289	10065	477	916	1092	3827	0	6791	1603	1929	4281	5057	904	1661	20627	16676	13427	17675	17971	1521	1960	377	2605	0	13927	429	2599	12078	4084	970	630	1437	1812	15058	26040	4429	514	0	617	1330	0	16280	3300	9963	26407	7886	0	1299	0	292	0	21855	17217	4822	3116	1780	0	26126	0	110	16055	8479	27874	2036
ASV.2	22699	0	0	0	0	0	0	11358	12167	22323	0	0	0	0	0	0	8336	16301	5670	0	0	0	0	0	0	4978	18139	0	2026	0	0	0	0	0	8551	9165	6535	0	0	0	0	0	0	10953	0	0	0	0	0	45	0	16607	0	0	0	0	0	0	0	13986	0	0	0	0	0	0	0	14319
ASV.3	0	0	0	0	0	0	4308	0	0	0	0	0	0	0	0	12283	0	0	0	0	76	0	0	2955	3948	0	0	0	0	7174	0	0	0	6370	0	0	0	0	0	0	46	0	7305	0	0	0	0	0	0	18903	3907	0	0	0	0	0	0	2028	3683	0	0	112	0	0	1115	32229	0	0
ASV.4	0	0	0	0	127	995	22	0	0	0	0	14824	12046	0	0	0	0	0	0	0	0	124	0	0	1355	0	0	0	0	0	0	0	0	0	0	0	0	0	457	4894	13354	0	0	0	0	0	12535	0	0	0	0	0	37	24239	0	0	0	0	8928	0	0	156	0	0	0	0	0	0
ASV.5	0	0	0	0	0	0	3880	0	0	0	0	0	0	0	6643	439	0	0	0	0	0	0	0	3365	4035	0	0	0	0	8805	0	0	0	7627	0	0	0	0	0	0	0	0	6745	0	0	0	0	0	2017	4436	11749	0	0	0	0	0	0	10176	4327	0	0	0	0	14	1814	6488	0	0
ASV.6	0	0	1117	693	4021	0	2168	0	0	0	0	0	0	4454	5616	977	0	0	0	0	197	3281	934	658	4781	0	0	0	0	3656	643	3054	5346	2050	0	0	0	0	0	121	3333	3609	2826	0	0	0	0	2260	150	2604	440	0	0	0	0	0	3479	1364	1872	0	0	755	0	955	177	4089	0	0
ASV.7	0	0	0	0	0	0	5793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5867	6459	0	0	0	0	4969	0	0	0	9286	0	0	0	0	0	0	699	0	11937	0	0	0	0	0	0	7970	561	0	0	0	0	0	0	0	7283	0	0	108	0	0	0	2829	0	0
ASV.8	0	0	371	137	0	0	1052	0	0	0	0	0	0	0	0	2106	0	0	0	0	2470	0	0	270	1061	0	0	0	0	3482	0	0	0	823	0	0	0	0	210	0	0	0	1440	0	0	0	0	7144	910	4898	3941	0	0	0	0	0	0	0	668	0	0	0	0	3850	4050	8545	0	0
ASV.9	0	0	495	354	2800	0	959	0	0	0	0	0	0	2107	3347	521	0	0	0	0	118	2218	1888	312	2965	0	0	0	0	1997	296	1988	2624	961	0	0	0	0	196	356	4170	298	1271	0	0	0	0	1283	126	1127	211	0	0	0	0	980	1605	67	4635	0	0	547	0	509	0	2511	0	0
ASV.10	0	0	3917	2572	3116	0	0	0	0	0	0	836	0	0	1423	2193	0	0	0	0	1908	1287	0	0	0	0	0	0	0	1169	53	1488	11742	0	0	0	0	0	830	0	0	0	0	0	0	0	0	1603	2262	1214	1194	0	0	0	0	0	0	0	0	0	0	1667	0	0	2332	1900	0	0
