Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.1	3415	119	22816	17725	17270	10060	477	3882	0	6802	1602	1924	4281	5104	20625	16728	13433	17700	17937	1522	1961	0	13891	428	2598	12060	4081	970	1810	15037	26087	4409	515	0	618	0	16286	3301	9958	26370	7919	0	0	293	0	21833	17307	4819	3116	0	26184	0	110	15906	8534	27899
ASV.2	0	0	0	0	0	0	4305	0	0	0	0	0	0	12253	0	0	76	0	0	2947	3944	0	0	7172	0	0	0	6368	0	0	0	0	46	0	7264	0	0	0	0	0	18897	3910	0	0	0	0	0	2028	3685	0	112	0	0	1118	32225	0
ASV.3	0	0	0	0	127	995	22	0	0	14698	12012	0	0	0	0	0	0	124	0	0	1359	0	0	0	0	0	0	0	0	0	457	4945	13588	0	0	0	0	12511	0	0	0	0	37	24298	0	0	0	0	8902	0	156	0	0	0	0	0
ASV.4	0	0	0	0	0	0	3894	0	0	0	0	0	6641	435	0	0	0	0	0	3845	4062	0	0	8796	0	0	0	7658	0	0	0	0	0	0	6760	0	0	0	0	2014	4470	11729	0	0	0	0	0	10124	4346	0	0	0	14	1815	6664	0
ASV.5	0	0	1114	690	4017	0	2164	0	0	0	0	4452	5613	973	0	0	196	3279	934	660	4779	0	0	3652	643	3053	5346	2049	0	0	0	121	3332	3609	2822	0	0	0	2259	149	2601	439	0	0	0	0	3479	1364	1872	0	755	0	984	177	4086	0
ASV.6	0	0	0	0	0	0	5777	0	0	0	0	0	0	0	0	0	0	0	0	5814	6432	0	0	4962	0	0	0	9364	0	0	0	0	699	0	11903	0	0	0	0	0	7959	561	0	0	0	0	0	0	7260	0	108	0	0	0	2817	0
ASV.7	22678	0	0	0	0	0	0	22352	0	0	0	0	0	0	5670	0	0	0	0	0	0	0	2027	0	0	0	0	0	6539	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	370	137	0	0	1052	0	0	0	0	0	0	2107	0	0	2470	0	0	270	1062	0	0	3478	0	0	0	818	0	0	210	0	0	0	1432	0	0	0	7141	910	4894	3916	0	0	0	0	0	0	666	0	0	0	3850	4048	8546	0
ASV.9	0	0	495	354	2771	0	958	0	0	0	0	2106	3347	521	0	0	118	2217	1888	312	2965	0	0	1968	295	1981	2624	960	0	0	196	356	4166	298	1271	0	0	0	1283	126	1126	211	0	0	0	982	1605	67	4635	0	547	0	510	0	2510	0
ASV.10	0	0	3908	2570	3113	0	0	0	0	871	0	0	1418	2188	0	0	1905	1284	0	0	0	0	0	1170	53	1487	11741	0	0	0	829	0	0	0	0	0	0	0	1647	2263	1513	1194	0	0	0	0	0	0	0	0	1665	0	0	2362	1884	0
ASV.11	0	0	5177	2880	853	3087	0	0	0	1073	0	0	0	670	0	0	2221	2905	0	0	592	0	0	0	559	1583	0	0	0	0	4775	0	0	0	0	0	0	0	0	860	1443	0	0	1571	0	0	741	0	0	0	7139	0	0	1103	2004	0
ASV.12	6406	0	0	0	0	0	0	9441	0	0	0	0	0	0	1173	2320	0	0	0	0	0	0	3608	0	0	0	0	0	487	932	0	0	0	0	0	2893	4744	0	0	0	0	0	0	1254	0	0	0	0	0	2194	0	0	0	0	0	903
ASV.13	0	0	1467	1107	1243	2116	187	0	0	829	3263	0	205	440	0	0	1386	819	0	0	32	0	0	121	0	479	0	28	0	116	0	515	0	0	19	0	0	5051	3764	3754	184	0	0	0	0	0	747	0	621	0	1825	0	2179	2910	647	216
ASV.14	0	0	0	0	0	0	3173	0	0	0	0	0	0	658	0	0	0	0	0	725	1962	0	0	939	0	0	0	2080	0	0	0	0	0	0	2497	0	0	0	0	0	2513	0	0	0	0	0	0	7445	1544	0	0	0	0	0	3442	0
