asvLen	totReads	numSamps
ASV.1	325	1219198	38
ASV.2	328	730178	17
ASV.3	325	557675	31
ASV.4	328	504733	20
ASV.5	328	386317	36
ASV.6	325	287106	19
ASV.7	328	242287	11
ASV.8	325	185735	14
ASV.9	325	175927	2
ASV.10	328	160682	3
ASV.11	328	159563	21
ASV.12	328	153253	4
ASV.14	325	133302	7
ASV.15	364	132797	4
ASV.16	325	122238	13
ASV.17	328	119747	5
ASV.18	328	85722	7
ASV.19	328	80763	2
ASV.20	328	75830	4
ASV.21	328	67225	1
ASV.22	328	55806	23
ASV.23	325	54699	10
ASV.24	358	54375	2
ASV.25	328	52857	3
ASV.26	328	51243	3
ASV.27	328	48064	4
ASV.28	328	47955	1
ASV.29	325	46810	4
ASV.30	328	46314	4
ASV.31	328	45203	3
ASV.32	325	44585	8
ASV.33	328	44028	1
ASV.34	325	43886	1
ASV.35	328	41159	2
ASV.36	328	33836	2
ASV.37	328	32176	2
ASV.38	325	27476	7
ASV.39	328	26375	1
ASV.40	328	26212	1
ASV.41	328	23601	2
ASV.42	152	23367	32
ASV.43	240	23164	2
ASV.44	174	21834	17
ASV.45	328	21024	1
ASV.46	328	20876	8
ASV.47	328	19606	1
ASV.48	328	19526	1
ASV.49	198	19155	1
ASV.50	328	19004	2
ASV.51	159	18986	18
ASV.52	227	18017	22
ASV.53	328	17691	1
ASV.54	328	17530	1
ASV.55	328	16345	2
ASV.56	328	16280	1
ASV.57	206	15813	29
ASV.58	182	15051	1
ASV.59	364	14986	1
ASV.60	325	14832	1
ASV.61	328	14033	2
ASV.62	328	13831	1
ASV.63	325	13759	11
ASV.64	328	13657	3
ASV.65	325	13256	1
ASV.66	328	11920	2
ASV.67	325	11663	8
ASV.68	328	11638	12
ASV.69	221	11286	26
ASV.70	328	11177	1
ASV.71	325	10953	2
ASV.72	152	10540	18
ASV.73	328	10315	1
ASV.74	325	10260	1
ASV.75	328	10194	1
ASV.76	325	10025	1
ASV.77	328	9784	3
ASV.78	358	9779	1
ASV.79	328	9702	2
ASV.80	364	8173	1
ASV.81	152	8032	15
ASV.82	328	7954	1
ASV.83	325	7651	5
ASV.84	74	7577	17
ASV.85	325	7224	6
ASV.86	325	6882	1
ASV.87	325	6750	1
ASV.88	161	6640	1
ASV.89	325	6629	1
ASV.90	328	6599	1
ASV.91	325	6547	1
ASV.92	328	6395	1
ASV.93	143	6235	13
ASV.94	325	6006	3
ASV.95	55	5781	12
ASV.96	26	5741	2
ASV.97	328	5572	2
ASV.98	325	5512	1
ASV.99	325	5440	1
ASV.100	131	5381	1
ASV.101	325	5220	6
ASV.102	325	5007	1
ASV.103	364	4967	1
ASV.104	328	4883	1
ASV.105	328	4858	2
ASV.106	325	4847	1
ASV.107	328	4819	1
ASV.108	328	4748	1
ASV.109	328	4684	2
ASV.110	328	4641	1
ASV.111	328	4616	1
ASV.112	328	4272	2
ASV.113	26	4216	1
ASV.114	246	4079	8
ASV.115	227	4029	21
ASV.116	227	3988	15
ASV.118	364	3707	3
ASV.119	42	3690	21
ASV.120	325	3672	1
ASV.121	328	3535	1
ASV.122	325	3500	1
ASV.123	143	3429	13
ASV.124	325	3426	1
ASV.125	52	3421	10
ASV.126	285	3365	1
ASV.127	325	3345	1
ASV.128	328	3335	3
ASV.129	325	3318	1
ASV.131	325	3200	1
ASV.133	325	3092	1
ASV.134	153	3073	1
ASV.135	325	3064	1
ASV.136	325	3062	1
ASV.138	325	2948	1
ASV.139	325	2909	2
ASV.140	325	2886	1
ASV.141	34	2797	25
ASV.142	328	2779	1
ASV.143	211	2763	1
ASV.144	364	2748	1
ASV.145	325	2722	2
ASV.146	328	2653	1
ASV.148	325	2627	1
ASV.149	328	2507	1
ASV.150	325	2497	1
ASV.151	322	2462	1
ASV.152	98	2380	1
ASV.153	328	2369	2
ASV.155	328	2351	1
ASV.156	325	2314	1
ASV.157	325	2307	1
ASV.158	364	2250	1
ASV.159	260	2218	6
ASV.160	325	2205	1
ASV.161	322	2203	1
ASV.162	52	2196	32
ASV.163	325	2178	1
ASV.164	325	2176	1
ASV.166	183	2119	1
ASV.167	340	2119	1
ASV.169	325	2073	1
ASV.171	328	2072	1
ASV.172	325	2061	1
ASV.173	159	2058	2
ASV.174	328	2002	1
ASV.175	181	1994	1
ASV.176	328	1992	1
ASV.177	325	1991	2
ASV.178	328	1988	2
ASV.179	328	1987	1
ASV.180	364	1986	2
ASV.181	262	1979	14
ASV.184	328	1953	1
ASV.185	328	1952	2
ASV.186	191	1951	3
ASV.190	325	1917	1
ASV.192	184	1866	1
ASV.193	328	1848	1
ASV.194	167	1847	14
ASV.195	325	1844	1
ASV.196	40	1830	1
ASV.197	206	1814	11
ASV.198	153	1800	4
ASV.199	246	1791	1
ASV.201	93	1762	13
ASV.202	57	1758	11
ASV.204	22	1734	66
ASV.205	325	1725	1
ASV.206	328	1724	1
ASV.207	95	1711	2
ASV.208	40	1711	2
ASV.209	245	1691	6
ASV.210	102	1661	1
ASV.211	325	1657	1
ASV.212	328	1650	1
ASV.213	144	1646	19
ASV.214	328	1615	1
ASV.215	121	1614	22
ASV.216	325	1613	1
ASV.217	325	1607	1
ASV.220	328	1569	1
ASV.221	227	1565	13
ASV.223	328	1521	3
ASV.225	325	1466	1
ASV.226	255	1463	1
ASV.227	328	1457	1
ASV.228	325	1453	1
ASV.229	148	1429	1
ASV.230	115	1428	10
ASV.231	302	1412	1
ASV.232	95	1410	2
ASV.233	311	1404	2
ASV.234	152	1401	11
ASV.235	328	1397	1
ASV.236	92	1389	2
ASV.237	364	1376	1
ASV.239	124	1357	1
ASV.241	328	1349	1
ASV.242	164	1346	1
ASV.244	325	1337	1
ASV.245	328	1329	1
ASV.246	325	1318	2
ASV.247	186	1306	1
ASV.248	325	1295	1
ASV.249	328	1294	1
ASV.251	191	1289	3
ASV.252	260	1268	5
ASV.253	325	1250	1
ASV.254	328	1241	1
ASV.255	328	1232	1
ASV.256	198	1230	3
ASV.257	328	1220	1
ASV.259	328	1199	2
ASV.260	137	1196	3
ASV.262	328	1187	1
ASV.263	364	1180	1
ASV.264	94	1165	1
ASV.265	185	1165	1
ASV.266	262	1162	5
ASV.267	116	1154	1
ASV.268	325	1150	1
ASV.269	325	1150	1
ASV.270	325	1146	1
ASV.273	325	1122	1
ASV.274	152	1116	7
ASV.275	328	1108	1
ASV.277	43	1095	21
ASV.278	328	1095	1
ASV.279	325	1092	1
ASV.280	328	1091	1
ASV.282	248	1086	8
ASV.283	362	1080	1
ASV.284	328	1076	1
ASV.285	196	1076	8
ASV.286	296	1071	1
ASV.287	191	1066	2
ASV.288	206	1063	6
ASV.290	328	1060	2
ASV.291	143	1056	9
ASV.292	145	1054	1
ASV.293	328	1049	1
ASV.294	214	1038	1
ASV.295	329	1037	1
ASV.296	328	1036	1
ASV.297	59	1026	19
ASV.298	328	1026	1
ASV.299	328	1020	1
ASV.300	328	1018	1
ASV.301	253	1018	1
ASV.302	328	1017	1
ASV.303	85	1014	1
ASV.305	107	1005	1
ASV.306	328	1001	1
ASV.307	325	994	1
ASV.308	325	993	1
ASV.309	328	990	1
ASV.311	325	978	1
ASV.312	328	974	1
ASV.315	224	943	3
ASV.316	107	936	1
ASV.317	328	929	1
ASV.318	328	924	1
ASV.319	163	923	2
ASV.320	328	919	3
ASV.321	325	915	1
ASV.322	159	913	1
ASV.323	206	900	4
ASV.324	328	900	1
ASV.325	135	900	1
ASV.326	325	893	1
ASV.327	328	891	1
ASV.328	328	889	1
ASV.329	196	888	1
ASV.330	71	887	2
ASV.331	325	878	2
ASV.334	122	847	12
ASV.335	325	843	1
ASV.336	329	840	1
ASV.337	325	838	2
ASV.338	88	831	2
ASV.339	328	829	1
ASV.340	205	822	1
ASV.341	224	818	1
ASV.342	325	818	1
ASV.343	80	812	25
ASV.344	328	808	1
ASV.345	43	806	24
ASV.347	179	794	1
ASV.348	79	790	3
ASV.349	328	789	1
ASV.352	325	775	1
ASV.354	208	772	1
ASV.355	163	770	1
ASV.356	200	769	1
ASV.357	328	764	1
ASV.358	325	760	1
ASV.359	139	758	1
ASV.360	186	757	1
ASV.361	328	754	1
ASV.362	90	754	1
ASV.364	328	752	1
ASV.365	328	752	1
ASV.366	97	751	1
ASV.367	191	748	5
ASV.369	143	740	1
ASV.370	113	735	1
ASV.371	335	733	8
ASV.373	261	731	4
ASV.374	145	730	4
ASV.375	55	724	1
ASV.376	241	722	6
ASV.377	228	718	6
ASV.378	328	714	1
ASV.379	112	708	18
ASV.380	191	705	3
ASV.381	231	699	2
ASV.382	93	699	11
ASV.383	93	698	1
ASV.385	140	695	1
ASV.386	325	689	1
ASV.387	85	685	1
ASV.388	328	685	1
ASV.389	201	684	1
ASV.391	325	682	1
ASV.392	95	673	3
ASV.393	196	673	2
ASV.395	328	665	1
ASV.396	322	663	1
ASV.397	175	655	11
ASV.398	151	655	1
ASV.400	328	649	1
ASV.402	325	646	2
ASV.403	100	645	2
ASV.404	325	635	3
ASV.405	317	635	10
ASV.407	283	634	1
ASV.408	105	633	11
ASV.409	325	630	1
ASV.410	28	629	1
ASV.411	328	625	1
ASV.412	328	623	1
ASV.413	325	623	1
ASV.414	171	623	1
ASV.415	154	622	1
ASV.416	328	619	1
ASV.417	325	617	1
ASV.418	30	615	8
ASV.419	176	612	4
ASV.420	325	611	1
ASV.421	155	609	1
ASV.422	50	607	2
ASV.423	127	606	5
ASV.424	79	606	5
ASV.425	232	601	1
ASV.427	263	592	1
ASV.428	227	589	3
ASV.429	431	585	1
ASV.431	328	584	1
ASV.432	325	584	1
ASV.434	198	582	1
ASV.435	158	580	1
ASV.436	325	579	1
ASV.437	325	578	1
ASV.439	127	575	3
ASV.441	64	572	1
ASV.442	328	571	1
ASV.445	325	564	1
ASV.446	325	563	1
ASV.448	304	560	5
ASV.449	110	558	1
ASV.450	205	554	1
ASV.451	328	553	1
ASV.452	325	553	1
ASV.455	65	549	3
ASV.456	325	549	1
ASV.457	227	548	8
ASV.459	325	546	1
ASV.460	328	545	2
ASV.461	328	545	1
ASV.462	140	543	1
ASV.463	227	542	11
ASV.467	234	537	1
ASV.468	280	537	1
ASV.469	125	536	1
ASV.470	169	535	1
ASV.472	328	531	1
ASV.473	392	528	5
ASV.474	322	526	1
ASV.475	325	525	1
ASV.476	142	522	1
ASV.477	146	521	9
ASV.478	275	518	1
ASV.479	248	518	1
ASV.480	178	517	1
ASV.482	121	513	12
ASV.483	83	510	1
ASV.484	202	506	1
ASV.486	60	506	1
ASV.487	325	505	1
ASV.488	328	504	1
ASV.490	227	504	1
ASV.491	328	503	1
ASV.492	191	502	1
ASV.493	290	502	2
ASV.495	328	499	1
ASV.496	325	499	1
ASV.497	328	498	1
ASV.498	325	498	1
ASV.499	111	498	1
ASV.501	152	497	1
ASV.502	101	495	1
ASV.503	207	493	3
ASV.504	43	492	12
ASV.505	289	491	1
ASV.506	325	490	1
ASV.509	325	488	1
ASV.510	325	487	1
ASV.511	324	487	1
ASV.512	328	487	1
ASV.513	328	486	1
ASV.516	156	483	1
ASV.517	298	482	1
ASV.518	250	481	1
ASV.519	325	479	1
ASV.520	244	476	1
ASV.521	322	474	1
ASV.522	166	474	1
ASV.524	164	470	1
ASV.525	328	465	1
ASV.526	34	464	24
ASV.527	328	462	1
ASV.529	325	462	1
ASV.530	325	462	1
ASV.531	328	458	1
ASV.532	176	457	1
ASV.535	217	453	1
ASV.536	328	450	1
ASV.537	262	450	1
ASV.538	328	449	1
ASV.539	186	449	1
ASV.540	328	448	1
ASV.541	158	448	1
ASV.542	322	447	1
ASV.545	163	444	3
ASV.546	328	443	1
ASV.548	176	442	6
ASV.549	325	442	1
ASV.550	335	442	1
ASV.551	328	440	1
ASV.552	358	440	1
ASV.553	328	439	1
ASV.554	149	439	14
ASV.555	46	439	1
ASV.556	234	434	1
ASV.557	52	432	16
ASV.558	203	430	1
ASV.559	280	429	3
ASV.561	328	427	1
ASV.562	280	426	1
ASV.563	152	426	3
ASV.564	149	425	1
ASV.565	126	425	1
ASV.566	56	422	5
ASV.567	133	421	1
ASV.569	123	418	11
ASV.570	346	418	1
ASV.571	328	416	2
ASV.573	328	415	1
ASV.575	163	413	6
ASV.576	325	413	1
ASV.578	328	412	1
ASV.579	134	411	1
ASV.580	114	411	2
ASV.581	328	409	1
ASV.582	328	407	1
ASV.583	325	407	1
ASV.584	85	405	2
ASV.585	152	405	1
ASV.586	154	404	1
ASV.588	328	403	1
ASV.589	260	402	1
ASV.590	39	401	1
ASV.591	364	400	1
