#Source	Type	SizeFrac	SampName
RawFastqs/SRR10759546_R1.fastq.gz	DNA	Frac_0.2	SRR10759546
RawFastqs/SRR10759546_R2.fastq.gz	DNA	Frac_0.2	SRR10759546
RawFastqs/SRR10759547_R1.fastq.gz	DNA	Frac_0.2	SRR10759547
RawFastqs/SRR10759547_R2.fastq.gz	DNA	Frac_0.2	SRR10759547
RawFastqs/SRR10759548_R1.fastq.gz	DNA	Frac_0.2	SRR10759548
RawFastqs/SRR10759548_R2.fastq.gz	DNA	Frac_0.2	SRR10759548
RawFastqs/SRR10759549_R1.fastq.gz	DNA	Frac_0.2	SRR10759549
RawFastqs/SRR10759549_R2.fastq.gz	DNA	Frac_0.2	SRR10759549
RawFastqs/SRR10759550_R1.fastq.gz	DNA	Frac_0.2	SRR10759550
RawFastqs/SRR10759550_R2.fastq.gz	DNA	Frac_0.2	SRR10759550
RawFastqs/SRR10759551_R1.fastq.gz	DNA	Frac_0.2	SRR10759551
RawFastqs/SRR10759551_R2.fastq.gz	DNA	Frac_0.2	SRR10759551
RawFastqs/SRR10759552_R1.fastq.gz	DNA	Frac_0.2	SRR10759552
RawFastqs/SRR10759552_R2.fastq.gz	DNA	Frac_0.2	SRR10759552
RawFastqs/SRR10759553_R1.fastq.gz	DNA	Frac_0.2	SRR10759553
RawFastqs/SRR10759553_R2.fastq.gz	DNA	Frac_0.2	SRR10759553
RawFastqs/SRR10759554_R1.fastq.gz	DNA	Frac_0.2	SRR10759554
RawFastqs/SRR10759554_R2.fastq.gz	DNA	Frac_0.2	SRR10759554
RawFastqs/SRR10759555_R1.fastq.gz	DNA	Frac_0.2	SRR10759555
RawFastqs/SRR10759555_R2.fastq.gz	DNA	Frac_0.2	SRR10759555
RawFastqs/SRR10759556_R1.fastq.gz	DNA	Frac_0.2	SRR10759556
RawFastqs/SRR10759556_R2.fastq.gz	DNA	Frac_0.2	SRR10759556
RawFastqs/SRR10759557_R1.fastq.gz	DNA	Frac_0.2	SRR10759557
RawFastqs/SRR10759557_R2.fastq.gz	DNA	Frac_0.2	SRR10759557
RawFastqs/SRR10759558_R1.fastq.gz	DNA	Frac_0.2	SRR10759558
RawFastqs/SRR10759558_R2.fastq.gz	DNA	Frac_0.2	SRR10759558
RawFastqs/SRR10759559_R1.fastq.gz	DNA	Frac_0.2	SRR10759559
RawFastqs/SRR10759559_R2.fastq.gz	DNA	Frac_0.2	SRR10759559
RawFastqs/SRR10759560_R1.fastq.gz	DNA	Frac_0.2	SRR10759560
RawFastqs/SRR10759560_R2.fastq.gz	DNA	Frac_0.2	SRR10759560
RawFastqs/SRR10759561_R1.fastq.gz	DNA	Frac_0.2	SRR10759561
RawFastqs/SRR10759561_R2.fastq.gz	DNA	Frac_0.2	SRR10759561
RawFastqs/SRR10759562_R1.fastq.gz	DNA	Frac_0.2	SRR10759562
RawFastqs/SRR10759562_R2.fastq.gz	DNA	Frac_0.2	SRR10759562
RawFastqs/SRR10759563_R1.fastq.gz	DNA	Frac_0.2	SRR10759563
RawFastqs/SRR10759563_R2.fastq.gz	DNA	Frac_0.2	SRR10759563
RawFastqs/SRR10759564_R1.fastq.gz	DNA	Frac_0.2	SRR10759564
RawFastqs/SRR10759564_R2.fastq.gz	DNA	Frac_0.2	SRR10759564
RawFastqs/SRR10759565_R1.fastq.gz	DNA	Frac_0.2	SRR10759565
RawFastqs/SRR10759565_R2.fastq.gz	DNA	Frac_0.2	SRR10759565
RawFastqs/SRR10759566_R1.fastq.gz	DNA	Frac_0.2	SRR10759566
RawFastqs/SRR10759566_R2.fastq.gz	DNA	Frac_0.2	SRR10759566
RawFastqs/SRR10759567_R1.fastq.gz	DNA	Frac_0.2	SRR10759567
RawFastqs/SRR10759567_R2.fastq.gz	DNA	Frac_0.2	SRR10759567
RawFastqs/SRR10759568_R1.fastq.gz	DNA	Frac_0.2	SRR10759568
