#Source	Type	SizeFrac	SampName
RawFastqs/DRR256248_R1.fastq.gz	DNA	Frac_0.2	DRR256248
RawFastqs/DRR256248_R2.fastq.gz	DNA	Frac_0.2	DRR256248
RawFastqs/DRR256249_R1.fastq.gz	DNA	Frac_0.2	DRR256249
RawFastqs/DRR256249_R2.fastq.gz	DNA	Frac_0.2	DRR256249
RawFastqs/DRR256250_R1.fastq.gz	DNA	Frac_0.2	DRR256250
RawFastqs/DRR256250_R2.fastq.gz	DNA	Frac_0.2	DRR256250
RawFastqs/DRR256251_R1.fastq.gz	DNA	Frac_0.2	DRR256251
RawFastqs/DRR256251_R2.fastq.gz	DNA	Frac_0.2	DRR256251
RawFastqs/DRR256252_R1.fastq.gz	DNA	Frac_0.2	DRR256252
RawFastqs/DRR256252_R2.fastq.gz	DNA	Frac_0.2	DRR256252
RawFastqs/DRR256253_R1.fastq.gz	DNA	Frac_0.2	DRR256253
RawFastqs/DRR256253_R2.fastq.gz	DNA	Frac_0.2	DRR256253
RawFastqs/DRR256254_R1.fastq.gz	DNA	Frac_0.2	DRR256254
RawFastqs/DRR256254_R2.fastq.gz	DNA	Frac_0.2	DRR256254
RawFastqs/DRR256255_R1.fastq.gz	DNA	Frac_0.2	DRR256255
RawFastqs/DRR256255_R2.fastq.gz	DNA	Frac_0.2	DRR256255
RawFastqs/DRR256256_R1.fastq.gz	DNA	Frac_0.2	DRR256256
RawFastqs/DRR256256_R2.fastq.gz	DNA	Frac_0.2	DRR256256
RawFastqs/DRR256257_R1.fastq.gz	DNA	Frac_0.2	DRR256257
RawFastqs/DRR256257_R2.fastq.gz	DNA	Frac_0.2	DRR256257
RawFastqs/DRR256258_R1.fastq.gz	DNA	Frac_0.2	DRR256258
RawFastqs/DRR256258_R2.fastq.gz	DNA	Frac_0.2	DRR256258
RawFastqs/DRR256259_R1.fastq.gz	DNA	Frac_0.2	DRR256259
RawFastqs/DRR256259_R2.fastq.gz	DNA	Frac_0.2	DRR256259
RawFastqs/DRR256260_R1.fastq.gz	DNA	Frac_0.2	DRR256260
RawFastqs/DRR256260_R2.fastq.gz	DNA	Frac_0.2	DRR256260
RawFastqs/DRR256261_R1.fastq.gz	DNA	Frac_0.2	DRR256261
RawFastqs/DRR256261_R2.fastq.gz	DNA	Frac_0.2	DRR256261
RawFastqs/DRR256262_R1.fastq.gz	DNA	Frac_0.2	DRR256262
RawFastqs/DRR256262_R2.fastq.gz	DNA	Frac_0.2	DRR256262
RawFastqs/DRR256263_R1.fastq.gz	DNA	Frac_0.2	DRR256263
RawFastqs/DRR256263_R2.fastq.gz	DNA	Frac_0.2	DRR256263
RawFastqs/DRR256264_R1.fastq.gz	DNA	Frac_0.2	DRR256264
RawFastqs/DRR256264_R2.fastq.gz	DNA	Frac_0.2	DRR256264
RawFastqs/DRR256265_R1.fastq.gz	DNA	Frac_0.2	DRR256265
RawFastqs/DRR256265_R2.fastq.gz	DNA	Frac_0.2	DRR256265
RawFastqs/DRR256266_R1.fastq.gz	DNA	Frac_0.2	DRR256266
RawFastqs/DRR256266_R2.fastq.gz	DNA	Frac_0.2	DRR256266
RawFastqs/DRR256267_R1.fastq.gz	DNA	Frac_0.2	DRR256267
RawFastqs/DRR256267_R2.fastq.gz	DNA	Frac_0.2	DRR256267
RawFastqs/DRR256268_R1.fastq.gz	DNA	Frac_0.2	DRR256268
RawFastqs/DRR256268_R2.fastq.gz	DNA	Frac_0.2	DRR256268
RawFastqs/DRR256269_R1.fastq.gz	DNA	Frac_0.2	DRR256269
RawFastqs/DRR256269_R2.fastq.gz	DNA	Frac_0.2	DRR256269
RawFastqs/DRR256270_R1.fastq.gz	DNA	Frac_0.2	DRR256270
RawFastqs/DRR256270_R2.fastq.gz	DNA	Frac_0.2	DRR256270
RawFastqs/DRR256271_R1.fastq.gz	DNA	Frac_0.2	DRR256271
RawFastqs/DRR256271_R2.fastq.gz	DNA	Frac_0.2	DRR256271
RawFastqs/DRR256272_R1.fastq.gz	DNA	Frac_0.2	DRR256272
RawFastqs/DRR256272_R2.fastq.gz	DNA	Frac_0.2	DRR256272
RawFastqs/DRR256273_R1.fastq.gz	DNA	Frac_0.2	DRR256273
RawFastqs/DRR256273_R2.fastq.gz	DNA	Frac_0.2	DRR256273
RawFastqs/DRR256274_R1.fastq.gz	DNA	Frac_0.2	DRR256274
RawFastqs/DRR256274_R2.fastq.gz	DNA	Frac_0.2	DRR256274
RawFastqs/DRR256275_R1.fastq.gz	DNA	Frac_0.2	DRR256275
RawFastqs/DRR256275_R2.fastq.gz	DNA	Frac_0.2	DRR256275
