#Source	Type	SizeFrac	SampName
RawFastqs/SRR13240302_R1.fastq.gz	DNA	Frac_0.2	SRR13240302
RawFastqs/SRR13240302_R2.fastq.gz	DNA	Frac_0.2	SRR13240302
RawFastqs/SRR13240303_R1.fastq.gz	DNA	Frac_0.2	SRR13240303
RawFastqs/SRR13240303_R2.fastq.gz	DNA	Frac_0.2	SRR13240303
RawFastqs/SRR13240304_R1.fastq.gz	DNA	Frac_0.2	SRR13240304
RawFastqs/SRR13240304_R2.fastq.gz	DNA	Frac_0.2	SRR13240304
RawFastqs/SRR13240305_R1.fastq.gz	DNA	Frac_0.2	SRR13240305
RawFastqs/SRR13240305_R2.fastq.gz	DNA	Frac_0.2	SRR13240305
RawFastqs/SRR13240306_R1.fastq.gz	DNA	Frac_0.2	SRR13240306
RawFastqs/SRR13240306_R2.fastq.gz	DNA	Frac_0.2	SRR13240306
RawFastqs/SRR13240307_R1.fastq.gz	DNA	Frac_0.2	SRR13240307
RawFastqs/SRR13240307_R2.fastq.gz	DNA	Frac_0.2	SRR13240307
RawFastqs/SRR13240308_R1.fastq.gz	DNA	Frac_0.2	SRR13240308
RawFastqs/SRR13240308_R2.fastq.gz	DNA	Frac_0.2	SRR13240308
RawFastqs/SRR13240309_R1.fastq.gz	DNA	Frac_0.2	SRR13240309
RawFastqs/SRR13240309_R2.fastq.gz	DNA	Frac_0.2	SRR13240309
RawFastqs/SRR13240310_R1.fastq.gz	DNA	Frac_0.2	SRR13240310
RawFastqs/SRR13240310_R2.fastq.gz	DNA	Frac_0.2	SRR13240310
RawFastqs/SRR13240311_R1.fastq.gz	DNA	Frac_0.2	SRR13240311
RawFastqs/SRR13240311_R2.fastq.gz	DNA	Frac_0.2	SRR13240311
