KH.14.3.St03day.cDNA	KH.14.3.St04day.cDNA	KH.14.3.St04night.cDNA	KH.14.3.St05day.cDNA	KH.14.3.St05night.cDNA	KH.14.3.St06day.cDNA	KH.14.3.St06night.cDNA	KH.14.3.St07day.cDNA	KH.14.3.St07night.cDNA	KH.14.3.St08day.cDNA	KH.14.3.St08night.cDNA	KH.14.3.St09day.cDNA	KH.14.3.St11day.cDNA	KH.14.3.St13day.cDNA
ASV.01	0	0	0	0	0	0	0	0	0	24	76	28	73	30220
ASV.02	0	742	0	367	360	1654	6235	0	10910	0	0	0	0	0
ASV.03	0	0	0	313	0	17395	0	31	29	0	0	0	0	0
ASV.04	0	0	0	0	0	31	0	10826	5176	0	0	0	0	0
ASV.05	0	0	0	0	13700	0	0	0	0	0	0	0	0	0
ASV.06	0	0	0	0	0	0	0	0	0	3720	7978	17	54	73
ASV.07	0	2897	0	7003	139	392	364	0	0	0	0	0	0	0
ASV.08	0	195	0	0	0	0	0	5271	3471	1002	0	0	0	0
ASV.09	0	0	0	0	0	0	0	0	0	8114	0	0	0	0
ASV.010	0	0	0	0	0	0	0	6920	0	0	0	0	0	0
ASV.011	0	0	0	0	0	5788	0	0	0	0	0	0	0	0
ASV.012	0	1985	148	555	0	1969	872	0	0	0	0	0	0	0
ASV.013	63	940	0	394	1295	1142	1066	0	299	0	0	0	0	0
ASV.014	0	0	0	0	0	0	0	3641	1103	0	0	0	0	0
ASV.015	0	0	0	0	0	3984	0	0	0	0	0	0	0	0
ASV.016	0	0	0	0	0	0	0	0	0	0	3905	0	21	0
ASV.017	0	0	938	0	2249	0	0	0	0	0	0	0	0	0
ASV.018	0	0	0	0	2838	0	0	0	0	0	0	0	0	0
ASV.019	0	0	0	2384	158	0	0	0	0	0	0	0	0	0
ASV.020	0	0	0	0	0	0	2033	0	0	0	0	0	0	0
ASV.021	1944	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.022	0	0	0	0	0	1790	0	0	0	0	0	0	0	0
ASV.023	0	0	0	0	0	0	0	1782	0	0	0	0	0	0
ASV.024	0	0	0	0	0	0	1353	0	0	0	0	0	0	0
ASV.025	0	0	0	0	3	116	645	26	509	0	0	0	0	0
ASV.026	0	0	0	0	0	0	0	0	0	0	0	0	1249	0
ASV.027	0	0	0	0	963	0	0	0	0	0	0	0	0	0
ASV.028	803	0	81	0	0	0	0	0	0	0	0	0	0	0
ASV.029	0	0	0	0	0	0	0	0	0	868	0	0	0	0
ASV.030	0	0	0	0	0	0	859	0	0	0	0	0	0	0
ASV.031	0	0	0	0	0	814	0	0	0	0	0	0	0	0
ASV.032	0	0	0	0	0	753	0	0	0	0	0	0	0	0
ASV.033	0	0	0	0	0	0	0	0	0	0	0	678	0	0
ASV.034	0	0	0	0	616	0	0	0	0	0	0	0	0	0
ASV.035	0	0	0	0	0	0	0	0	603	0	0	0	0	0
ASV.036	0	0	0	0	0	0	0	0	576	0	0	0	0	0
ASV.037	0	0	0	0	0	0	569	0	0	0	0	0	0	0
ASV.038	0	0	0	0	0	0	496	0	0	0	0	0	0	0
ASV.039	0	0	0	0	0	454	0	0	0	0	0	0	0	0
ASV.040	0	0	0	0	0	0	0	0	0	0	0	0	394	0
ASV.041	0	0	0	0	0	0	0	0	392	0	0	0	0	0
ASV.042	0	0	0	0	0	0	374	0	0	0	0	0	0	0
ASV.043	0	0	0	0	352	0	0	0	0	0	0	0	0	0
ASV.044	0	0	350	0	0	0	0	0	0	0	0	0	0	0
ASV.045	0	0	0	0	0	0	345	0	0	0	0	0	0	0
ASV.046	0	0	0	0	0	0	325	0	0	0	0	0	0	0
ASV.047	0	0	0	194	0	23	0	0	104	0	0	0	0	0
ASV.048	0	0	0	0	0	307	0	0	0	0	0	0	0	0
ASV.049	0	0	0	0	0	0	291	0	0	0	0	0	0	0
ASV.050	0	0	0	0	0	0	0	0	0	0	0	0	270	0
ASV.051	0	0	0	0	0	0	0	0	0	0	0	0	0	251
ASV.052	0	0	0	0	243	0	0	0	0	0	0	0	0	0
ASV.053	0	0	0	0	0	0	0	0	0	0	0	0	0	242
ASV.054	0	0	0	0	0	239	0	0	0	0	0	0	0	0
ASV.055	0	0	0	0	0	239	0	0	0	0	0	0	0	0
ASV.056	0	0	0	0	0	0	0	0	226	0	0	0	0	0
ASV.057	0	223	0	0	0	0	0	0	0	0	0	0	0	0
ASV.058	0	0	192	0	0	0	0	0	0	0	0	0	0	0
