KH.11.10.E15.100per.DNA	KH.11.10.E15.1per.DNA	KH.11.10.E16.100per.DNA	KH.11.10.E16.25per.DNA	KH.11.10.E17.100per.DNA	KH.11.10.E17.25per.DNA	KH.11.10.E18.100per.DNA	KH.13.7.W05.100per.DNA	KH.13.7.W05.1per.DNA	KH.13.7.W05.25per.DNA	KH.13.7.W06.100per.DNA	KH.13.7.W06.25per.DNA	KH.13.7.W07.100per.DNA	KH.13.7.W07.25per.DNA	KH.13.7.W08.100per.DNA	KH.13.7.W08.1per.DNA	KH.13.7.W08.25per.DNA
ASV.01	256	0	7338	12225	9449	15560	159	296	169	2468	28	1208	32998	62762	35769	0	21751
ASV.02	70	59	0	0	17	0	0	4117	0	17024	2818	5734	0	0	0	0	0
ASV.03	35	0	3962	1295	3947	3144	0	0	0	0	0	0	2467	4401	944	0	7325
ASV.04	24	33	0	0	0	0	0	4002	0	13601	0	0	0	0	0	0	0
ASV.05	0	0	13209	1056	1755	1383	0	0	0	0	0	0	0	0	0	0	0
ASV.06	0	85	0	0	0	0	0	809	2023	6951	126	2871	0	0	0	0	0
ASV.07	0	22	455	211	0	0	250	0	0	0	0	0	6575	3974	0	0	0
ASV.08	0	0	0	0	0	0	0	3005	406	6613	0	0	0	0	0	0	0
ASV.09	0	4901	0	0	0	0	0	0	0	0	0	0	2326	1443	237	0	0
ASV.010	0	7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.011	0	0	108	0	0	0	0	1168	0	3756	0	0	0	0	0	0	0
ASV.012	0	0	0	0	0	0	4247	0	0	4	0	0	0	0	0	23	0
ASV.013	0	0	0	64	0	0	0	2180	0	1622	28	58	0	0	0	0	0
ASV.014	0	3170	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0
ASV.015	0	0	0	0	0	0	0	520	0	1256	0	249	0	1272	0	0	0
ASV.016	0	0	0	0	0	0	2508	0	0	0	0	0	0	0	0	0	0
ASV.017	0	0	0	0	0	0	0	166	0	1634	260	325	0	0	0	0	0
ASV.018	0	0	0	0	0	0	0	0	0	1768	0	0	0	0	0	0	0
ASV.019	0	545	606	243	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.020	0	0	0	0	0	0	0	0	0	982	0	0	0	187	0	0	0
ASV.021	0	0	0	0	152	0	0	327	0	543	0	0	0	0	0	0	0
ASV.022	0	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0
ASV.023	0	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0
ASV.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656
ASV.025	0	0	0	0	0	0	0	162	0	423	0	0	0	0	67	0	0
ASV.026	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	172	0
ASV.027	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	270	0
ASV.028	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.029	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0
ASV.030	0	0	0	0	0	0	0	10	357	48	0	0	0	0	0	0	0
ASV.031	0	0	0	0	197	12	0	0	0	0	0	0	0	0	0	183	0
ASV.032	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0
ASV.033	0	0	0	0	0	0	0	0	283	23	0	0	0	0	0	0	0
ASV.034	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0
ASV.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0
ASV.036	0	0	0	0	0	0	0	0	31	223	0	0	0	0	0	0	0
ASV.037	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.038	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0
ASV.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219
ASV.040	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0
ASV.041	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.042	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
ASV.043	23	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0
ASV.044	0	0	0	0	44	49	0	104	0	0	0	0	0	0	0	0	0
ASV.045	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0
ASV.046	0	24	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0
ASV.047	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0
ASV.048	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0
ASV.049	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0
ASV.050	0	0	0	0	0	0	0	0	0	0	0	0	0	90	45	40	5
ASV.051	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0
ASV.052	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0
ASV.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141
ASV.054	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.055	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
ASV.056	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.057	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.058	0	24	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0
ASV.059	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.060	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
ASV.061	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
ASV.062	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0
ASV.063	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
ASV.064	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0
ASV.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0
ASV.066	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
ASV.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0
ASV.068	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0
ASV.069	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0
ASV.070	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
ASV.071	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.072	0	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
ASV.073	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.074	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0
ASV.075	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0
ASV.076	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.077	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.078	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV.079	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.080	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.081	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
