asvLen	totReads	numSamps
ASV.1	329	69634	6
ASV.2	329	62971	4
ASV.3	329	39849	1
ASV.4	329	37930	1
ASV.5	329	30473	3
ASV.6	329	24579	5
ASV.7	329	23757	1
ASV.8	325	21013	2
ASV.9	329	18986	3
ASV.10	329	17568	6
ASV.11	325	16657	9
ASV.12	329	15085	1
ASV.13	329	14929	1
ASV.14	319	14437	1
ASV.15	329	12010	1
ASV.16	329	10991	7
ASV.17	329	9842	5
ASV.18	329	8125	2
ASV.19	329	7785	5
ASV.20	329	7779	1
ASV.21	329	7717	3
ASV.22	329	7460	3
ASV.23	329	7195	1
ASV.24	329	6765	3
ASV.25	329	6124	11
ASV.26	329	6084	1
ASV.27	329	4671	1
ASV.28	329	4461	1
ASV.29	329	4162	1
ASV.30	329	4075	1
ASV.31	329	4011	1
ASV.32	329	3873	4
ASV.34	325	3622	9
ASV.35	329	3266	1
ASV.37	329	3228	6
ASV.38	329	3198	4
ASV.39	329	3191	1
ASV.40	329	3046	2
ASV.41	329	2867	1
ASV.43	329	2658	1
ASV.44	329	2608	1
ASV.45	329	2602	1
ASV.46	329	2548	1
ASV.47	329	2513	1
ASV.48	329	2472	2
ASV.49	329	2275	4
ASV.50	329	2194	3
ASV.51	329	2190	1
ASV.52	329	2089	1
ASV.53	329	2068	2
ASV.54	328	2004	1
ASV.55	329	1962	5
ASV.56	329	1881	1
ASV.57	329	1864	2
ASV.58	329	1827	1
ASV.59	329	1825	3
ASV.61	329	1788	1
ASV.62	329	1767	2
ASV.63	329	1706	1
ASV.64	329	1698	2
ASV.65	329	1538	1
ASV.66	329	1528	3
ASV.67	329	1525	1
ASV.68	329	1510	1
ASV.69	329	1499	2
ASV.70	328	1482	1
ASV.71	329	1471	1
ASV.72	329	1456	1
ASV.73	329	1288	1
ASV.74	329	1258	1
ASV.75	329	1195	2
ASV.76	329	1145	3
ASV.77	329	1134	3
ASV.79	329	1028	1
ASV.81	329	997	1
ASV.83	329	966	1
ASV.84	329	946	1
ASV.85	329	937	2
ASV.86	329	900	1
ASV.87	328	878	1
ASV.88	329	847	1
ASV.89	329	835	1
ASV.90	329	830	1
ASV.91	329	828	1
ASV.92	329	810	1
ASV.94	329	788	1
ASV.95	329	784	1
ASV.96	329	782	1
ASV.97	329	761	1
ASV.99	329	728	1
ASV.100	329	727	1
ASV.101	329	719	1
ASV.104	329	676	2
ASV.105	329	675	1
ASV.106	329	671	1
ASV.107	325	655	1
ASV.108	329	616	3
ASV.109	329	608	1
ASV.110	329	589	1
ASV.111	329	579	1
ASV.112	329	566	1
ASV.113	329	565	2
ASV.114	329	560	2
ASV.115	328	549	2
ASV.117	329	538	1
ASV.118	329	534	2
ASV.120	329	526	1
ASV.121	329	520	2
ASV.122	329	518	1
ASV.123	329	514	2
ASV.124	329	510	1
ASV.126	329	496	2
ASV.129	329	460	1
ASV.130	329	454	1
ASV.131	329	454	1
ASV.133	329	442	1
ASV.134	329	437	1
ASV.136	329	426	3
ASV.137	329	415	1
ASV.140	329	406	1
ASV.141	329	386	1
ASV.144	329	382	1
ASV.145	329	363	1
ASV.146	329	361	1
ASV.147	329	358	1
ASV.148	329	348	1
ASV.151	329	339	1
ASV.152	329	329	1
ASV.153	329	323	1
ASV.155	329	322	1
ASV.156	329	320	1
ASV.161	329	299	1
ASV.163	329	298	1
ASV.164	329	295	1
ASV.165	329	290	1
ASV.167	329	288	1
ASV.168	329	287	1
ASV.169	329	282	1
ASV.171	329	270	1
ASV.173	329	269	1
ASV.176	329	261	1
ASV.180	329	252	1
ASV.184	329	236	1
ASV.185	329	236	1
ASV.186	329	236	1
ASV.190	329	225	2
ASV.191	329	224	1
ASV.192	329	220	1
ASV.194	329	218	1
ASV.195	329	218	1
ASV.196	328	215	1
ASV.198	329	210	1
ASV.200	329	205	1
ASV.203	329	203	1
ASV.204	329	203	1
ASV.208	329	196	1
ASV.214	329	185	1
ASV.215	329	184	1
ASV.217	329	183	1
ASV.218	329	183	1
ASV.220	329	183	1
ASV.228	329	172	1
ASV.234	329	165	1
ASV.236	329	163	1
