## Manually created in R + emacs. One big processing group 'DNA'.  For some
## stations there is only one sample, so grouping by stations probably a bad
## idea (too few bp for a DADA2 run).
##Source	Type	PairDir
RawFastqs/DRR090493_R1.fastq.gz	DNA	DRR090493
RawFastqs/DRR090493_R2.fastq.gz	DNA	DRR090493
RawFastqs/DRR090494_R1.fastq.gz	DNA	DRR090494
RawFastqs/DRR090494_R2.fastq.gz	DNA	DRR090494
RawFastqs/DRR090495_R1.fastq.gz	DNA	DRR090495
RawFastqs/DRR090495_R2.fastq.gz	DNA	DRR090495
RawFastqs/DRR090496_R1.fastq.gz	DNA	DRR090496
RawFastqs/DRR090496_R2.fastq.gz	DNA	DRR090496
RawFastqs/DRR090497_R1.fastq.gz	DNA	DRR090497
RawFastqs/DRR090497_R2.fastq.gz	DNA	DRR090497
RawFastqs/DRR090498_R1.fastq.gz	DNA	DRR090498
RawFastqs/DRR090498_R2.fastq.gz	DNA	DRR090498
RawFastqs/DRR090499_R1.fastq.gz	DNA	DRR090499
RawFastqs/DRR090499_R2.fastq.gz	DNA	DRR090499
RawFastqs/DRR090500_R1.fastq.gz	DNA	DRR090500
RawFastqs/DRR090500_R2.fastq.gz	DNA	DRR090500
RawFastqs/DRR090501_R1.fastq.gz	DNA	DRR090501
RawFastqs/DRR090501_R2.fastq.gz	DNA	DRR090501
RawFastqs/DRR090502_R1.fastq.gz	DNA	DRR090502
RawFastqs/DRR090502_R2.fastq.gz	DNA	DRR090502
RawFastqs/DRR090503_R1.fastq.gz	DNA	DRR090503
RawFastqs/DRR090503_R2.fastq.gz	DNA	DRR090503
RawFastqs/DRR090504_R1.fastq.gz	DNA	DRR090504
RawFastqs/DRR090504_R2.fastq.gz	DNA	DRR090504
RawFastqs/DRR090505_R1.fastq.gz	DNA	DRR090505
RawFastqs/DRR090505_R2.fastq.gz	DNA	DRR090505
RawFastqs/DRR090506_R1.fastq.gz	DNA	DRR090506
RawFastqs/DRR090506_R2.fastq.gz	DNA	DRR090506
RawFastqs/DRR090507_R1.fastq.gz	DNA	DRR090507
RawFastqs/DRR090507_R2.fastq.gz	DNA	DRR090507
RawFastqs/DRR090508_R1.fastq.gz	DNA	DRR090508
RawFastqs/DRR090508_R2.fastq.gz	DNA	DRR090508
RawFastqs/DRR090509_R1.fastq.gz	DNA	DRR090509
RawFastqs/DRR090509_R2.fastq.gz	DNA	DRR090509
RawFastqs/DRR090510_R1.fastq.gz	DNA	DRR090510
RawFastqs/DRR090510_R2.fastq.gz	DNA	DRR090510
RawFastqs/DRR090511_R1.fastq.gz	DNA	DRR090511
RawFastqs/DRR090511_R2.fastq.gz	DNA	DRR090511
RawFastqs/DRR090512_R1.fastq.gz	DNA	DRR090512
RawFastqs/DRR090512_R2.fastq.gz	DNA	DRR090512
