asvLen	totReads	numSamps
ASV.1	172	99884	2
ASV.2	328	77617	2
ASV.3	328	62867	1
ASV.4	328	39390	1
ASV.5	328	32916	1
ASV.6	26	30368	8
ASV.7	328	13545	1
ASV.8	328	12456	1
ASV.9	328	7781	1
ASV.10	325	6237	1
ASV.11	328	5892	1
ASV.12	227	5449	3
ASV.13	328	4986	1
ASV.14	328	3803	1
ASV.15	328	2759	1
ASV.16	328	2141	1
ASV.17	328	2053	1
ASV.18	328	1948	1
ASV.19	328	1739	1
ASV.20	151	1560	1
ASV.21	295	1507	2
ASV.22	328	1456	1
ASV.23	168	1438	1
ASV.24	328	1368	1
ASV.25	238	1326	2
ASV.26	328	1322	1
ASV.28	329	1254	1
ASV.29	328	1125	1
ASV.31	328	994	1
ASV.33	121	919	1
ASV.34	328	822	1
ASV.36	325	748	1
ASV.37	364	737	1
ASV.38	328	647	1
ASV.39	27	606	7
ASV.40	328	543	1
ASV.42	22	513	4
ASV.43	150	503	1
ASV.44	328	484	1
ASV.45	328	472	1
ASV.46	328	451	1
ASV.47	328	416	1
ASV.48	181	397	2
ASV.49	138	397	1
ASV.50	328	396	1
ASV.51	121	390	1
ASV.52	84	387	1
ASV.53	328	386	1
ASV.54	328	386	1
ASV.55	43	381	5
ASV.56	328	374	1
ASV.57	328	372	1
ASV.58	70	370	2
ASV.59	44	369	6
ASV.60	20	362	7
ASV.61	328	358	1
ASV.64	115	340	2
ASV.65	328	339	1
ASV.67	328	328	1
ASV.69	328	288	1
ASV.70	148	287	1
ASV.71	54	274	1
ASV.72	328	267	1
ASV.73	224	266	1
ASV.74	135	259	1
ASV.75	328	258	1
ASV.77	328	252	1
ASV.78	328	240	1
ASV.79	58	236	1
ASV.82	328	231	1
ASV.83	328	227	1
ASV.84	328	226	1
ASV.85	328	225	1
ASV.86	33	212	6
ASV.88	328	211	1
ASV.89	156	211	4
ASV.92	328	206	1
ASV.93	328	205	1
ASV.94	59	205	1
ASV.95	328	202	1
ASV.96	21	198	7
ASV.98	328	193	1
ASV.99	161	185	1
ASV.100	328	180	1
ASV.101	328	179	1
ASV.104	328	168	1
ASV.105	325	164	1
ASV.107	196	161	2
ASV.108	20	158	5
ASV.109	106	155	1
ASV.110	328	149	1
ASV.112	36	146	6
ASV.113	74	146	1
ASV.114	328	145	1
ASV.115	169	144	1
ASV.117	328	135	1
ASV.119	208	132	1
ASV.120	74	129	2
ASV.121	121	129	1
ASV.122	156	126	2
ASV.123	199	126	1
ASV.125	70	124	3
ASV.126	23	123	5
ASV.127	53	123	4
ASV.129	176	120	1
ASV.132	325	109	1
ASV.133	328	104	1
ASV.134	325	103	1
ASV.135	225	99	1
ASV.136	328	98	1
ASV.137	328	97	1
ASV.139	133	95	1
ASV.140	56	94	1
ASV.141	328	93	1
ASV.142	156	93	1
ASV.143	138	93	1
ASV.144	168	92	1
ASV.145	92	91	4
ASV.146	101	90	1
ASV.147	74	90	1
