DRR205311	DRR205312	DRR205313	DRR205314	DRR205315	DRR205316	DRR205317	DRR205318	DRR205319	DRR205320	DRR205321	DRR205322	DRR205323	DRR205324
ASV.1	0	0	0	0	0	0	0	99869	0	0	15	0	0	0
ASV.2	7630	0	0	69987	0	0	0	0	0	0	0	0	0	0
ASV.3	62867	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.4	0	0	0	39390	0	0	0	0	0	0	0	0	0	0
ASV.5	32916	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.6	0	54	0	0	3648	0	0	2976	4252	5737	0	1530	4352	7819
ASV.7	13545	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	12456	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	0	0	0	7781	0	0	0	0	0	0	0	0	0	0
ASV.10	6237	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.11	0	0	0	5892	0	0	0	0	0	0	0	0	0	0
ASV.12	0	0	0	0	0	0	0	32	0	0	0	5388	29	0
ASV.13	0	0	0	4986	0	0	0	0	0	0	0	0	0	0
ASV.14	3803	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.15	2759	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.16	2141	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	0	0	0	2053	0	0	0
ASV.18	0	0	0	0	0	0	0	1948	0	0	0	0	0	0
ASV.19	1739	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	1560	0	0	0	0	0	0	0	0	0
ASV.21	0	0	1043	0	0	464	0	0	0	0	0	0	0	0
ASV.22	1456	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.23	0	0	0	0	0	0	0	1438	0	0	0	0	0	0
ASV.24	1368	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.25	0	0	0	0	1240	0	0	86	0	0	0	0	0	0
ASV.26	1322	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	1254	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.29	0	0	1125	0	0	0	0	0	0	0	0	0	0	0
ASV.31	994	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.33	0	0	0	0	0	0	0	0	0	0	0	0	0	919
ASV.34	0	0	0	0	0	0	0	0	0	0	822	0	0	0
ASV.36	0	0	0	0	0	0	0	0	0	0	748	0	0	0
ASV.37	0	0	0	0	0	0	0	0	0	0	737	0	0	0
ASV.38	647	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.39	0	0	0	0	111	0	0	58	63	66	0	16	96	196
ASV.40	0	0	0	0	0	0	0	0	0	0	0	0	0	543
ASV.42	0	0	0	0	109	0	0	0	143	202	0	0	59	0
ASV.43	0	0	0	0	0	0	0	503	0	0	0	0	0	0
ASV.44	484	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.45	472	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.46	0	0	0	0	0	0	0	0	0	0	451	0	0	0
ASV.47	0	0	0	416	0	0	0	0	0	0	0	0	0	0
ASV.48	0	26	0	0	0	0	0	0	0	0	0	0	0	371
ASV.49	0	0	0	0	0	0	0	397	0	0	0	0	0	0
ASV.50	396	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.51	0	0	0	0	0	0	0	0	0	0	0	0	0	390
ASV.52	0	0	0	0	0	0	0	387	0	0	0	0	0	0
ASV.53	386	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.54	0	0	0	0	0	0	0	0	0	0	386	0	0	0
ASV.55	0	0	0	0	136	0	0	53	83	0	0	97	12	0
ASV.56	0	0	0	0	0	0	0	0	0	0	374	0	0	0
ASV.57	372	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.58	0	0	0	0	0	0	0	0	0	348	0	0	0	22
ASV.59	0	0	0	0	28	0	0	46	45	67	0	0	81	102
ASV.60	0	0	0	0	69	0	0	12	111	36	0	8	32	94
ASV.61	358	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.64	0	0	0	0	0	0	0	327	0	13	0	0	0	0
ASV.65	339	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.67	0	0	328	0	0	0	0	0	0	0	0	0	0	0
ASV.69	288	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.70	0	0	0	0	0	0	0	0	0	0	0	0	0	287
ASV.71	0	0	0	0	0	0	0	274	0	0	0	0	0	0
ASV.72	0	0	0	0	0	0	0	267	0	0	0	0	0	0
ASV.73	0	0	0	0	0	0	0	266	0	0	0	0	0	0
ASV.74	0	0	0	0	0	0	0	259	0	0	0	0	0	0
ASV.75	258	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.77	252	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	240	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.79	0	0	0	0	0	0	0	236	0	0	0	0	0	0
ASV.82	231	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.83	227	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.84	226	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.85	225	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.86	0	3	0	0	68	0	0	0	46	30	0	0	29	36
ASV.88	211	0	0	0	0	0	0	0	0	0	0	0	0	0
