#Source	Type	SizeFrac	SampName
RawFastqs/DRR205311_R1.fastq.gz	DNA	Frac_0.2	DRR205311
RawFastqs/DRR205311_R2.fastq.gz	DNA	Frac_0.2	DRR205311
RawFastqs/DRR205312_R1.fastq.gz	DNA	Frac_0.2	DRR205312
RawFastqs/DRR205312_R2.fastq.gz	DNA	Frac_0.2	DRR205312
RawFastqs/DRR205313_R1.fastq.gz	DNA	Frac_0.2	DRR205313
RawFastqs/DRR205313_R2.fastq.gz	DNA	Frac_0.2	DRR205313
RawFastqs/DRR205314_R1.fastq.gz	DNA	Frac_0.2	DRR205314
RawFastqs/DRR205314_R2.fastq.gz	DNA	Frac_0.2	DRR205314
RawFastqs/DRR205315_R1.fastq.gz	DNA	Frac_0.2	DRR205315
RawFastqs/DRR205315_R2.fastq.gz	DNA	Frac_0.2	DRR205315
RawFastqs/DRR205316_R1.fastq.gz	DNA	Frac_0.2	DRR205316
RawFastqs/DRR205316_R2.fastq.gz	DNA	Frac_0.2	DRR205316
RawFastqs/DRR205317_R1.fastq.gz	DNA	Frac_0.2	DRR205317
RawFastqs/DRR205317_R2.fastq.gz	DNA	Frac_0.2	DRR205317
RawFastqs/DRR205318_R1.fastq.gz	DNA	Frac_0.2	DRR205318
RawFastqs/DRR205318_R2.fastq.gz	DNA	Frac_0.2	DRR205318
RawFastqs/DRR205319_R1.fastq.gz	DNA	Frac_0.2	DRR205319
RawFastqs/DRR205319_R2.fastq.gz	DNA	Frac_0.2	DRR205319
RawFastqs/DRR205320_R1.fastq.gz	DNA	Frac_0.2	DRR205320
RawFastqs/DRR205320_R2.fastq.gz	DNA	Frac_0.2	DRR205320
RawFastqs/DRR205321_R1.fastq.gz	DNA	Frac_0.2	DRR205321
RawFastqs/DRR205321_R2.fastq.gz	DNA	Frac_0.2	DRR205321
RawFastqs/DRR205322_R1.fastq.gz	DNA	Frac_0.2	DRR205322
RawFastqs/DRR205322_R2.fastq.gz	DNA	Frac_0.2	DRR205322
RawFastqs/DRR205323_R1.fastq.gz	DNA	Frac_0.2	DRR205323
RawFastqs/DRR205323_R2.fastq.gz	DNA	Frac_0.2	DRR205323
RawFastqs/DRR205324_R1.fastq.gz	DNA	Frac_0.2	DRR205324
RawFastqs/DRR205324_R2.fastq.gz	DNA	Frac_0.2	DRR205324
