asvLen	totReads	numSamps
ASV.1	325	60671	4
ASV.2	325	56289	5
ASV.3	328	13363	3
ASV.4	322	7654	1
ASV.5	328	6617	1
ASV.6	52	4930	4
ASV.7	325	4721	3
ASV.8	328	3805	3
ASV.9	322	3081	1
ASV.10	28	2543	6
ASV.11	325	2421	3
ASV.12	328	2325	2
ASV.13	325	2023	3
ASV.14	319	1828	4
ASV.15	325	1612	2
ASV.16	325	1463	2
ASV.18	328	1082	1
ASV.19	325	888	2
ASV.20	325	842	2
ASV.22	325	776	2
ASV.23	79	721	1
ASV.24	325	670	2
ASV.25	62	652	3
ASV.26	325	636	2
ASV.33	325	449	1
ASV.34	100	447	1
ASV.36	325	404	1
ASV.47	325	297	1
ASV.50	328	264	1
ASV.55	325	243	1
ASV.64	325	209	1
ASV.66	328	204	1
ASV.67	100	204	1
ASV.74	322	188	1
ASV.75	328	188	1
ASV.78	325	172	1
ASV.81	325	162	1
ASV.85	325	152	3
ASV.89	325	139	1
ASV.92	328	134	1
ASV.93	24	133	3
ASV.95	62	129	4
ASV.96	325	129	1
ASV.97	325	128	1
ASV.99	40	124	3
ASV.100	325	117	2
ASV.103	328	111	1
ASV.104	41	109	3
ASV.110	75	102	2
ASV.115	30	95	4
ASV.117	47	94	2
ASV.123	325	85	1
ASV.124	328	85	1
ASV.125	49	84	1
ASV.128	325	80	2
ASV.132	328	77	1
ASV.133	80	77	2
ASV.139	87	73	1
ASV.145	148	69	3
ASV.147	325	68	2
ASV.154	80	62	1
ASV.164	49	59	1
ASV.168	47	57	1
ASV.172	30	55	1
ASV.174	325	54	1
ASV.175	325	53	2
ASV.186	105	47	2
ASV.190	319	45	1
ASV.203	103	38	1
ASV.207	109	37	1
ASV.210	97	36	2
ASV.213	34	36	3
ASV.217	325	35	1
ASV.218	328	35	1
ASV.219	37	35	1
ASV.221	28	34	1
ASV.224	328	34	1
ASV.225	24	33	1
ASV.227	94	33	1
ASV.229	120	32	1
ASV.233	29	31	1
ASV.235	80	29	1
ASV.236	80	29	1
ASV.241	55	28	1
ASV.247	66	26	1
ASV.252	53	24	2
