#Source	Type	SizeFrac	SampName
RawFastqs/SRR9675236_R1.fastq.gz	DNA	Frac_0.2	SRR9675236
RawFastqs/SRR9675236_R2.fastq.gz	DNA	Frac_0.2	SRR9675236
RawFastqs/SRR9675237_R1.fastq.gz	DNA	Frac_0.2	SRR9675237
RawFastqs/SRR9675237_R2.fastq.gz	DNA	Frac_0.2	SRR9675237
RawFastqs/SRR9675238_R1.fastq.gz	DNA	Frac_0.2	SRR9675238
RawFastqs/SRR9675238_R2.fastq.gz	DNA	Frac_0.2	SRR9675238
RawFastqs/SRR9675239_R1.fastq.gz	DNA	Frac_0.2	SRR9675239
RawFastqs/SRR9675239_R2.fastq.gz	DNA	Frac_0.2	SRR9675239
RawFastqs/SRR9675240_R1.fastq.gz	DNA	Frac_0.2	SRR9675240
RawFastqs/SRR9675240_R2.fastq.gz	DNA	Frac_0.2	SRR9675240
RawFastqs/SRR9675241_R1.fastq.gz	DNA	Frac_0.2	SRR9675241
RawFastqs/SRR9675241_R2.fastq.gz	DNA	Frac_0.2	SRR9675241
