asvLen	totReads	numSamps
ASV.1	328	119540	12
ASV.2	328	85446	14
ASV.3	325	46032	9
ASV.4	328	32013	8
ASV.5	328	29983	8
ASV.6	328	19341	3
ASV.7	325	16049	8
ASV.8	328	11394	8
ASV.9	325	8258	4
ASV.10	325	6484	3
ASV.11	328	6270	2
ASV.12	325	6069	1
ASV.13	328	5660	9
ASV.14	328	5418	2
ASV.15	325	5186	9
ASV.16	328	4925	1
ASV.17	328	4839	1
ASV.18	325	4539	2
ASV.19	328	4405	5
ASV.20	328	4227	4
ASV.21	325	4198	2
ASV.23	328	3357	1
ASV.24	328	3126	2
ASV.25	328	2899	1
ASV.26	325	2356	2
ASV.27	328	2306	1
ASV.28	325	2246	1
ASV.29	325	2193	3
ASV.30	325	2165	3
ASV.31	328	2080	4
ASV.33	328	1432	3
ASV.34	325	1273	2
ASV.35	328	1266	5
ASV.36	328	1248	3
ASV.38	325	1109	4
ASV.39	325	1093	6
ASV.40	322	1071	2
ASV.41	325	1066	1
ASV.43	325	1043	2
ASV.44	328	1039	2
ASV.45	325	1028	3
ASV.46	328	1021	1
ASV.47	325	1010	3
ASV.48	325	962	1
ASV.49	325	928	1
ASV.50	325	891	1
ASV.51	322	887	1
ASV.52	328	832	2
ASV.53	328	803	1
ASV.54	328	800	1
ASV.55	328	732	1
ASV.56	325	710	2
ASV.57	325	694	1
ASV.59	325	649	3
ASV.60	325	645	1
ASV.61	328	643	1
ASV.62	328	638	1
ASV.63	364	635	1
ASV.64	328	624	2
ASV.65	328	621	2
ASV.66	325	558	4
ASV.67	328	551	1
ASV.69	325	541	1
ASV.70	328	531	1
ASV.71	325	531	1
ASV.72	325	523	1
ASV.73	325	519	3
ASV.74	325	519	1
ASV.76	328	471	3
ASV.77	325	464	3
ASV.78	325	450	2
ASV.79	328	426	1
ASV.80	328	422	1
ASV.81	328	396	1
ASV.82	325	394	1
ASV.83	328	391	1
ASV.84	328	389	2
ASV.85	325	371	1
ASV.86	364	368	2
ASV.89	325	355	3
ASV.90	328	353	1
ASV.91	328	353	1
ASV.92	328	345	3
ASV.93	322	345	2
ASV.94	325	343	1
ASV.96	328	329	1
ASV.97	325	323	2
ASV.98	325	306	1
ASV.99	328	303	1
ASV.100	328	298	1
ASV.101	325	297	1
ASV.102	328	280	1
ASV.103	325	279	1
ASV.105	328	267	1
ASV.106	328	263	1
ASV.108	328	255	1
ASV.109	309	246	3
ASV.110	328	246	1
ASV.111	328	246	1
ASV.112	328	245	2
ASV.113	325	243	1
ASV.114	364	234	2
ASV.115	328	231	3
ASV.117	328	222	2
ASV.118	328	222	2
ASV.120	325	219	1
ASV.121	328	212	1
ASV.122	325	202	2
ASV.123	328	202	1
ASV.124	328	198	1
ASV.125	325	194	1
ASV.126	328	193	1
ASV.128	325	190	3
ASV.129	328	188	1
ASV.130	328	188	3
ASV.131	265	187	3
ASV.132	325	187	1
ASV.133	276	185	3
ASV.134	328	177	1
ASV.135	328	174	1
ASV.136	325	172	1
ASV.137	328	169	1
ASV.138	328	169	1
ASV.139	364	169	1
ASV.141	325	168	1
ASV.142	328	168	1
ASV.143	328	163	1
ASV.144	328	161	1
ASV.146	328	160	2
ASV.147	328	157	1
ASV.148	325	156	1
ASV.149	328	155	1
ASV.150	328	154	1
ASV.151	328	154	1
ASV.152	328	153	1
ASV.154	328	148	1
ASV.156	325	146	1
ASV.157	325	145	1
ASV.158	322	144	1
ASV.159	328	143	2
ASV.160	325	141	1
ASV.161	328	141	1
ASV.162	183	140	3
ASV.163	328	140	1
ASV.165	328	138	1
ASV.166	328	137	1
ASV.168	325	134	1
ASV.169	325	134	1
ASV.170	328	133	1
ASV.173	325	130	1
ASV.174	325	129	2
ASV.175	325	129	1
ASV.176	328	129	1
ASV.178	325	127	1
ASV.179	325	126	2
ASV.181	328	124	2
ASV.182	328	123	1
ASV.183	328	123	1
ASV.184	328	123	1
ASV.186	325	122	1
ASV.187	271	119	2
ASV.188	328	119	1
ASV.189	325	119	1
ASV.191	322	116	1
ASV.192	325	113	1
ASV.195	328	108	1
ASV.196	325	108	1
ASV.197	328	108	1
ASV.199	325	107	1
ASV.202	322	104	3
ASV.203	328	103	1
ASV.206	328	101	1
ASV.207	328	99	1
ASV.209	328	98	2
ASV.210	325	97	1
ASV.211	328	96	1
ASV.212	328	96	1
ASV.213	364	96	2
ASV.214	325	96	2
ASV.215	322	96	1
ASV.216	325	95	1
ASV.217	325	94	1
ASV.219	328	94	1
ASV.221	328	93	1
ASV.222	328	92	2
ASV.223	328	91	5
ASV.224	245	89	2
ASV.225	364	89	2
ASV.226	328	89	1
ASV.227	364	87	1
ASV.229	325	86	1
ASV.231	328	86	1
ASV.233	325	84	1
ASV.234	343	83	2
ASV.236	328	83	1
ASV.237	325	82	1
ASV.238	328	82	1
ASV.240	295	80	2
ASV.242	322	78	1
ASV.243	328	78	1
ASV.244	328	77	1
ASV.246	328	76	1
ASV.247	285	75	4
ASV.248	328	75	1
ASV.249	325	75	1
ASV.251	325	74	1
ASV.252	328	73	1
ASV.256	328	72	1
ASV.257	322	72	1
ASV.259	325	72	1
ASV.260	325	72	1
ASV.262	325	71	1
ASV.263	328	69	1
ASV.265	328	69	1
ASV.267	325	69	1
ASV.270	325	65	2
ASV.271	328	65	1
ASV.272	322	65	1
ASV.274	328	64	1
ASV.277	325	63	1
ASV.279	325	62	1
ASV.280	325	61	1
ASV.281	328	61	1
ASV.283	292	60	2
ASV.284	328	60	1
ASV.287	328	60	1
ASV.288	364	60	2
ASV.289	328	60	1
ASV.291	328	59	1
ASV.292	328	59	1
ASV.297	328	57	1
ASV.298	325	57	1
ASV.299	328	57	1
ASV.300	77	56	2
ASV.301	325	55	1
ASV.302	328	55	1
ASV.303	343	55	1
ASV.304	328	55	2
ASV.305	328	55	1
ASV.308	328	54	1
ASV.309	325	54	1
ASV.310	328	54	1
ASV.314	325	53	1
ASV.315	328	53	1
ASV.317	325	53	1
ASV.321	325	52	1
ASV.323	288	51	2
ASV.325	328	51	1
ASV.326	328	51	1
ASV.329	328	50	1
ASV.330	328	50	1
ASV.331	328	50	1
ASV.334	328	48	1
ASV.338	328	47	1
ASV.339	328	47	1
ASV.342	328	46	1
ASV.344	328	45	1
ASV.345	191	44	2
ASV.346	328	44	1
ASV.347	325	44	1
ASV.349	322	44	1
ASV.352	328	43	1
ASV.353	322	43	1
ASV.355	328	43	1
ASV.356	328	42	1
ASV.357	328	42	1
ASV.358	364	42	1
ASV.359	328	42	1
ASV.363	328	41	2
ASV.364	328	41	1
ASV.367	360	40	1
ASV.370	325	40	1
ASV.371	325	40	1
ASV.374	328	39	1
ASV.375	322	39	1
ASV.379	328	38	1
ASV.380	84	38	1
ASV.381	322	38	1
ASV.382	325	38	1
ASV.383	94	37	3
ASV.385	328	37	1
ASV.387	325	37	1
ASV.389	325	37	1
ASV.390	325	37	1
ASV.391	325	36	1
ASV.394	256	35	2
ASV.395	328	35	1
ASV.396	322	35	1
ASV.398	325	35	1
ASV.399	325	35	1
ASV.400	322	35	1
ASV.403	325	35	1
ASV.404	130	34	2
ASV.407	328	34	1
ASV.410	328	34	1
ASV.411	325	34	1
ASV.413	325	34	1
ASV.414	328	33	1
ASV.420	328	32	1
ASV.421	245	32	1
ASV.422	328	32	1
ASV.423	183	31	1
ASV.425	325	31	1
ASV.428	337	30	2
ASV.432	328	30	1
ASV.433	325	30	1
ASV.434	328	30	1
ASV.436	322	30	1
ASV.440	325	30	1
ASV.443	328	29	1
ASV.444	328	29	1
ASV.446	328	28	1
ASV.447	364	28	1
ASV.449	368	28	1
ASV.450	328	28	1
ASV.451	364	28	1
ASV.452	294	27	1
ASV.453	328	27	1
ASV.455	328	27	1
ASV.457	328	27	1
ASV.458	328	27	1
ASV.461	325	27	1
ASV.463	150	26	2
ASV.465	325	26	2
ASV.467	328	26	1
ASV.468	328	26	1
ASV.469	331	26	1
ASV.479	325	25	1
ASV.481	382	25	1
ASV.482	325	25	1
ASV.484	325	25	1
ASV.486	386	24	1
ASV.489	325	24	1
ASV.490	364	24	1
ASV.491	325	24	1
