SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.1	16454	29	18246	830	1091	0	25143	75	13691	73	22298	62	21548	0
ASV.2	2562	22668	25	8690	360	14	114	497	13836	17112	1311	18234	9	14
ASV.3	1888	0	1973	0	349	0	7274	12755	0	0	4912	13104	1396	2381
ASV.4	0	115	11620	890	18084	9	0	0	638	0	649	8	0	0
ASV.5	4360	0	5307	228	316	0	2067	0	2266	0	3007	0	12432	0
ASV.6	0	0	0	0	16947	0	0	0	0	0	2316	78	0	0
ASV.7	5310	0	784	0	0	0	1670	3223	0	0	447	3504	402	709
ASV.8	1243	0	2673	39	49	0	1467	0	696	0	1319	0	3908	0
ASV.9	0	0	0	2830	0	4377	0	674	0	0	0	0	0	377
ASV.10	0	0	0	0	0	0	20	570	0	0	0	0	0	5894
ASV.11	0	0	0	0	0	1463	0	0	0	0	0	0	0	4807
ASV.12	0	0	0	0	0	0	0	0	0	0	0	0	0	6069
ASV.13	1147	26	16	0	1071	23	0	0	1478	0	1480	383	0	36
ASV.14	0	0	0	0	0	1330	0	0	0	0	0	0	0	4088
ASV.15	529	1229	0	832	0	50	38	0	693	577	339	899	0	0
ASV.16	0	0	0	4925	0	0	0	0	0	0	0	0	0	0
ASV.17	0	4839	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	378	0	0	0	0	0	0	0	0	4161	0	0	0	0
ASV.19	0	0	0	3809	0	77	0	411	0	0	0	26	0	82
ASV.20	0	18	0	0	3656	0	27	0	0	0	526	0	0	0
ASV.21	0	0	0	0	0	2087	0	0	0	0	0	0	0	2111
ASV.23	0	0	0	0	0	3357	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	131	0	0	0	2995	0	0	0	0
ASV.25	0	0	0	0	0	0	0	2899	0	0	0	0	0	0
ASV.26	0	1440	0	916	0	0	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	0	2306	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	2246	0	0	0	0	0	0	0	0
