#Source	Type	SizeFrac	SampName
RawFastqs/SRR11948576_R1.fastq.gz	DNA	Frac_0.2	SRR11948576
RawFastqs/SRR11948576_R2.fastq.gz	DNA	Frac_0.2	SRR11948576
RawFastqs/SRR11948577_R1.fastq.gz	DNA	Frac_0.2	SRR11948577
RawFastqs/SRR11948577_R2.fastq.gz	DNA	Frac_0.2	SRR11948577
RawFastqs/SRR11948578_R1.fastq.gz	DNA	Frac_0.2	SRR11948578
RawFastqs/SRR11948578_R2.fastq.gz	DNA	Frac_0.2	SRR11948578
RawFastqs/SRR11948579_R1.fastq.gz	DNA	Frac_0.2	SRR11948579
RawFastqs/SRR11948579_R2.fastq.gz	DNA	Frac_0.2	SRR11948579
RawFastqs/SRR11948580_R1.fastq.gz	DNA	Frac_0.2	SRR11948580
RawFastqs/SRR11948580_R2.fastq.gz	DNA	Frac_0.2	SRR11948580
RawFastqs/SRR11948581_R1.fastq.gz	DNA	Frac_0.2	SRR11948581
RawFastqs/SRR11948581_R2.fastq.gz	DNA	Frac_0.2	SRR11948581
RawFastqs/SRR11948582_R1.fastq.gz	DNA	Frac_0.2	SRR11948582
RawFastqs/SRR11948582_R2.fastq.gz	DNA	Frac_0.2	SRR11948582
RawFastqs/SRR11948583_R1.fastq.gz	DNA	Frac_0.2	SRR11948583
RawFastqs/SRR11948583_R2.fastq.gz	DNA	Frac_0.2	SRR11948583
RawFastqs/SRR11948584_R1.fastq.gz	DNA	Frac_0.2	SRR11948584
RawFastqs/SRR11948584_R2.fastq.gz	DNA	Frac_0.2	SRR11948584
RawFastqs/SRR11948585_R1.fastq.gz	DNA	Frac_0.2	SRR11948585
RawFastqs/SRR11948585_R2.fastq.gz	DNA	Frac_0.2	SRR11948585
RawFastqs/SRR11948586_R1.fastq.gz	DNA	Frac_0.2	SRR11948586
RawFastqs/SRR11948586_R2.fastq.gz	DNA	Frac_0.2	SRR11948586
RawFastqs/SRR11948587_R1.fastq.gz	DNA	Frac_0.2	SRR11948587
RawFastqs/SRR11948587_R2.fastq.gz	DNA	Frac_0.2	SRR11948587
RawFastqs/SRR11948588_R1.fastq.gz	DNA	Frac_0.2	SRR11948588
RawFastqs/SRR11948588_R2.fastq.gz	DNA	Frac_0.2	SRR11948588
RawFastqs/SRR11948589_R1.fastq.gz	DNA	Frac_0.2	SRR11948589
RawFastqs/SRR11948589_R2.fastq.gz	DNA	Frac_0.2	SRR11948589
