SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
ASV.1	0	752	0	0	0	0	534	0	1352	0	0	0	16021	14388	0	0	0	0
ASV.2	11428	1650	0	0	76	8443	8335	0	0	0	277	0	142	695	1091	0	89	0
ASV.3	0	0	0	2257	16847	0	0	0	0	7459	18	4209	0	0	0	0	606	0
ASV.4	0	8670	0	0	0	0	504	0	3132	0	633	0	0	0	2310	628	0	0
ASV.5	0	0	0	0	0	4346	2701	0	0	0	0	0	0	0	7790	0	0	0
ASV.6	5517	0	0	0	1008	0	0	0	0	0	0	203	0	0	0	0	7265	0
ASV.7	0	0	0	0	0	930	0	0	0	0	8379	0	0	0	0	0	0	0
ASV.8	0	0	0	0	0	0	0	0	83	0	3937	0	0	0	824	4340	0	0
ASV.9	0	0	0	0	0	0	0	0	8081	0	0	0	0	0	0	168	0	0
ASV.10	0	0	0	0	0	0	300	1389	585	0	1941	1939	0	0	0	0	0	0
ASV.11	0	0	0	0	0	0	0	0	0	214	0	5493	0	0	0	0	0	0
ASV.12	0	0	0	0	0	0	0	0	0	3886	0	0	0	0	0	0	0	0
ASV.13	0	0	0	14	0	0	0	349	0	1156	387	162	0	0	0	1731	0	0
ASV.14	0	318	0	0	0	0	3465	0	0	0	0	0	0	0	0	0	0	0
ASV.15	0	0	1550	0	0	0	0	0	0	0	0	553	0	0	0	0	1662	0
ASV.16	0	1280	0	0	0	0	141	0	214	0	0	0	0	0	174	1471	72	0
ASV.17	0	0	0	0	0	0	0	0	0	0	0	0	0	3293	0	0	0	0
ASV.18	0	0	0	0	0	0	0	0	79	0	1593	0	959	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	2277	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	13	0	0	0	0	1014	0	1249	0	0	0	0	0	0
ASV.21	0	0	0	0	1429	0	0	0	0	821	0	0	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	1373	559	0	0	0	0	0	0	310	0	0
ASV.23	78	0	0	431	0	0	0	0	0	62	5	0	0	0	89	0	1450	0
ASV.24	0	0	0	0	0	82	0	0	0	0	0	0	0	0	118	0	1597	0
ASV.25	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	0
ASV.26	0	0	180	0	0	1233	7	0	0	0	0	0	17	0	301	0	0	0
