asvLen	totReads	numSamps
ASV.1	325	30055	2
ASV.2	325	2941	1
ASV.3	328	682	1
ASV.4	328	659	1
ASV.5	328	581	1
ASV.6	31	517	2
ASV.7	251	402	1
ASV.8	21	374	1
ASV.9	282	330	1
ASV.10	326	270	1
ASV.11	181	265	1
ASV.12	59	263	1
ASV.13	315	254	1
ASV.15	109	236	1
ASV.16	222	217	1
ASV.17	39	201	2
ASV.18	364	197	1
ASV.19	30	182	1
ASV.21	227	137	1
ASV.22	76	129	1
ASV.24	328	113	1
ASV.26	328	106	1
ASV.27	304	104	1
ASV.28	340	100	1
ASV.29	110	95	1
ASV.31	54	93	1
ASV.32	117	90	1
ASV.33	66	89	1
ASV.34	39	88	1
ASV.35	93	84	1
ASV.36	64	81	1
ASV.37	110	79	2
ASV.38	75	73	1
ASV.39	244	70	1
ASV.40	375	70	1
ASV.41	292	62	1
ASV.42	296	59	1
ASV.43	157	57	1
ASV.44	266	55	1
ASV.45	42	55	1
ASV.46	281	54	1
ASV.47	238	54	1
ASV.48	196	53	1
ASV.49	152	53	1
ASV.51	45	51	1
ASV.52	281	50	1
ASV.53	39	50	2
ASV.54	426	50	1
ASV.55	234	49	1
ASV.56	37	48	1
ASV.57	109	46	1
ASV.58	80	45	2
ASV.59	32	43	1
ASV.60	198	43	1
ASV.61	196	43	1
ASV.62	229	42	1
ASV.63	133	41	1
ASV.64	65	41	1
ASV.65	55	40	1
ASV.66	67	40	1
ASV.67	272	40	1
ASV.68	162	37	2
ASV.69	133	36	1
ASV.70	150	36	1
ASV.72	86	35	1
ASV.73	316	35	1
ASV.74	161	34	1
ASV.75	149	34	1
ASV.76	261	33	1
ASV.77	266	33	1
ASV.78	54	33	1
ASV.79	121	33	1
ASV.80	261	31	1
ASV.81	216	30	1
ASV.82	55	30	1
ASV.83	164	30	1
ASV.84	118	30	1
ASV.85	262	30	1
ASV.86	109	30	1
ASV.87	57	29	1
ASV.88	316	29	1
ASV.89	328	28	1
ASV.90	40	28	1
ASV.92	54	27	1
ASV.93	113	27	1
ASV.94	201	27	1
ASV.95	184	24	1
ASV.96	208	24	1
ASV.97	113	23	1
ASV.98	421	23	1
ASV.100	326	22	1
ASV.101	280	22	1
ASV.102	201	22	1
ASV.103	252	22	1
ASV.105	152	21	1
ASV.106	94	21	1
ASV.107	223	21	1
ASV.108	175	20	1
ASV.109	196	20	1
ASV.110	48	20	1
ASV.111	228	20	1
ASV.112	109	19	1
ASV.113	141	19	1
ASV.114	190	19	1
ASV.115	185	19	1
ASV.116	37	19	1
ASV.117	45	19	1
ASV.118	298	18	1
ASV.119	275	18	1
ASV.120	123	18	1
ASV.121	150	18	1
ASV.123	133	17	1
ASV.124	31	17	1
ASV.126	193	16	1
ASV.127	112	16	1
ASV.128	94	16	1
ASV.129	73	16	1
ASV.130	111	16	1
ASV.131	65	16	1
ASV.132	56	15	1
ASV.133	283	15	2
ASV.134	97	15	1
ASV.135	199	15	1
ASV.136	295	14	1
ASV.137	134	14	1
ASV.138	196	14	1
ASV.139	233	14	1
ASV.140	44	14	1
ASV.141	139	14	1
ASV.142	126	14	1
ASV.143	54	13	2
ASV.144	55	13	1
ASV.145	99	13	1
ASV.146	323	13	1
ASV.147	59	13	1
ASV.148	318	13	1
ASV.149	273	13	1
ASV.150	144	13	1
ASV.151	101	13	1
ASV.153	164	13	1
ASV.154	150	13	1
ASV.155	87	13	1
ASV.156	94	13	1
ASV.157	133	13	1
ASV.158	175	13	1
ASV.159	210	12	1
ASV.161	183	12	1
ASV.162	54	12	1
ASV.163	133	12	1
ASV.164	141	12	1
ASV.165	137	12	1
ASV.166	185	12	1
ASV.167	55	12	1
ASV.168	275	12	1
ASV.169	45	12	1
ASV.170	65	12	1
ASV.172	148	12	1
ASV.173	47	11	1
ASV.174	181	11	1
ASV.175	67	11	1
ASV.176	101	11	1
ASV.177	180	11	1
ASV.178	153	11	1
ASV.179	80	11	1
ASV.180	80	11	1
ASV.181	34	11	1
ASV.182	111	11	1
ASV.183	142	11	1
ASV.184	196	11	1
ASV.185	199	11	1
ASV.186	195	11	1
ASV.187	56	11	1
ASV.188	103	11	1
ASV.189	97	11	1
ASV.190	272	11	1
ASV.191	107	11	1
ASV.192	226	10	1
ASV.193	95	10	1
ASV.194	164	10	1
ASV.195	139	10	1
ASV.197	39	10	1
ASV.198	41	10	1
ASV.199	73	10	1
ASV.200	73	10	1
ASV.201	167	10	1
ASV.202	41	10	1
ASV.203	43	10	1
ASV.205	72	9	1
ASV.206	129	9	1
ASV.207	140	9	1
ASV.208	44	9	1
ASV.209	83	9	1
ASV.210	78	9	1
ASV.211	336	9	1
ASV.212	179	9	1
ASV.214	58	9	1
ASV.215	210	8	1
ASV.216	139	8	1
ASV.217	178	8	1
ASV.218	72	8	1
ASV.219	52	8	1
ASV.220	78	8	1
ASV.221	37	8	1
ASV.222	58	8	1
ASV.223	85	8	1
ASV.224	49	8	1
ASV.225	128	8	1
ASV.226	136	8	1
ASV.227	51	8	1
ASV.228	115	8	1
ASV.229	134	8	1
ASV.230	136	8	1
ASV.231	72	8	1
ASV.233	122	8	1
ASV.235	98	8	1
ASV.236	112	8	1
ASV.237	100	8	1
ASV.238	72	8	1
ASV.239	45	8	1
ASV.240	193	8	1
ASV.241	94	8	1
ASV.242	170	7	1
ASV.243	68	7	1
ASV.244	37	7	1
ASV.245	67	7	1
ASV.246	74	7	1
ASV.247	131	7	1
ASV.248	137	7	1
ASV.249	64	7	1
ASV.251	48	7	1
ASV.252	64	7	1
ASV.253	87	7	1
ASV.254	67	7	1
