SRR13612883	SRR13612884
ASV.1	2648	27407
ASV.2	0	2941
ASV.3	682	0
ASV.4	659	0
ASV.5	581	0
ASV.6	480	37
ASV.7	0	402
ASV.8	0	374
ASV.9	0	330
ASV.10	0	270
ASV.11	0	265
ASV.12	0	263
ASV.13	254	0
ASV.15	0	236
ASV.16	217	0
ASV.17	141	60
ASV.18	197	0
ASV.19	182	0
ASV.21	137	0
ASV.22	0	129
ASV.24	113	0
ASV.26	106	0
ASV.27	104	0
ASV.28	0	100
ASV.29	95	0
ASV.31	0	93
ASV.32	90	0
ASV.33	0	89
ASV.34	88	0
ASV.35	0	84
ASV.36	81	0
ASV.37	31	48
ASV.38	73	0
ASV.39	70	0
ASV.40	0	70
ASV.41	62	0
ASV.42	59	0
ASV.43	57	0
ASV.44	55	0
ASV.45	0	55
ASV.46	54	0
ASV.47	54	0
ASV.48	53	0
ASV.49	53	0
ASV.51	0	51
ASV.52	50	0
ASV.53	32	18
ASV.54	0	50
ASV.55	49	0
ASV.56	48	0
ASV.57	0	46
ASV.58	33	12
ASV.59	43	0
ASV.60	43	0
ASV.61	0	43
ASV.62	42	0
ASV.63	41	0
ASV.64	0	41
ASV.65	40	0
ASV.66	40	0
ASV.67	40	0
ASV.68	31	6
ASV.69	36	0
ASV.70	36	0
ASV.72	0	35
ASV.73	0	35
ASV.74	34	0
ASV.75	0	34
ASV.76	33	0
ASV.77	33	0
ASV.78	33	0
ASV.79	0	33
ASV.80	0	31
ASV.81	30	0
ASV.82	30	0
ASV.83	30	0
ASV.84	30	0
ASV.85	0	30
ASV.86	0	30
ASV.87	29	0
ASV.88	0	29
ASV.89	28	0
ASV.90	0	28
ASV.92	27	0
ASV.93	0	27
ASV.94	0	27
ASV.95	24	0
ASV.96	0	24
ASV.97	23	0
ASV.98	0	23
ASV.100	22	0
ASV.101	22	0
ASV.102	22	0
ASV.103	0	22
ASV.105	21	0
ASV.106	21	0
ASV.107	0	21
ASV.108	20	0
ASV.109	20	0
ASV.110	20	0
ASV.111	0	20
ASV.112	19	0
ASV.113	19	0
ASV.114	19	0
ASV.115	19	0
ASV.116	0	19
ASV.117	0	19
ASV.118	18	0
ASV.119	18	0
ASV.120	18	0
ASV.121	0	18
ASV.123	17	0
ASV.124	17	0
ASV.126	16	0
ASV.127	16	0
ASV.128	16	0
ASV.129	16	0
ASV.130	0	16
ASV.131	0	16
ASV.132	15	0
ASV.133	2	13
ASV.134	0	15
ASV.135	0	15
ASV.136	14	0
ASV.137	14	0
ASV.138	14	0
ASV.139	14	0
