SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.1	28278	30466	31864	14372	5262	30457	39997
ASV.2	0	3748	8760	0	0	0	0
ASV.3	2073	3265	3076	0	0	0	164
ASV.4	1993	4071	1214	0	0	0	0
ASV.5	2886	1356	1269	46	114	73	89
ASV.6	1283	2427	1206	0	0	0	0
ASV.7	0	0	2143	0	0	0	0
ASV.8	0	0	0	614	970	211	238
ASV.9	99	110	0	431	539	377	357
ASV.11	0	0	0	525	245	416	553
ASV.13	0	0	0	102	182	711	633
ASV.15	0	0	0	0	837	279	270
ASV.16	389	482	353	0	0	0	0
ASV.17	0	0	0	403	547	54	48
ASV.18	0	0	0	1000	0	0	0
ASV.19	117	123	54	121	204	149	152
ASV.20	0	21	837	0	0	0	0
ASV.21	19	20	0	205	0	279	247
ASV.23	0	0	0	81	261	147	157
ASV.24	0	0	0	0	70	267	295
ASV.25	5	0	4	76	169	149	187
ASV.26	0	0	0	71	242	157	119
ASV.27	0	0	0	236	287	22	18
ASV.28	0	0	0	67	111	166	206
ASV.30	0	0	0	210	281	11	14
ASV.31	21	0	488	0	0	0	0
ASV.35	0	0	0	58	141	109	117
ASV.36	0	0	0	0	0	195	199
ASV.37	169	129	82	0	0	0	0
ASV.38	0	0	0	38	126	109	101
ASV.39	0	0	0	0	67	154	148
ASV.40	0	0	0	366	0	0	0
ASV.41	0	0	0	361	0	0	0
ASV.42	0	0	0	125	207	0	0
ASV.44	0	0	0	47	246	17	0
ASV.46	0	0	0	30	72	86	107
ASV.47	0	0	0	114	77	32	59
ASV.50	0	0	0	0	0	132	135
ASV.51	0	0	0	4	261	0	0
ASV.52	0	0	0	67	147	38	10
ASV.53	92	74	93	0	0	0	0
ASV.54	0	0	0	250	0	0	0
ASV.55	0	0	0	226	24	0	0
ASV.57	0	0	0	122	120	0	0
ASV.59	0	235	0	0	0	0	0
ASV.60	0	0	0	0	146	87	0
ASV.61	0	0	0	25	119	42	42
ASV.62	0	0	0	223	0	0	0
ASV.64	0	198	0	0	0	0	0
ASV.66	0	0	0	27	50	50	61
ASV.67	0	187	0	0	0	0	0
ASV.68	0	0	183	0	0	0	0
ASV.69	0	181	0	0	0	0	0
ASV.70	0	0	0	0	0	93	81
ASV.71	75	64	33	0	0	0	0
ASV.72	0	0	0	19	54	48	46
ASV.73	0	0	0	26	35	45	55
ASV.74	0	0	157	0	0	0	0
ASV.75	0	0	0	157	0	0	0
ASV.77	0	0	0	0	0	65	81
ASV.78	0	0	0	0	72	30	42
ASV.79	0	0	0	48	95	0	0
ASV.80	0	0	0	17	50	36	40
ASV.81	0	0	0	0	0	64	79
ASV.82	0	0	0	142	0	0	0
ASV.83	0	0	0	0	139	0	0
ASV.84	0	0	0	60	77	0	0
ASV.85	0	0	0	0	73	13	50
ASV.86	0	0	0	0	135	0	0
ASV.87	0	0	0	134	0	0	0
ASV.88	0	0	0	0	134	0	0
ASV.89	0	0	0	0	81	0	48
ASV.90	0	75	49	0	0	0	0
ASV.91	21	6	90	0	0	0	0
ASV.92	31	46	40	0	0	0	0
ASV.94	0	0	0	111	0	0	0
ASV.95	104	0	0	0	0	0	0
ASV.96	104	0	0	0	0	0	0
ASV.97	0	0	0	29	53	22	0
ASV.98	0	0	0	0	104	0	0
ASV.99	0	0	0	15	0	17	70
ASV.100	0	0	0	11	24	33	34
ASV.101	0	0	101	0	0	0	0
ASV.102	0	0	0	0	0	30	66
ASV.103	0	93	0	0	0	0	0
ASV.104	0	90	0	0	0	0	0
ASV.106	0	0	0	88	0	0	0
ASV.107	0	0	0	0	0	85	0
ASV.109	0	0	0	9	48	6	19
ASV.110	0	0	0	46	35	0	0
ASV.111	0	0	0	0	0	0	81
ASV.112	0	0	0	43	37	0	0
ASV.113	0	0	0	0	79	0	0
ASV.114	34	26	13	0	0	3	0
ASV.115	0	0	0	15	55	5	0
ASV.116	0	0	0	15	36	8	14
ASV.117	0	0	0	0	0	0	72
ASV.118	0	71	0	0	0	0	0
ASV.119	0	0	0	0	0	30	41
ASV.121	0	0	0	54	12	0	0
ASV.122	0	0	0	0	45	0	21
ASV.123	0	0	0	0	65	0	0
ASV.124	0	0	0	0	0	0	64
ASV.125	26	19	18	0	0	0	0
ASV.126	0	40	23	0	0	0	0
ASV.127	0	0	0	62	0	0	0
ASV.128	0	0	0	62	0	0	0
ASV.129	0	0	0	39	22	0	0
ASV.130	0	0	0	0	0	61	0
ASV.131	0	0	0	0	0	30	30
ASV.132	0	0	0	58	0	0	0
ASV.133	0	0	0	15	0	43	0
ASV.134	57	0	0	0	0	0	0
ASV.135	0	0	56	0	0	0	0
ASV.136	0	0	0	17	38	0	0
ASV.137	0	0	0	33	21	0	0
ASV.138	0	0	0	0	48	6	0
ASV.139	5	6	0	20	16	5	0
ASV.140	22	19	10	0	0	0	0
ASV.141	50	0	0	0	0	0	0
ASV.142	0	0	50	0	0	0	0
ASV.144	0	0	0	11	0	28	10
ASV.145	17	15	16	0	0	0	0
ASV.146	0	0	0	24	24	0	0
ASV.147	0	0	0	48	0	0	0
ASV.148	0	0	0	0	48	0	0
ASV.149	0	0	0	0	0	0	48
ASV.150	19	17	11	0	0	0	0
ASV.151	0	10	0	0	0	15	22
ASV.152	0	0	0	0	23	15	9
ASV.153	0	0	0	46	0	0	0
ASV.154	0	0	44	0	0	0	0
ASV.155	0	0	0	44	0	0	0
ASV.156	0	0	0	44	0	0	0
ASV.157	0	0	0	0	16	17	11
