SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.1	14236	30252	20203	29445	35736	27704	29286	42388
ASV.2	0	3320	9527	11916	129	67	106	146
ASV.3	2356	0	0	0	1464	3164	2266	2514
ASV.4	0	0	0	0	1693	0	1835	0
ASV.6	0	0	0	0	568	859	641	846
ASV.10	0	0	18	0	354	249	685	497
ASV.11	0	478	471	475	47	83	76	50
ASV.12	0	0	0	106	148	876	199	252
ASV.13	0	483	495	545	0	26	0	0
ASV.14	0	0	0	0	220	237	384	359
ASV.15	0	243	205	311	18	105	37	33
ASV.16	0	213	374	295	0	0	42	0
ASV.17	896	0	8	0	0	0	0	0
ASV.18	0	0	0	0	170	202	250	259
ASV.19	0	0	0	0	175	224	235	213
ASV.20	0	69	86	112	83	246	127	95
ASV.21	0	139	162	165	54	78	97	91
ASV.22	0	143	144	159	52	72	90	125
ASV.23	0	211	267	267	0	27	0	0
ASV.24	0	166	0	136	151	140	171	0
ASV.25	0	192	272	292	0	0	0	0
ASV.26	0	0	0	0	349	0	361	0
ASV.27	699	0	0	0	0	0	0	0
ASV.28	0	0	0	0	463	0	111	47
ASV.29	0	233	172	196	4	15	0	0
ASV.30	0	0	0	21	107	228	161	0
ASV.31	0	117	198	183	0	10	0	0
ASV.32	0	0	0	0	504	0	0	0
ASV.35	0	128	190	165	0	0	0	0
ASV.36	2	156	152	165	0	0	0	0
ASV.37	0	0	0	0	98	72	147	149
ASV.39	0	44	161	146	23	25	27	17
ASV.41	0	0	0	0	104	69	111	117
ASV.42	0	0	0	0	75	68	118	106
ASV.43	0	0	0	0	99	0	93	119
ASV.44	0	92	62	90	6	24	13	8
ASV.45	0	0	26	241	0	0	0	0
ASV.46	261	0	0	0	0	0	0	0
ASV.47	0	0	0	0	0	260	0	0
ASV.48	0	70	81	85	0	13	0	0
ASV.49	0	0	4	6	68	13	89	65
ASV.50	0	49	58	44	18	37	11	22
ASV.51	0	47	23	55	77	0	26	0
ASV.52	0	0	0	0	29	55	63	73
ASV.53	0	15	58	32	20	15	29	25
ASV.55	0	0	0	0	50	28	63	44
ASV.56	0	34	64	84	0	0	0	0
ASV.57	176	0	0	0	0	0	0	0
ASV.58	0	0	0	0	48	0	59	63
ASV.61	0	3	3	0	28	6	64	54
ASV.62	0	0	0	0	51	0	68	32
ASV.63	0	40	49	61	0	0	0	0
ASV.64	0	14	16	119	0	0	0	0
ASV.65	0	0	5	0	35	0	76	32
ASV.66	0	0	0	0	30	6	52	57
ASV.67	0	0	0	0	28	17	53	47
ASV.68	0	0	143	0	0	0	0	0
ASV.70	0	0	0	0	0	56	80	0
ASV.71	0	0	0	0	0	0	135	0
ASV.72	0	0	0	0	0	85	0	47
ASV.74	0	33	54	35	0	0	0	0
ASV.75	0	0	0	0	29	7	45	41
ASV.76	0	0	0	0	19	30	39	32
ASV.77	119	0	0	0	0	0	0	0
ASV.78	0	0	0	0	26	13	47	33
ASV.79	0	0	0	0	0	0	64	54
ASV.80	0	0	0	0	0	20	46	48
ASV.81	109	0	0	0	0	0	0	0
ASV.82	0	0	0	108	0	0	0	0
ASV.83	0	0	0	0	25	12	45	25
ASV.84	106	0	0	0	0	0	0	0
ASV.85	0	8	25	22	9	19	17	6
ASV.86	105	0	0	0	0	0	0	0
ASV.88	0	0	0	0	30	4	44	26
ASV.90	0	0	16	10	13	0	41	19
