SRR13612873	SRR13612874	SRR13612875	SRR13612876
ASV.1	22138	20406	20091	15958
ASV.2	2793	1060	8502	6616
ASV.3	2440	5075	3811	3224
ASV.4	2110	3576	1493	1082
ASV.5	1681	1792	2320	1557
ASV.6	2007	1391	615	397
ASV.7	2012	1253	363	159
ASV.8	2957	0	0	0
ASV.10	643	974	444	291
ASV.14	0	0	1096	0
ASV.15	413	287	262	0
ASV.17	128	181	182	122
ASV.18	183	177	145	104
ASV.19	107	217	194	86
ASV.20	262	165	143	0
ASV.21	197	126	133	87
ASV.22	202	291	0	0
ASV.24	252	160	0	0
ASV.25	148	112	65	58
ASV.26	76	92	133	38
ASV.27	0	332	0	0
ASV.28	94	96	88	48
ASV.29	125	108	53	25
ASV.30	0	303	0	0
ASV.31	0	0	0	283
ASV.32	0	0	0	260
ASV.33	117	92	45	5
ASV.34	254	0	0	0
ASV.36	0	233	0	0
ASV.37	0	0	0	221
ASV.38	163	57	0	0
ASV.39	0	80	76	62
ASV.40	0	0	0	209
ASV.43	62	46	26	42
ASV.44	0	0	176	0
ASV.45	0	0	0	174
ASV.46	0	173	0	0
ASV.47	0	57	112	0
ASV.48	0	0	0	164
ASV.49	0	162	0	0
ASV.50	0	0	0	162
ASV.51	92	52	6	0
ASV.52	37	57	35	20
ASV.53	78	0	66	0
ASV.54	0	98	19	22
ASV.55	93	42	0	0
ASV.56	0	48	62	25
ASV.58	42	38	38	13
ASV.60	0	0	0	129
ASV.61	30	93	0	0
ASV.62	50	26	37	9
ASV.64	0	0	118	0
ASV.65	0	0	0	114
ASV.66	66	24	23	0
ASV.67	69	0	43	0
ASV.68	0	0	0	111
ASV.69	31	43	16	17
ASV.70	0	0	0	102
ASV.71	0	101	0	0
ASV.72	9	17	41	20
ASV.73	82	0	0	0
ASV.76	37	26	9	4
ASV.77	0	76	0	0
ASV.79	0	71	0	0
ASV.80	45	25	0	0
ASV.81	0	43	27	0
ASV.82	17	10	34	6
ASV.83	0	67	0	0
ASV.84	27	17	14	7
ASV.85	0	0	65	0
ASV.86	0	64	0	0
ASV.89	0	0	59	0
ASV.90	0	58	0	0
ASV.91	0	0	0	57
ASV.92	6	33	17	0
ASV.93	0	17	34	0
ASV.95	30	20	0	0
ASV.96	23	21	5	0
ASV.97	23	15	10	0
ASV.98	0	47	0	0
ASV.99	0	21	25	0
ASV.100	0	25	19	0
ASV.101	10	19	7	7
ASV.102	21	12	8	2
ASV.103	43	0	0	0
ASV.104	0	43	0	0
ASV.107	39	0	0	0
ASV.108	0	12	14	13
ASV.109	24	11	3	0
ASV.110	0	38	0	0
ASV.111	0	0	0	36
ASV.112	24	11	0	0
ASV.113	0	25	10	0
ASV.114	22	9	0	3
ASV.115	0	34	0	0
ASV.116	13	20	0	0
ASV.117	0	14	11	8
ASV.118	0	0	0	33
ASV.119	32	0	0	0
ASV.120	32	0	0	0
ASV.121	10	12	0	9
ASV.122	17	12	0	0
ASV.123	29	0	0	0
ASV.124	0	29	0	0
ASV.125	14	14	0	0
ASV.127	27	0	0	0
ASV.128	27	0	0	0
ASV.129	0	12	7	8
ASV.130	0	10	10	7
ASV.131	0	26	0	0
ASV.132	0	25	0	0
ASV.133	0	0	18	7
ASV.134	15	9	0	0
ASV.135	0	24	0	0
ASV.136	5	9	9	0
ASV.137	23	0	0	0
ASV.138	16	0	0	7
ASV.139	0	0	15	8
ASV.144	0	0	21	0
ASV.146	20	0	0	0
ASV.147	9	11	0	0
ASV.148	14	6	0	0
ASV.149	0	19	0	0
ASV.150	10	8	0	0
ASV.151	0	18	0	0
ASV.153	0	0	18	0
ASV.154	0	0	18	0
ASV.155	0	0	18	0
ASV.156	0	0	0	18
ASV.157	12	3	2	0
ASV.158	8	6	3	0
ASV.159	12	0	5	0
ASV.160	0	17	0	0
ASV.162	11	5	0	0
ASV.163	3	9	4	0
ASV.164	0	3	7	6
ASV.166	7	8	0	0
ASV.168	2	4	9	0
ASV.169	11	4	0	0
ASV.170	9	5	0	0
ASV.171	14	0	0	0
ASV.172	0	0	11	3
ASV.173	0	0	0	14
ASV.174	7	6	0	0
ASV.175	13	0	0	0
ASV.176	8	0	0	5
ASV.177	13	0	0	0
ASV.178	13	0	0	0
ASV.180	0	13	0	0
ASV.181	0	8	5	0
ASV.182	0	9	0	4
ASV.183	0	0	13	0
ASV.184	0	0	13	0
ASV.185	0	0	13	0
ASV.186	8	4	0	0
ASV.187	0	12	0	0
ASV.188	0	0	0	12
ASV.189	11	0	0	0
ASV.190	8	3	0	0
ASV.192	0	11	0	0
ASV.193	0	11	0	0
ASV.194	0	11	0	0
ASV.195	0	7	0	4
ASV.196	0	11	0	0
ASV.197	0	5	6	0
ASV.200	0	0	11	0
ASV.202	0	0	0	11
ASV.204	10	0	0	0
ASV.205	0	10	0	0
ASV.206	0	10	0	0
ASV.207	0	3	7	0
ASV.208	0	10	0	0
ASV.210	0	0	10	0
ASV.211	9	0	0	0
ASV.212	9	0	0	0
ASV.213	9	0	0	0
ASV.214	9	0	0	0
ASV.215	9	0	0	0
ASV.216	9	0	0	0
ASV.217	0	4	5	0
ASV.218	0	9	0	0
ASV.219	0	5	0	4
ASV.220	0	0	9	0
ASV.221	0	0	3	6
ASV.222	0	0	9	0
ASV.223	0	0	5	4
ASV.226	8	0	0	0
ASV.227	8	0	0	0
ASV.228	8	0	0	0
ASV.229	8	0	0	0
ASV.230	8	0	0	0
ASV.231	5	0	0	3
ASV.234	0	8	0	0
ASV.235	0	5	0	3
ASV.236	0	8	0	0
ASV.237	0	8	0	0
ASV.238	0	0	8	0
ASV.239	0	0	8	0
ASV.241	0	0	0	8
ASV.242	0	0	0	8
ASV.243	7	0	0	0
ASV.244	7	0	0	0
ASV.245	3	4	0	0
ASV.246	7	0	0	0
ASV.247	7	0	0	0
ASV.248	7	0	0	0
ASV.249	7	0	0	0
ASV.250	7	0	0	0
ASV.251	7	0	0	0
ASV.252	7	0	0	0
ASV.253	0	7	0	0
ASV.254	0	7	0	0
ASV.255	0	7	0	0
ASV.256	0	7	0	0
ASV.257	0	7	0	0
ASV.258	0	0	7	0
ASV.260	0	0	7	0
ASV.261	0	0	7	0
ASV.264	0	0	7	0
ASV.267	3	0	0	3
ASV.268	4	0	2	0
ASV.269	6	0	0	0
ASV.270	6	0	0	0
ASV.271	6	0	0	0
ASV.272	6	0	0	0
ASV.273	6	0	0	0
ASV.274	6	0	0	0
ASV.275	6	0	0	0
ASV.276	6	0	0	0
ASV.277	6	0	0	0
ASV.278	6	0	0	0
ASV.279	0	3	3	0
ASV.280	0	3	3	0
ASV.281	0	6	0	0
ASV.282	0	6	0	0
ASV.283	0	6	0	0
ASV.284	0	6	0	0
ASV.285	0	0	6	0
ASV.286	0	0	6	0
ASV.287	0	0	3	3
ASV.288	0	0	6	0
ASV.289	0	0	6	0
ASV.290	0	0	6	0
ASV.291	0	0	6	0
ASV.292	0	0	0	6
ASV.293	0	0	0	6
ASV.295	5	0	0	0
ASV.296	5	0	0	0
ASV.297	5	0	0	0
ASV.298	5	0	0	0
ASV.299	5	0	0	0
ASV.300	5	0	0	0
ASV.301	5	0	0	0
ASV.302	5	0	0	0
ASV.303	5	0	0	0
ASV.304	5	0	0	0
ASV.305	5	0	0	0
ASV.307	5	0	0	0
ASV.308	5	0	0	0
ASV.309	5	0	0	0
ASV.310	0	5	0	0
ASV.311	0	5	0	0
ASV.312	0	5	0	0
ASV.315	0	5	0	0
ASV.316	0	5	0	0
ASV.318	0	5	0	0
ASV.319	0	5	0	0
ASV.320	0	5	0	0
ASV.321	0	3	0	2
ASV.322	0	0	5	0
ASV.323	0	0	5	0
ASV.324	0	0	5	0
ASV.326	0	0	5	0
ASV.327	0	0	5	0
ASV.328	0	0	5	0
ASV.329	0	0	0	5
ASV.330	4	0	0	0
ASV.331	4	0	0	0
ASV.332	4	0	0	0
ASV.333	4	0	0	0
ASV.334	4	0	0	0
ASV.335	4	0	0	0
ASV.336	4	0	0	0
ASV.337	4	0	0	0
ASV.338	4	0	0	0
ASV.339	4	0	0	0
ASV.340	4	0	0	0
ASV.341	4	0	0	0
ASV.342	4	0	0	0
ASV.343	4	0	0	0
ASV.344	4	0	0	0
ASV.345	4	0	0	0
ASV.346	4	0	0	0
ASV.348	4	0	0	0
ASV.349	0	4	0	0
ASV.350	0	4	0	0
ASV.351	0	4	0	0
ASV.352	0	4	0	0
ASV.353	0	4	0	0
ASV.354	0	4	0	0
ASV.355	0	4	0	0
ASV.356	0	4	0	0
ASV.357	0	4	0	0
ASV.358	0	4	0	0
ASV.359	0	4	0	0
ASV.360	0	4	0	0
ASV.361	0	4	0	0
ASV.362	0	0	4	0
ASV.363	0	0	4	0
ASV.364	0	0	4	0
ASV.365	0	0	4	0
ASV.366	0	0	4	0
ASV.367	0	0	4	0
ASV.368	0	0	4	0
ASV.370	0	0	4	0
ASV.371	0	0	4	0
ASV.372	0	0	4	0
ASV.373	0	0	4	0
ASV.374	0	0	4	0
ASV.375	0	0	4	0
ASV.376	0	0	4	0
ASV.377	0	0	4	0
ASV.378	0	0	4	0
ASV.379	0	0	4	0
ASV.380	0	0	4	0
ASV.381	0	0	4	0
ASV.382	0	0	4	0
ASV.383	0	0	4	0
ASV.384	0	0	0	4
ASV.385	0	0	0	4
ASV.386	0	0	0	4
ASV.387	0	0	0	4
ASV.388	0	0	0	4
ASV.389	0	0	0	4
ASV.390	0	0	0	4
ASV.391	0	0	0	4
ASV.392	3	0	0	0
ASV.393	3	0	0	0
ASV.394	3	0	0	0
ASV.395	3	0	0	0
ASV.396	3	0	0	0
ASV.397	3	0	0	0
ASV.398	3	0	0	0
ASV.399	3	0	0	0
ASV.400	3	0	0	0
ASV.401	3	0	0	0
ASV.402	3	0	0	0
ASV.403	3	0	0	0
ASV.404	3	0	0	0
ASV.405	3	0	0	0
ASV.406	3	0	0	0
ASV.407	3	0	0	0
ASV.408	3	0	0	0
ASV.409	3	0	0	0
ASV.411	3	0	0	0
ASV.412	3	0	0	0
ASV.413	3	0	0	0
ASV.414	3	0	0	0
ASV.415	3	0	0	0
ASV.416	3	0	0	0
ASV.417	3	0	0	0
ASV.418	3	0	0	0
ASV.419	3	0	0	0
ASV.420	3	0	0	0
ASV.421	3	0	0	0
ASV.422	3	0	0	0
ASV.423	3	0	0	0
ASV.424	3	0	0	0
ASV.425	3	0	0	0
ASV.426	3	0	0	0
ASV.427	3	0	0	0
ASV.428	3	0	0	0
ASV.429	3	0	0	0
ASV.430	3	0	0	0
ASV.431	3	0	0	0
ASV.432	3	0	0	0
ASV.433	3	0	0	0
ASV.434	3	0	0	0
ASV.435	3	0	0	0
ASV.436	3	0	0	0
ASV.437	3	0	0	0
ASV.438	3	0	0	0
ASV.439	3	0	0	0
ASV.440	3	0	0	0
ASV.442	0	3	0	0
ASV.443	0	3	0	0
ASV.445	0	3	0	0
ASV.446	0	3	0	0
ASV.447	0	3	0	0
ASV.448	0	3	0	0
ASV.449	0	3	0	0
ASV.450	0	3	0	0
ASV.451	0	3	0	0
ASV.452	0	3	0	0
ASV.453	0	3	0	0
ASV.454	0	3	0	0
ASV.455	0	3	0	0
ASV.456	0	3	0	0
ASV.457	0	3	0	0
ASV.458	0	3	0	0
ASV.459	0	3	0	0
ASV.460	0	3	0	0
ASV.462	0	3	0	0
ASV.463	0	3	0	0
ASV.464	0	3	0	0
ASV.465	0	3	0	0
ASV.466	0	3	0	0
ASV.467	0	3	0	0
ASV.468	0	3	0	0
ASV.469	0	0	3	0
ASV.470	0	0	3	0
ASV.471	0	0	3	0
ASV.472	0	0	3	0
ASV.473	0	0	3	0
ASV.474	0	0	3	0
ASV.475	0	0	3	0
ASV.476	0	0	3	0
ASV.477	0	0	3	0
ASV.478	0	0	3	0
ASV.479	0	0	3	0
ASV.480	0	0	3	0
ASV.481	0	0	3	0
ASV.482	0	0	3	0
ASV.483	0	0	3	0
ASV.484	0	0	3	0
ASV.485	0	0	3	0
ASV.486	0	0	3	0
ASV.487	0	0	3	0
ASV.489	0	0	3	0
ASV.490	0	0	3	0
ASV.491	0	0	3	0
ASV.492	0	0	3	0
ASV.493	0	0	3	0
ASV.494	0	0	3	0
ASV.495	0	0	3	0
ASV.496	0	0	3	0
ASV.497	0	0	3	0
ASV.498	0	0	3	0
ASV.499	0	0	3	0
ASV.500	0	0	3	0
ASV.501	0	0	3	0
ASV.502	0	0	3	0
ASV.503	0	0	3	0
ASV.504	0	0	3	0
ASV.505	0	0	3	0
ASV.508	0	0	0	3
ASV.509	0	0	0	3
ASV.510	0	0	0	3
ASV.511	0	0	0	3
ASV.512	0	0	0	3
ASV.513	0	0	0	3
ASV.514	0	0	0	3
ASV.515	0	0	0	3
ASV.516	0	0	0	3
