SRR13612804	SRR13612805	SRR13612806
ASV.1	20919	17330	20331
ASV.2	4015	10089	14269
ASV.3	2856	1222	0
ASV.6	1717	0	758
ASV.9	1958	0	211
ASV.10	1205	276	294
ASV.11	0	493	379
ASV.12	661	0	0
ASV.13	437	51	76
ASV.14	544	0	16
ASV.15	497	0	0
ASV.17	386	0	0
ASV.18	170	77	96
ASV.19	184	0	118
ASV.21	230	0	25
ASV.22	0	5	250
ASV.23	0	132	117
ASV.25	0	111	109
ASV.27	0	73	96
ASV.28	165	0	0
ASV.31	0	93	47
ASV.32	0	137	0
ASV.33	33	40	60
ASV.34	132	0	0
ASV.35	0	0	121
ASV.36	0	107	0
ASV.37	0	62	42
ASV.38	0	98	0
ASV.39	0	44	49
ASV.40	0	49	31
ASV.42	0	41	31
ASV.43	0	44	28
ASV.44	0	38	30
ASV.45	46	10	8
ASV.46	0	21	32
ASV.47	51	0	0
ASV.48	0	44	0
ASV.49	14	11	15
ASV.50	19	9	11
ASV.51	0	17	21
ASV.53	0	31	6
ASV.54	26	9	0
ASV.55	0	17	18
ASV.56	0	35	0
ASV.57	0	17	17
ASV.58	22	4	6
ASV.59	0	10	22
ASV.60	25	4	2
ASV.61	0	31	0
ASV.62	0	29	0
ASV.63	28	0	0
ASV.64	26	0	0
ASV.65	26	0	0
ASV.66	0	0	25
ASV.68	0	0	24
ASV.69	0	15	7
ASV.70	21	0	0
ASV.71	3	13	5
ASV.72	20	0	0
ASV.73	0	2	18
ASV.74	19	0	0
ASV.75	18	0	0
ASV.76	0	12	4
ASV.77	14	0	0
ASV.78	14	0	0
ASV.79	0	14	0
ASV.80	13	0	0
ASV.81	12	0	0
ASV.82	12	0	0
ASV.84	0	3	9
ASV.85	0	6	6
ASV.86	0	0	12
ASV.87	0	0	12
ASV.88	11	0	0
ASV.89	0	11	0
ASV.90	0	10	0
ASV.91	0	0	10
ASV.92	9	0	0
ASV.93	3	0	6
ASV.94	9	0	0
ASV.96	0	3	6
ASV.97	0	0	9
ASV.98	8	0	0
ASV.99	8	0	0
ASV.100	8	0	0
ASV.101	8	0	0
ASV.102	0	0	8
ASV.104	7	0	0
ASV.105	7	0	0
ASV.106	7	0	0
ASV.107	7	0	0
ASV.108	7	0	0
ASV.109	7	0	0
ASV.110	0	3	4
ASV.111	0	7	0
ASV.112	0	7	0
ASV.113	0	4	3
ASV.114	0	0	7
ASV.115	0	0	7
ASV.116	0	0	7
ASV.117	0	0	7
ASV.119	6	0	0
ASV.121	6	0	0
ASV.122	6	0	0
ASV.124	6	0	0
ASV.125	6	0	0
ASV.126	6	0	0
ASV.127	0	6	0
ASV.128	0	3	3
ASV.129	0	6	0
ASV.131	0	6	0
ASV.132	0	4	2
ASV.133	0	3	3
ASV.134	0	6	0
ASV.136	0	0	6
ASV.137	0	0	6
ASV.138	0	0	6
ASV.139	5	0	0
ASV.140	5	0	0
ASV.141	5	0	0
ASV.142	5	0	0
ASV.143	5	0	0
ASV.144	5	0	0
ASV.145	5	0	0
ASV.147	5	0	0
ASV.148	5	0	0
ASV.149	5	0	0
ASV.150	5	0	0
ASV.151	5	0	0
ASV.152	5	0	0
ASV.153	5	0	0
ASV.154	0	5	0
ASV.155	0	5	0
ASV.156	0	5	0
ASV.157	0	0	5
ASV.158	0	0	5
ASV.159	4	0	0
ASV.160	4	0	0
ASV.161	4	0	0
ASV.162	4	0	0
ASV.163	4	0	0
ASV.164	4	0	0
ASV.165	4	0	0
ASV.166	4	0	0
ASV.167	4	0	0
ASV.168	4	0	0
ASV.169	4	0	0
ASV.170	4	0	0
ASV.171	4	0	0
ASV.172	4	0	0
ASV.173	4	0	0
ASV.174	0	4	0
ASV.175	0	4	0
ASV.176	0	4	0
ASV.177	0	4	0
ASV.178	0	4	0
ASV.179	0	4	0
ASV.180	0	0	4
ASV.181	0	0	4
ASV.182	0	0	4
ASV.184	3	0	0
