# Created manually in R.
# Source	Type	Station	PairDir
RawFastqs/SRR13612789_R1.fastq.gz	DNA	Stn12	SRR13612789
RawFastqs/SRR13612789_R2.fastq.gz	DNA	Stn12	SRR13612789
RawFastqs/SRR13612790_R1.fastq.gz	DNA	Stn12	SRR13612790
RawFastqs/SRR13612790_R2.fastq.gz	DNA	Stn12	SRR13612790
RawFastqs/SRR13612791_R1.fastq.gz	DNA	Stn12	SRR13612791
RawFastqs/SRR13612791_R2.fastq.gz	DNA	Stn12	SRR13612791
RawFastqs/SRR13612797_R1.fastq.gz	DNA	Stn2	SRR13612797
RawFastqs/SRR13612797_R2.fastq.gz	DNA	Stn2	SRR13612797
RawFastqs/SRR13612798_R1.fastq.gz	DNA	Stn11	SRR13612798
RawFastqs/SRR13612798_R2.fastq.gz	DNA	Stn11	SRR13612798
RawFastqs/SRR13612799_R1.fastq.gz	DNA	Stn11	SRR13612799
RawFastqs/SRR13612799_R2.fastq.gz	DNA	Stn11	SRR13612799
RawFastqs/SRR13612800_R1.fastq.gz	DNA	Stn11	SRR13612800
RawFastqs/SRR13612800_R2.fastq.gz	DNA	Stn11	SRR13612800
RawFastqs/SRR13612804_R1.fastq.gz	DNA	Stn9	SRR13612804
RawFastqs/SRR13612804_R2.fastq.gz	DNA	Stn9	SRR13612804
RawFastqs/SRR13612805_R1.fastq.gz	DNA	Stn9	SRR13612805
RawFastqs/SRR13612805_R2.fastq.gz	DNA	Stn9	SRR13612805
RawFastqs/SRR13612806_R1.fastq.gz	DNA	Stn9	SRR13612806
RawFastqs/SRR13612806_R2.fastq.gz	DNA	Stn9	SRR13612806
RawFastqs/SRR13612808_R1.fastq.gz	DNA	Stn2	SRR13612808
RawFastqs/SRR13612808_R2.fastq.gz	DNA	Stn2	SRR13612808
RawFastqs/SRR13612812_R1.fastq.gz	DNA	Stn7	SRR13612812
RawFastqs/SRR13612812_R2.fastq.gz	DNA	Stn7	SRR13612812
RawFastqs/SRR13612813_R1.fastq.gz	DNA	Stn7	SRR13612813
RawFastqs/SRR13612813_R2.fastq.gz	DNA	Stn7	SRR13612813
RawFastqs/SRR13612814_R1.fastq.gz	DNA	Stn7	SRR13612814
RawFastqs/SRR13612814_R2.fastq.gz	DNA	Stn7	SRR13612814
RawFastqs/SRR13612821_R1.fastq.gz	DNA	Stn16	SRR13612821
RawFastqs/SRR13612821_R2.fastq.gz	DNA	Stn16	SRR13612821
RawFastqs/SRR13612822_R1.fastq.gz	DNA	Stn16	SRR13612822
RawFastqs/SRR13612822_R2.fastq.gz	DNA	Stn16	SRR13612822
RawFastqs/SRR13612823_R1.fastq.gz	DNA	Stn16	SRR13612823
RawFastqs/SRR13612823_R2.fastq.gz	DNA	Stn16	SRR13612823
RawFastqs/SRR13612830_R1.fastq.gz	DNA	Stn15	SRR13612830
RawFastqs/SRR13612830_R2.fastq.gz	DNA	Stn15	SRR13612830
RawFastqs/SRR13612831_R1.fastq.gz	DNA	Stn15	SRR13612831
RawFastqs/SRR13612831_R2.fastq.gz	DNA	Stn15	SRR13612831
RawFastqs/SRR13612832_R1.fastq.gz	DNA	Stn15	SRR13612832
RawFastqs/SRR13612832_R2.fastq.gz	DNA	Stn15	SRR13612832
RawFastqs/SRR13612837_R1.fastq.gz	DNA	Stn14	SRR13612837
RawFastqs/SRR13612837_R2.fastq.gz	DNA	Stn14	SRR13612837
RawFastqs/SRR13612838_R1.fastq.gz	DNA	Stn14	SRR13612838
RawFastqs/SRR13612838_R2.fastq.gz	DNA	Stn14	SRR13612838
RawFastqs/SRR13612840_R1.fastq.gz	DNA	Stn14	SRR13612840
RawFastqs/SRR13612840_R2.fastq.gz	DNA	Stn14	SRR13612840
RawFastqs/SRR13612846_R1.fastq.gz	DNA	Stn13	SRR13612846
RawFastqs/SRR13612846_R2.fastq.gz	DNA	Stn13	SRR13612846
RawFastqs/SRR13612847_R1.fastq.gz	DNA	Stn13	SRR13612847
RawFastqs/SRR13612847_R2.fastq.gz	DNA	Stn13	SRR13612847
RawFastqs/SRR13612848_R1.fastq.gz	DNA	Stn13	SRR13612848
RawFastqs/SRR13612848_R2.fastq.gz	DNA	Stn13	SRR13612848
RawFastqs/SRR13612849_R1.fastq.gz	DNA	Stn2	SRR13612849
RawFastqs/SRR13612849_R2.fastq.gz	DNA	Stn2	SRR13612849
RawFastqs/SRR13612850_R1.fastq.gz	DNA	Stn6	SRR13612850
RawFastqs/SRR13612850_R2.fastq.gz	DNA	Stn6	SRR13612850
RawFastqs/SRR13612851_R1.fastq.gz	DNA	Stn6	SRR13612851
RawFastqs/SRR13612851_R2.fastq.gz	DNA	Stn6	SRR13612851
RawFastqs/SRR13612852_R1.fastq.gz	DNA	Stn6	SRR13612852
RawFastqs/SRR13612852_R2.fastq.gz	DNA	Stn6	SRR13612852
RawFastqs/SRR13612853_R1.fastq.gz	DNA	Stn6	SRR13612853
RawFastqs/SRR13612853_R2.fastq.gz	DNA	Stn6	SRR13612853
RawFastqs/SRR13612858_R1.fastq.gz	DNA	Stn5	SRR13612858
RawFastqs/SRR13612858_R2.fastq.gz	DNA	Stn5	SRR13612858
RawFastqs/SRR13612859_R1.fastq.gz	DNA	Stn5	SRR13612859
RawFastqs/SRR13612859_R2.fastq.gz	DNA	Stn5	SRR13612859
RawFastqs/SRR13612860_R1.fastq.gz	DNA	Stn2	SRR13612860
RawFastqs/SRR13612860_R2.fastq.gz	DNA	Stn2	SRR13612860
RawFastqs/SRR13612861_R1.fastq.gz	DNA	Stn5	SRR13612861
RawFastqs/SRR13612861_R2.fastq.gz	DNA	Stn5	SRR13612861
RawFastqs/SRR13612865_R1.fastq.gz	DNA	Stn4	SRR13612865
RawFastqs/SRR13612865_R2.fastq.gz	DNA	Stn4	SRR13612865
RawFastqs/SRR13612866_R1.fastq.gz	DNA	Stn4	SRR13612866
RawFastqs/SRR13612866_R2.fastq.gz	DNA	Stn4	SRR13612866
RawFastqs/SRR13612867_R1.fastq.gz	DNA	Stn4	SRR13612867
RawFastqs/SRR13612867_R2.fastq.gz	DNA	Stn4	SRR13612867
RawFastqs/SRR13612873_R1.fastq.gz	DNA	Stn3	SRR13612873
RawFastqs/SRR13612873_R2.fastq.gz	DNA	Stn3	SRR13612873
RawFastqs/SRR13612874_R1.fastq.gz	DNA	Stn3	SRR13612874
RawFastqs/SRR13612874_R2.fastq.gz	DNA	Stn3	SRR13612874
RawFastqs/SRR13612875_R1.fastq.gz	DNA	Stn3	SRR13612875
RawFastqs/SRR13612875_R2.fastq.gz	DNA	Stn3	SRR13612875
RawFastqs/SRR13612876_R1.fastq.gz	DNA	Stn3	SRR13612876
RawFastqs/SRR13612876_R2.fastq.gz	DNA	Stn3	SRR13612876
RawFastqs/SRR13612883_R1.fastq.gz	DNA	Stn1.1	SRR13612883
RawFastqs/SRR13612883_R2.fastq.gz	DNA	Stn1.1	SRR13612883
RawFastqs/SRR13612884_R1.fastq.gz	DNA	Stn1.1	SRR13612884
RawFastqs/SRR13612884_R2.fastq.gz	DNA	Stn1.1	SRR13612884
RawFastqs/SRR13612885_R1.fastq.gz	DNA	Stn2	SRR13612885
RawFastqs/SRR13612885_R2.fastq.gz	DNA	Stn2	SRR13612885
RawFastqs/SRR13612887_R1.fastq.gz	DNA	Stn2	SRR13612887
RawFastqs/SRR13612887_R2.fastq.gz	DNA	Stn2	SRR13612887
RawFastqs/SRR13612888_R1.fastq.gz	DNA	Stn2	SRR13612888
RawFastqs/SRR13612888_R2.fastq.gz	DNA	Stn2	SRR13612888
RawFastqs/SRR13612889_R1.fastq.gz	DNA	Stn2	SRR13612889
RawFastqs/SRR13612889_R2.fastq.gz	DNA	Stn2	SRR13612889
RawFastqs/SRR13612895_R1.fastq.gz	DNA	Stn1	SRR13612895
RawFastqs/SRR13612895_R2.fastq.gz	DNA	Stn1	SRR13612895
RawFastqs/SRR13612896_R1.fastq.gz	DNA	Stn1	SRR13612896
RawFastqs/SRR13612896_R2.fastq.gz	DNA	Stn1	SRR13612896
RawFastqs/SRR13612898_R1.fastq.gz	DNA	Stn1	SRR13612898
RawFastqs/SRR13612898_R2.fastq.gz	DNA	Stn1	SRR13612898
RawFastqs/SRR13612903_R1.fastq.gz	DNA	Stn14	SRR13612903
RawFastqs/SRR13612903_R2.fastq.gz	DNA	Stn14	SRR13612903
RawFastqs/SRR13612904_R1.fastq.gz	DNA	Stn14	SRR13612904
RawFastqs/SRR13612904_R2.fastq.gz	DNA	Stn14	SRR13612904
RawFastqs/SRR13612905_R1.fastq.gz	DNA	Stn14	SRR13612905
RawFastqs/SRR13612905_R2.fastq.gz	DNA	Stn14	SRR13612905
RawFastqs/SRR13612906_R1.fastq.gz	DNA	Stn14	SRR13612906
RawFastqs/SRR13612906_R2.fastq.gz	DNA	Stn14	SRR13612906
RawFastqs/SRR13612912_R1.fastq.gz	DNA	Stn7	SRR13612912
RawFastqs/SRR13612912_R2.fastq.gz	DNA	Stn7	SRR13612912
RawFastqs/SRR13612913_R1.fastq.gz	DNA	Stn7	SRR13612913
