SampleID,Run,BioProject,ZEHR LAB ID,Collection_Date,Time,SRA Study,BioSample,Cruise,Latitude,Longitude,Collection_Date...11,Month,Year,Station,Depth,Temp_degC,Salinity_psu,geo_loc_name,water_mass,coastal/open ocean,chl a,TDN,NH4,NO3,DON,Urea,DPA,DOC,PO4,DOP,Si
X71502,AK2HI,AK2HI,71502,9/6/17,18:34,AK2HI,Ak.1,KM1713,55.00038506,-147.2142977,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71503,AK2HI,AK2HI,71503,9/8/17,6:32,AK2HI,Ak.2,KM1713,54.99993285,-147.2168063,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71504,AK2HI,AK2HI,71504,9/11/17,5:50,AK2HI,Ak.3,KM1713,49.94245731,-145.0059761,2017-09,sept,2017,7,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71505,AK2HI,AK2HI,71505,9/13/17,2:23,AK2HI,Ak.4,KM1713,46.81508121,-154.6480713,2017-09,sept,2017,10,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71506,AK2HI,AK2HI,71506,9/16/17,9:04,AK2HI,Ak.5,KM1713,43.37317328,-157.9999059,2017-09,sept,2017,13,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71507,AK2HI,AK2HI,71507,9/17/17,1:55,AK2HI,Ak.6,KM1713,42.00974172,-157.98601,2017-09,sept,2017,14,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71508,AK2HI,AK2HI,71508,9/19/17,23:45,AK2HI,Ak.7,KM1713,36.66951015,-157.9981521,2017-09,sept,2017,17,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71509,AK2HI,AK2HI,71509,9/20/17,13:26,AK2HI,Ak.8,KM1713,33.99973946,-157.9998724,2017-09,sept,2017,18,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71510,AK2HI,AK2HI,71510,9/21/17,6:50,AK2HI,Ak.9,KM1713,33.99748778,-157.9733386,2017-09,sept,2017,19,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71511,AK2HI,AK2HI,71511,9/21/17,6:50,AK2HI,Ak.10,KM1713,33.99748778,-157.9733386,2017-09,sept,2017,19,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71512,AK2HI,AK2HI,71512,9/24/17,3:34,AK2HI,Ak.11,KM1713,26.54386803,-159.5584971,2017-09,sept,2017,21,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71513,AK2HI,AK2HI,71513,9/24/17,20:45,AK2HI,Ak.12,KM1713,24.16368864,-160.2564597,2017-09,sept,2017,22,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71514,AK2HI,AK2HI,71514,9/7/17,2:22,AK2HI,Ak.13,KM1713,54.99972125,-147.2165644,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71515,AK2HI,AK2HI,71515,9/8/17,20:50,AK2HI,Ak.14,KM1713,52.16945547,-145.9423167,2017-09,sept,2017,2,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71516,AK2HI,AK2HI,71516,9/8/17,20:50,AK2HI,Ak.15,KM1713,52.16945547,-145.9423167,2017-09,sept,2017,2,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71517,AK2HI,AK2HI,71517,9/9/17,5:45,AK2HI,Ak.16,KM1713,50.42323537,-145.2684849,2017-09,sept,2017,3,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71518,AK2HI,AK2HI,71518,9/9/17,20:59,AK2HI,Ak.17,KM1713,49.99270809,-145.0026642,2017-09,sept,2017,4,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71519,AK2HI,AK2HI,71519,9/9/17,20:59,AK2HI,Ak.18,KM1713,49.99270809,-145.0026642,2017-09,sept,2017,4,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71520,AK2HI,AK2HI,71520,9/11/17,5:50,AK2HI,Ak.19,KM1713,49.94245731,-145.0059761,2017-09,sept,2017,7,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71521,AK2HI,AK2HI,71521,9/13/17,13:02,AK2HI,Ak.20,KM1713,46.05495014,-157.7727915,2017-09,sept,2017,11,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71522,AK2HI,AK2HI,71522,9/14/17,2:40,AK2HI,Ak.21,KM1713,45.99354259,-158.0221674,2017-09,sept,2017,12,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71523,AK2HI,AK2HI,71523,9/19/17,10:16,AK2HI,Ak.22,KM1713,39.39705598,-158.0045588,2017-09,sept,2017,16,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71524,AK2HI,AK2HI,71524,9/19/17,23:45,AK2HI,Ak.23,KM1713,36.66951015,-157.9981521,2017-09,sept,2017,17,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71525,AK2HI,AK2HI,71525,9/24/17,20:46,AK2HI,Ak.24,KM1713,24.16368864,-160.2564597,2017-09,sept,2017,22,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71526,AK2HI,AK2HI,71526,9/6/17,18:35,AK2HI,Ak.25,KM1713,55.00038506,-147.2142977,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71527,AK2HI,AK2HI,71527,9/7/17,2:22,AK2HI,Ak.26,KM1713,54.99972125,-147.2165644,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71528,AK2HI,AK2HI,71528,9/9/17,5:45,AK2HI,Ak.27,KM1713,50.42323537,-145.2684849,2017-09,sept,2017,3,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71529,AK2HI,AK2HI,71529,9/10/17,22:19,AK2HI,Ak.28,KM1713,49.94866764,-145.0086523,2017-09,sept,2017,6,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71530,AK2HI,AK2HI,71530,9/12/17,3:48,AK2HI,Ak.29,KM1713,49.06638642,-147.8174426,2017-09,sept,2017,8,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71531,AK2HI,AK2HI,71531,9/12/17,14:39,AK2HI,Ak.30,KM1713,47.96667872,-151.0987866,2017-09,sept,2017,9,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71532,AK2HI,AK2HI,71532,9/12/17,14:39,AK2HI,Ak.31,KM1713,47.96667872,-151.0987866,2017-09,sept,2017,9,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71533,AK2HI,AK2HI,71533,9/16/17,9:04,AK2HI,Ak.32,KM1713,43.37317328,-157.9999059,2017-09,sept,2017,13,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71534,AK2HI,AK2HI,71534,9/18/17,0:03,AK2HI,Ak.33,KM1713,42.00826576,-157.9818285,2017-09,sept,2017,15,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71535,AK2HI,AK2HI,71535,9/18/17,0:04,AK2HI,Ak.34,KM1713,42.00826576,-157.9818285,2017-09,sept,2017,15,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71536,AK2HI,AK2HI,71536,9/20/17,13:26,AK2HI,Ak.35,KM1713,33.99973946,-157.9998724,2017-09,sept,2017,18,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X71537,AK2HI,AK2HI,71537,9/7/17,21:23,AK2HI,Ak.36,KM1713,54.99759883,-147.2167471,2017-09,sept,2017,1,5,NA,NA,NPac,NA,open ocean,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
