SAMPLEID,coastal.200km
X71513,FALSE
X71525,FALSE
X71512,FALSE
X71544,FALSE
X71510,FALSE
X71511,FALSE
X71509,FALSE
X71536,FALSE
X71508,FALSE
X71524,FALSE
X71523,FALSE
X71543,FALSE
X71534,FALSE
X71535,FALSE
X71507,FALSE
X71542,FALSE
X71506,FALSE
X71533,FALSE
X71522,FALSE
X71521,FALSE
X71505,FALSE
X71541,FALSE
X71531,FALSE
X71532,FALSE
X71530,FALSE
X71540,FALSE
X71504,FALSE
X71520,FALSE
X71529,FALSE
X71538,FALSE
X71539,FALSE
X71518,FALSE
X71519,FALSE
X71517,FALSE
X71528,FALSE
X71515,FALSE
X71516,FALSE
X71537,FALSE
X71514,FALSE
X71527,FALSE
X71503,FALSE
X71502,FALSE
X71526,FALSE
