SAMPLEID,coastal.200km
SRR15563473,FALSE
SRR15563475,FALSE
SRR15563696,FALSE
SRR15564309,FALSE
SRR15563470,FALSE
SRR15563472,FALSE
SRR15563692,FALSE
SRR15563464,FALSE
SRR15563466,FALSE
SRR15563691,FALSE
SRR15563455,FALSE
SRR15563456,FALSE
SRR15563459,FALSE
SRR15564311,FALSE
SRR15563481,FALSE
SRR15563483,FALSE
SRR15563690,TRUE
SRR15563489,FALSE
SRR15563486,FALSE
SRR15563683,FALSE
SRR15563686,FALSE
SRR15563446,FALSE
SRR15563499,FALSE
SRR15563500,FALSE
SRR15563681,FALSE
SRR15563688,FALSE
SRR15563689,FALSE
SRR15563479,TRUE
SRR15563490,TRUE
