SAMPLEID,coastal.200km
Harding137.63180_S137,TRUE
Harding138.63181_S138,TRUE
Harding192.65521_S192,TRUE
Harding187.65481_S187,TRUE
Harding188.65489_S188,TRUE
Harding189.65490_S189,TRUE
Harding215.66541_S215,TRUE
Harding223.66672_S223,TRUE
Harding224.66679_S224,TRUE
Harding225.66680_S225,TRUE
Harding193.65531_S193,TRUE
Harding194.65532_S194,TRUE
Harding195.65545_S195,TRUE
Harding196.65546_S196,TRUE
Harding220.66622_S220,TRUE
Harding221.66630_S221,TRUE
Harding222.66631_S222,TRUE
Harding151.63234_S151,TRUE
Harding152.63235_S152,TRUE
Harding153.63242_S153,TRUE
Harding154.63243_S154,TRUE
Harding161.64202_S161,TRUE
Harding163.64210_S163,TRUE
Harding164.64211_S164,TRUE
Harding165.64218_S165,TRUE
Harding166.64219_S166,TRUE
Harding190.65509_S190,TRUE
Harding191.65510_S191,TRUE
Harding216.66543_S216,TRUE
Harding204.65582_S204,TRUE
Harding205.65583_S205,TRUE
Harding207.65591_S207,TRUE
Harding139.63188_S139,TRUE
Harding140.63189_S140,TRUE
Harding141.63190_S141,TRUE
Harding142.63191_S142,TRUE
Harding144.63201_S144,TRUE
Harding157.64171_S157,TRUE
Harding158.64178_S158,TRUE
Harding159.64179_S159,TRUE
Harding167.64226_S167,TRUE
Harding169.64236_S169,TRUE
Harding170.64235_S170,TRUE
Harding145.63210_S145,TRUE
Harding147.63216_S147,TRUE
Harding149.63220_S149,TRUE
Harding150.63221_S150,TRUE
Harding197.65547_S197,TRUE
Harding198.65548_S198,TRUE
Harding199.65556_S199,TRUE
Harding211.65638_S211,TRUE
Harding212.65639_S212,TRUE
Harding213.65646_S213,TRUE
Harding214.65647_S214,TRUE
Harding218.66564_S218,TRUE
Harding219.66566_S219,TRUE
Harding226.66688_S226,TRUE
Harding227.66696_S227,TRUE
Harding228.66697_S228,TRUE
Harding160.64186_S160,TRUE
Harding208.65598_S208,TRUE
Harding209.65606_S209,TRUE
Harding210.65607_S210,TRUE
Harding217.66560_S217,TRUE
Harding181.65457_S181,TRUE
Harding182.65458_S182,TRUE
Harding183.65465_S183,TRUE
Harding184.65466_S184,TRUE
Harding185.65473_S185,TRUE
Harding186.65474_S186,TRUE
Harding176.64290_S176,TRUE
Harding177.64298_S177,TRUE
Harding178.64299_S178,TRUE
Harding179.64306_S179,TRUE
Harding180.64307_S180,TRUE
Harding200.65566_S200,FALSE
Harding201.65567_S201,FALSE
Harding202.65574_S202,FALSE
Harding203.65575_S203,FALSE
Harding174.64282_S174,FALSE
Harding175.64283_S175,FALSE
Harding171.64243_S171,FALSE
Harding172.64259_S172,FALSE
