SampleID,userID,join,Collection_Date,Time,Station,Cast,Niskin,Bottle,Depth,Latitude,Longitude,Volume (ml),Size_fraction,Start filter,End filter,Category1,Region,Project_Count,Project,NE?,Priority,DNA_Extraction_date,Protocol,Volume_Extracted_ul,Nanodrop_ng.ul,ND260.280,ND260.230,Total_ng,comments,nifH PCR,DNA extract found?,BioProject,Sample Name,SRA Study,NewID
Turk001.60663,60663,60663,8/19/14,6:40:00,2,1,23,3,5,33.118,-120.064,1000,20,8:00:00,8:10:00,Transect Zehr NEMO,Transect,NA,N2 fixation rates high,NA,1,3/31/15,Qiacube,94,0.9,0.69,-0.46,NA,NA,y,NA,NEMO,60663,NEMO,Turk001.60663
Turk010.60665,60665,60665,8/19/14,6:40:00,2,1,20,6,25,33.118,-120.064,1000,20,8:00:00,8:10:00,Transect Zehr NEMO,Transect,NA,N2 fixation rates high,NA,1,3/31/15,Qiacube,94,2.3,1.28,-1.71,NA,NA,y,NA,NEMO,60665,NEMO,Turk010.60665
Turk019.60667,60667,60667,8/19/14,6:40:00,2,1,17,9,48,33.118,-120.064,1500,20,8:00:00,8:10:00,Transect Zehr NEMO,Transect,NA,N2 fixation rates high,NE6,1,3/31/15,Qiacube,94,-0.9,13.9,0.23,NA,NA,y,NA,NEMO,60667,NEMO,Turk019.60667
Turk028.60690,60690,60690,8/19/14,21:00:00,3,1,20,6,25,33.68,-122.525,1000,0.22,NA,NA,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NE6,1,3/31/15,Qiacube,94,8.8,1.71,-6.53,NA,NA,y,NA,NEMO,60690,NEMO,Turk028.60690
Turk037.60692,60692,60692,8/19/14,21:00:00,3,1,17,9,48,33.68,-122.525,1500,0.22,NA,NA,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NA,1,3/31/15,Qiacube,94,16.2,1.84,3.66,NA,NA,y,NA,NEMO,60692,NEMO,Turk037.60692
Turk045.64121,64121,64121,8/20/14,21:00:00,5,1,20/21,22,25,34.3993,-125.7,4000,Sterivex,22:40:00,23:01:00,Transect MA NEMO,CCS eddies,37,California Current Eddies: Inhanced productivity,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64121,NEMO,Turk045.64121
Turk053.64125,64125,64125,8/20/14,21:00:00,5,1,13/14,26,75,34.3993,-125.7,4000,Sterivex,22:40:00,23:20:00,Transect MA NEMO,CCS eddies,37,California Current Eddies: Inhanced productivity,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64125,NEMO,Turk053.64125
Turk061.64126,64126,64126,8/20/14,21:00:00,5,1,13/14,27,75,34.3993,-125.7,4000,Sterivex,22:40:00,23:03:00,Transect MA NEMO,CCS eddies,37,California Current Eddies: Inhanced productivity,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64126,NEMO,Turk061.64126
Turk002.60836,60836,60836,8/22/14,6:30:00,20,1,15 and 16,20,25,34.9088,-127.259,2000,0.2,7:50:00,8:40:00,Transect Zehr NEMO,CCS eddies,37,California Current Eddies: Inhanced productivity,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,60836,NEMO,Turk002.60836
Turk011.60838,60838,60838,8/22/14,6:30:00,20,1,15 and 16,20,25,34.9088,-127.259,2000,0.2,7:50:00,8:40:00,Transect Zehr NEMO,CCS eddies,37,California Current Eddies: Inhanced productivity,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,60838,NEMO,Turk011.60838
