SAMPLEID,coastal.200km
KH.14.3.St02.DNA,FALSE
KH.14.3.St03day.cDNA_transcriptomic,FALSE
KH.14.3.St03.DNA,FALSE
KH.14.3.St04day.cDNA_transcriptomic,FALSE
KH.14.3.St04.DNA,FALSE
KH.14.3.St04night.cDNA_transcriptomic,FALSE
KH.14.3.St05day.cDNA_transcriptomic,FALSE
KH.14.3.St05.DNA,FALSE
KH.14.3.St05night.cDNA_transcriptomic,FALSE
KH.14.3.St06day.cDNA_transcriptomic,FALSE
KH.14.3.St06.DNA,FALSE
KH.14.3.St06night.cDNA_transcriptomic,FALSE
KH.14.3.St07day.cDNA_transcriptomic,FALSE
KH.14.3.St07.DNA,FALSE
KH.14.3.St07night.cDNA_transcriptomic,FALSE
KH.14.3.St08day.cDNA_transcriptomic,FALSE
KH.14.3.St08.DNA,FALSE
KH.14.3.St08night.cDNA_transcriptomic,FALSE
KH.14.3.St09day.cDNA_transcriptomic,FALSE
KH.14.3.St11day.cDNA_transcriptomic,FALSE
KH.14.3.St13day.cDNA_transcriptomic,TRUE

