SAMPLEID,coastal.200km
KH.11.10.E15.100per.DNA,FALSE
KH.11.10.E15.1per.DNA,FALSE
KH.11.10.E16.100per.DNA,FALSE
KH.11.10.E16.25per.DNA,FALSE
KH.11.10.E17.100per.DNA,FALSE
KH.11.10.E17.25per.DNA,FALSE
KH.11.10.E18.100per.DNA,FALSE
KH.13.7.W05.100per.DNA,FALSE
KH.13.7.W05.100per.RNA_transcriptomic,FALSE
KH.13.7.W05.1per.DNA,FALSE
KH.13.7.W05.25per.DNA,FALSE
KH.13.7.W06.100per.DNA,FALSE
KH.13.7.W06.100per.RNA_transcriptomic,FALSE
KH.13.7.W06.25per.DNA,FALSE
KH.13.7.W07.100per.DNA,FALSE
KH.13.7.W07.100per.RNA_transcriptomic,FALSE
KH.13.7.W07.25per.DNA,FALSE
KH.13.7.W08.100per.DNA,FALSE
KH.13.7.W08.1per.DNA,FALSE
KH.13.7.W08.25per.DNA,FALSE
